siteID	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig100137_27	14	9	19	18	10	10	22	15	21	15	19	17	24	19	22	22	14	12
Contig100137_97	20	15	23	20	14	8	22	17	24	15	24	24	30	36	27	26	21	24
Contig100137_122	27	29	38	43	26	20	36	27	38	29	41	31	38	57	48	48	32	38
Contig100137_144	23	19	35	25	24	12	31	21	30	27	31	30	32	45	33	26	32	26
Contig100137_157	23	23	40	27	18	16	37	20	28	30	37	36	29	50	47	32	36	25
Contig100137_183	0	0	0	0	0	0	2	0	1	2	8	2	1	2	0	0	0	1
Contig100137_193	19	20	32	30	12	10	33	23	32	23	34	22	33	44	31	35	22	25
Contig100137_197	18	17	22	28	12	7	30	16	32	20	33	22	29	34	23	28	21	23
Contig100139_582	11	11	22	18	11	11	17	16	25	31	25	19	30	28	35	29	29	20
Contig100139_807	23	27	28	26	26	19	33	22	19	47	35	35	41	40	40	28	44	37
Contig100139_835	38	42	31	37	29	26	42	36	39	51	48	23	52	51	46	49	48	38
Contig100139_896	32	32	42	38	31	41	46	43	39	50	47	41	51	45	55	47	52	41
Contig100164_505	9	9	15	12	16	10	24	14	26	31	17	15	21	20	24	19	23	17
Contig100164_509	10	4	12	9	13	6	18	14	26	27	12	15	16	16	22	15	20	13
Contig100164_995	14	8	14	15	10	7	16	11	17	15	5	10	15	21	17	16	11	15
Contig100164_1018	23	17	24	31	19	18	28	20	29	26	13	17	26	37	32	26	29	32
Contig100164_1026	23	20	23	33	19	25	32	29	37	39	19	28	41	37	41	28	32	38
Contig100164_1037	23	22	26	39	16	23	36	30	39	42	17	29	41	44	42	33	38	42
Contig100188_548	16	15	15	18	18	9	16	21	18	9	9	18	27	28	27	23	18	20
Contig100188_555	13	12	10	17	17	11	16	16	15	7	8	21	24	28	23	22	20	16
Contig100188_606	17	18	13	25	15	12	16	21	21	10	12	17	31	25	33	22	23	18
Contig100188_613	19	18	13	25	19	14	20	17	21	13	15	13	36	30	31	21	18	21
Contig100188_616	18	16	14	23	18	9	20	16	20	9	13	15	35	23	33	20	20	15
Contig100188_628	13	8	0	10	14	5	11	5	5	0	0	0	9	0	14	0	10	6
Contig100188_692	20	15	13	20	9	7	13	14	14	7	10	12	26	26	28	20	16	19
Contig100188_2357	19	15	10	15	7	10	22	12	22	6	3	10	21	25	25	19	23	17
Contig100188_2371	27	25	18	23	14	14	32	17	23	10	4	12	29	30	31	23	14	13
Contig100199_24194	14	12	20	23	15	10	21	19	18	28	30	13	31	24	27	34	26	27
Contig100199_24245	18	20	23	23	11	11	20	21	20	22	22	14	22	26	28	34	21	27
Contig100231_3835	19	0	18	22	13	18	21	22	24	29	35	20	39	40	42	44	27	23
Contig100231_3858	18	21	20	22	17	15	36	32	27	38	39	15	41	46	47	52	38	22
Contig100231_3862	21	21	20	20	18	14	33	29	16	36	38	12	40	47	44	48	30	23
Contig100231_3866	15	23	21	19	16	14	34	28	21	33	34	4	43	46	22	49	32	21
Contig100231_3874	27	26	0	12	5	14	0	18	11	20	0	19	1	21	27	0	0	13
Contig100231_3886	24	24	28	21	19	15	32	19	21	37	39	20	45	46	47	40	36	22
Contig100231_3896	26	24	28	26	21	9	33	21	26	50	45	22	49	50	56	39	48	26
Contig100231_3912	21	17	19	15	18	4	29	18	27	49	43	18	48	41	53	38	35	23
Contig100231_3924	20	19	13	16	14	9	24	15	21	37	35	21	47	40	48	44	24	19
Contig100231_3982	6	15	14	17	13	11	20	6	14	28	18	6	20	25	23	21	19	14
Contig100231_4016	11	10	17	13	10	8	13	7	19	26	22	16	21	23	22	25	16	11
Contig100231_4048	10	0	11	14	0	9	5	11	0	24	13	7	11	11	10	12	11	11
Contig100242_4069	12	14	14	10	10	13	16	17	19	15	17	12	18	20	19	15	14	8
Contig100242_4082	32	29	26	25	18	24	27	27	28	32	42	19	43	48	42	37	30	23
Contig100242_4084	37	29	29	28	17	26	27	28	31	34	41	20	41	43	38	41	31	23
Contig100242_4094	36	24	22	31	12	24	31	27	29	38	40	20	40	46	42	48	31	24
Contig100242_4100	21	14	15	21	14	16	17	14	16	24	30	13	26	30	26	32	22	15
Contig100247_5811	20	24	12	22	11	18	14	17	17	18	13	18	17	29	18	29	5	23
Contig100247_5815	32	29	14	37	11	28	21	40	45	38	30	25	36	38	35	38	21	39
Contig100247_6214	57	68	7	69	12	62	14	59	78	66	63	60	72	79	64	86	59	71
Contig100267_6648	17	14	21	16	17	13	19	19	16	22	26	14	22	19	16	19	20	11
Contig100267_6663	40	23	24	31	20	23	36	31	21	31	45	21	26	31	20	39	29	27
Contig10027_209	9	21	25	16	13	12	21	18	25	22	34	14	20	31	31	28	20	13
Contig100274_294	12	7	10	11	15	6	16	10	10	13	15	8	14	14	10	15	10	10
Contig100353_1879	18	9	19	13	9	10	16	17	24	14	3	13	13	30	25	23	18	16
Contig100353_1883	16	12	18	14	10	10	10	16	21	14	1	11	13	24	24	16	14	11
Contig100353_1901	22	14	18	19	9	11	12	19	27	12	5	16	16	34	32	23	19	20
Contig100396_1493	22	11	14	20	13	16	22	16	20	30	20	20	33	30	34	26	29	26
Contig100396_1509	11	9	14	13	13	17	17	18	12	22	17	16	20	21	24	25	19	18
Contig100396_2842	21	17	22	19	11	11	20	17	17	26	25	12	37	35	29	43	29	23
Contig100396_2845	14	18	21	19	9	13	20	17	18	23	23	11	36	38	29	42	30	21
Contig100396_2852	13	13	19	18	8	10	13	12	14	24	19	12	34	36	25	35	22	15
Contig100396_2867	15	14	16	18	11	11	12	19	19	22	23	12	29	37	14	34	20	16
Contig100499_2590	21	13	15	8	14	18	24	21	23	22	38	10	28	38	56	38	10	13
Contig100522_5271	38	26	44	40	15	28	30	38	44	46	55	26	42	43	61	54	54	23
Contig100522_5285	37	32	50	43	17	31	38	37	40	50	56	20	49	51	64	64	54	24
Contig100522_5295	28	23	28	29	13	23	24	20	24	30	32	15	33	36	38	43	35	16
Contig100556_1702	32	25	36	28	26	29	32	25	30	32	24	35	43	48	40	30	17	30
Contig100556_1729	19	19	25	19	14	14	19	16	15	16	13	23	20	26	23	23	17	18
Contig100556_1864	9	8	13	9	12	8	9	13	11	5	13	9	10	9	11	9	11	11
Contig100556_1869	10	13	12	10	16	12	14	15	16	14	13	13	13	15	14	15	14	12
Contig100578_1219	29	18	27	22	16	16	24	21	24	22	19	21	33	38	43	31	30	25
Contig100578_1226	31	23	30	21	14	18	24	26	31	25	27	28	36	40	47	33	37	29
Contig100578_1240	31	17	21	20	8	9	22	25	22	30	27	20	41	38	46	42	32	28
Contig100578_1264	28	24	26	24	13	17	23	24	27	26	23	24	36	32	33	30	23	23
Contig100586_12277	12	6	10	13	8	1	11	12	10	8	5	12	12	17	10	4	7	13
Contig100586_12579	9	11	6	22	11	5	12	11	12	7	1	13	5	9	8	1	5	6
Contig1006_12773	13	8	15	11	13	11	14	20	22	28	22	19	28	36	29	31	17	20
Contig100691_8019	18	19	13	22	15	7	26	19	14	25	11	17	30	31	31	23	22	17
Contig100706_937	16	16	20	17	15	14	24	13	22	10	9	15	13	14	12	12	15	19
Contig100706_944	15	17	19	16	17	11	25	12	21	13	9	12	12	14	14	13	18	17
Contig10074_5759	20	14	11	15	13	14	17	18	19	23	17	13	31	33	21	27	14	27
Contig10074_5773	21	22	16	17	17	18	26	23	23	34	25	19	36	41	37	40	24	38
Contig100743_10172	16	12	16	18	13	10	9	16	9	29	27	6	8	13	24	12	14	3
Contig100743_10234	5	10	12	15	9	10	14	12	14	26	24	7	18	14	17	20	13	12
Contig100743_10246	9	8	15	19	9	12	14	14	15	29	29	8	19	15	17	26	14	14
Contig100745_189	11	10	23	17	8	13	15	13	10	13	6	13	16	16	11	15	13	11
Contig100764_569	9	19	21	19	14	14	19	17	21	24	17	8	12	13	36	42	28	12
Contig10077_76	35	32	19	25	21	17	27	24	23	8	3	18	19	35	33	24	30	25
Contig10077_89	34	29	21	29	20	17	29	27	23	4	3	16	18	30	31	27	26	22
Contig100771_1673	19	15	15	17	12	10	17	20	23	15	23	5	32	32	41	41	24	17
Contig100776_1656	19	13	14	18	10	14	10	19	17	26	25	7	25	24	36	35	27	18
Contig100776_1700	21	13	15	23	11	13	16	16	17	31	20	28	36	25	38	30	31	19
Contig100776_1764	15	0	18	8	5	17	7	8	19	21	34	9	35	13	34	34	22	19
Contig100776_1801	31	13	24	31	18	16	33	22	12	39	53	14	37	44	46	43	40	25
Contig100776_1805	35	21	25	29	16	15	33	27	24	51	57	21	39	43	46	42	43	28
Contig100776_1814	21	7	16	17	8	9	17	12	18	26	35	11	19	25	27	25	28	12
Contig100776_1837	19	9	19	18	8	7	13	20	17	37	43	10	30	30	31	35	28	11
Contig100776_1862	19	18	23	28	13	6	16	17	15	30	49	15	35	47	44	44	27	20
Contig100776_1873	29	18	28	36	19	15	26	27	24	38	59	19	49	53	57	53	40	23
Contig100776_1884	23	0	24	14	12	16	11	14	18	36	48	16	45	23	50	47	26	24
Contig100776_1893	24	20	24	25	14	17	26	19	21	38	46	21	30	35	44	48	36	20
Contig100776_1897	25	20	21	24	13	13	21	20	23	40	49	27	32	31	45	51	33	25
Contig100776_1899	21	20	22	25	13	12	10	17	23	40	49	21	37	31	43	44	29	23
Contig100776_1915	25	22	19	25	13	17	28	15	19	43	57	13	36	30	37	38	24	20
Contig100776_1973	16	10	23	16	9	6	17	20	12	22	40	8	29	29	38	41	21	13
Contig100776_1988	15	13	28	17	10	17	25	15	18	28	52	8	35	34	27	44	29	19
Contig100807_3533	21	28	31	24	22	21	26	27	29	58	55	27	62	45	49	49	29	25
Contig100807_3551	1	4	6	5	6	4	2	6	8	18	13	7	20	9	13	11	1	5
Contig100831_4297	22	16	23	14	16	17	25	21	19	13	18	11	14	22	23	31	17	17
Contig100831_4306	27	20	25	22	25	21	27	19	25	24	28	18	24	31	26	30	18	21
Contig100843_8720	11	14	13	17	17	9	11	19	15	22	5	16	9	23	21	18	12	25
Contig100844_2782	10	8	10	9	9	9	10	15	9	8	16	11	15	13	12	17	13	8
Contig100964_9123	17	16	24	18	15	12	22	27	19	27	28	16	33	40	35	40	22	20
Contig100964_9127	22	16	28	20	14	8	26	27	20	27	31	17	36	42	35	40	25	21
Contig100964_9135	20	15	27	14	12	8	24	26	20	27	30	16	32	37	35	35	20	23
Contig100964_9249	17	19	15	20	11	11	18	19	15	23	27	14	29	25	25	23	17	13
Contig100988_3321	25	22	26	27	17	16	28	25	29	36	33	21	42	41	37	44	32	31
Contig100988_3333	27	27	30	28	18	18	25	24	34	35	37	22	38	49	36	47	28	33
Contig100994_3428	12	6	13	15	11	15	11	15	15	18	0	16	7	9	11	0	18	9
Contig100994_4206	23	15	25	21	14	12	21	19	25	22	45	14	30	29	36	41	31	22
Contig100994_4237	23	19	22	27	16	18	24	25	22	42	44	18	42	32	40	37	27	22
Contig100994_4252	23	20	20	21	12	12	16	21	21	35	52	15	40	41	44	39	25	23
Contig100994_4287	19	19	22	24	11	13	20	16	20	40	43	11	30	37	45	43	27	22
Contig101063_219	15	12	17	14	16	8	15	20	16	38	37	13	32	37	31	33	22	15
Contig101063_223	18	15	22	18	18	10	18	22	20	41	40	17	34	42	36	38	26	20
Contig101063_229	24	17	23	17	18	9	24	30	22	45	45	18	36	47	43	43	30	22
Contig101063_333	24	16	23	23	12	13	22	26	28	51	56	19	38	48	51	60	35	19
Contig101118_868	10	13	22	17	6	7	16	11	21	25	25	13	25	28	26	38	26	18
Contig101118_899	13	10	12	15	9	13	22	13	20	33	16	7	25	32	35	28	27	14
Contig101118_908	7	9	19	16	8	3	24	8	19	32	19	14	29	25	30	29	33	18
Contig101130_953	10	15	11	15	10	8	13	14	13	12	13	13	19	20	14	12	11	12
Contig101138_14681	9	14	15	20	7	9	17	14	18	20	0	9	29	19	29	29	29	24
Contig101153_3210	19	19	17	13	25	14	19	21	16	20	26	17	19	29	25	24	23	17
Contig101153_3212	18	19	15	12	18	14	21	23	10	18	24	16	21	27	27	26	24	15
Contig101153_3220	15	19	14	12	16	11	18	19	11	16	20	14	19	27	28	26	18	18
Contig101153_3227	13	9	14	14	16	14	15	16	8	13	19	12	20	26	24	25	20	13
Contig10117_4187	16	16	17	14	8	17	15	17	14	27	25	13	22	28	32	31	24	17
Contig10117_4221	15	12	9	19	12	10	22	12	17	31	22	20	28	13	29	29	15	16
Contig10117_4231	18	13	4	23	11	12	18	18	21	33	21	17	28	17	35	27	17	18
Contig10117_4282	11	11	6	14	10	10	11	15	13	30	18	8	18	20	19	19	18	13
Contig101233_1885	13	11	10	14	9	15	26	17	19	10	15	16	18	15	11	21	19	16
Contig101233_1890	13	14	17	19	13	11	28	22	26	14	19	26	24	21	15	24	18	28
Contig10126_488	20	19	20	14	6	10	21	16	28	27	24	14	23	33	33	32	32	26
Contig10126_657	21	22	17	19	16	9	16	20	27	30	12	14	19	19	21	19	22	22
Contig10126_680	20	16	13	16	13	10	7	16	13	29	13	17	17	12	16	18	29	19
Contig1013_13082	16	13	11	14	14	13	17	17	17	13	7	15	22	30	17	24	13	13
Contig1013_18228	22	23	19	15	12	17	19	17	26	22	6	23	20	14	22	21	15	26
Contig1013_18261	19	15	14	17	10	10	16	14	21	18	8	19	23	13	21	11	13	15
Contig1013_18326	16	17	17	17	15	16	16	12	18	23	11	15	19	15	18	19	19	19
Contig1013_18364	12	9	9	13	12	12	15	16	8	12	7	4	10	13	13	14	13	24
Contig1013_18434	20	16	21	11	16	14	20	11	17	16	8	11	14	14	10	16	17	19
Contig1013_18662	16	19	22	23	17	13	23	20	23	25	11	14	25	28	19	27	24	22
Contig1013_18683	13	17	24	13	18	10	21	20	22	21	14	14	18	29	22	21	16	22
Contig1013_18694	21	16	24	19	12	16	20	21	19	23	16	10	22	29	21	21	21	17
Contig1013_18778	19	18	16	25	18	13	23	25	30	26	18	19	24	22	23	28	21	25
Contig1013_18799	18	16	19	11	17	12	16	18	21	20	12	18	27	27	13	24	31	21
Contig1013_18850	13	8	14	12	13	10	11	17	20	23	12	14	17	21	18	18	19	19
Contig1013_21011	8	10	9	8	5	9	11	13	7	13	16	8	11	13	19	16	11	10
Contig1013_21395	25	23	24	26	16	12	22	22	18	26	24	23	37	30	40	36	31	21
Contig101300_15017	11	9	13	19	8	3	13	13	14	16	9	10	11	14	22	19	11	13
Contig101333_4347	18	16	20	12	12	12	11	19	13	22	34	10	37	34	32	30	26	10
Contig101333_4360	14	16	22	15	7	9	20	12	19	20	25	12	34	28	28	21	23	10
Contig101333_4473	17	11	15	16	8	12	16	12	17	17	21	11	18	20	21	23	20	13
Contig101333_4477	17	16	13	20	10	18	20	16	19	17	28	13	23	19	28	23	26	14
Contig101333_4493	17	12	14	18	10	15	16	16	19	21	28	17	21	26	23	28	20	12
Contig101346_3151	33	27	25	31	7	20	27	14	20	23	21	12	23	33	31	24	30	21
Contig101346_3160	27	33	45	47	13	22	34	8	31	57	41	13	42	51	42	48	35	18
Contig101346_3164	35	42	46	55	11	32	39	10	39	65	54	17	56	54	60	59	34	27
Contig101346_3184	44	62	69	71	8	36	68	9	54	76	67	28	64	73	83	72	59	28
Contig101375_2964	18	12	15	14	11	12	21	16	24	21	37	13	33	37	45	46	23	20
Contig101375_2970	20	14	19	17	15	10	21	17	21	22	37	15	38	39	40	46	24	16
Contig101375_3072	20	20	16	19	11	11	22	17	29	30	31	15	27	34	32	27	25	19
Contig101375_3079	17	21	15	20	12	13	17	18	29	25	29	12	28	28	26	29	21	16
Contig101377_3231	16	19	15	15	11	8	12	18	23	12	16	16	14	18	7	14	18	22
Contig10144_724	10	13	9	13	8	9	16	11	15	8	15	9	20	18	19	24	13	11
Contig10144_730	12	14	10	15	11	9	18	9	16	9	13	9	24	20	16	23	15	11
Contig10144_5449	13	13	12	15	9	9	13	17	19	26	25	13	25	25	39	32	18	13
Contig10144_6229	10	4	11	18	3	9	17	11	10	27	21	9	15	21	27	18	7	17
Contig10144_6300	18	11	19	14	19	13	21	18	18	31	41	7	38	19	37	42	18	17
Contig10144_6346	15	19	28	23	11	16	18	21	22	57	20	14	13	28	34	28	41	17
Contig10144_6387	18	15	18	21	16	9	16	20	17	43	52	16	34	28	40	35	32	19
Contig101488_64	12	0	10	11	8	7	21	15	8	22	16	3	17	0	15	0	12	4
Contig101497_681	19	10	14	17	13	5	21	24	17	30	37	15	18	27	36	30	22	16
Contig101497_683	19	10	18	16	15	8	21	21	18	28	39	15	19	25	37	28	25	17
Contig101518_1409	12	10	15	15	7	4	11	16	9	21	25	10	24	31	22	23	15	9
Contig101541_7178	33	24	24	27	24	21	32	19	28	18	21	24	38	33	20	28	26	32
Contig101546_167	8	7	4	4	3	7	6	8	8	9	1	7	7	10	8	9	1	8
Contig10157_954	16	13	15	18	8	6	15	12	16	17	12	10	22	24	19	14	13	14
Contig10157_956	15	14	15	18	9	5	15	14	17	18	15	11	21	24	24	15	13	17
Contig101603_2650	17	15	11	18	13	8	21	17	16	19	11	16	19	30	22	19	21	19
Contig101603_2653	20	17	11	15	12	9	18	16	15	17	12	13	22	25	17	15	20	17
Contig101620_2541	9	7	14	12	10	10	15	5	10	11	11	9	14	19	23	16	12	12
Contig101620_2584	16	14	15	18	6	8	23	3	9	8	6	7	12	29	28	29	23	19
Contig101620_2598	12	26	16	21	12	11	28	0	11	10	0	11	26	28	35	36	28	25
Contig101620_2633	13	12	25	21	9	13	17	14	18	7	24	12	21	25	23	23	11	14
Contig101620_2641	16	14	30	20	11	13	19	16	19	9	30	8	15	38	26	17	15	11
Contig101620_2676	17	11	15	13	10	8	16	14	19	11	14	5	13	30	29	23	12	15
Contig101620_2684	16	6	18	13	8	8	17	10	16	8	14	5	11	18	21	19	13	10
Contig101656_1466	16	13	15	18	8	10	24	17	16	22	20	10	27	29	22	33	12	21
Contig101656_1474	18	13	17	16	9	8	17	15	22	22	21	16	30	27	36	38	15	21
Contig101656_1498	18	14	13	12	15	13	15	15	19	14	18	15	28	24	27	29	18	17
Contig101656_1506	21	16	16	14	10	14	17	13	16	13	26	13	33	25	23	25	22	20
Contig101656_1511	24	15	9	14	10	14	14	12	17	16	25	9	27	25	26	30	24	23
Contig101656_3856	17	18	19	18	15	9	19	21	23	37	28	18	35	30	39	33	35	23
Contig101656_3942	5	23	20	27	17	7	26	29	24	34	21	11	27	47	24	47	32	9
Contig101656_3958	12	13	14	16	8	5	12	15	34	24	21	14	22	32	23	35	16	13
Contig101661_863	11	5	13	7	13	9	5	14	8	33	34	14	27	45	13	14	0	16
Contig101661_866	12	11	12	11	10	11	12	12	17	31	32	13	24	38	30	24	27	16
Contig101661_1219	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Contig101661_1223	14	12	18	26	17	10	21	10	23	36	32	17	37	22	48	36	31	33
Contig101661_1289	17	20	19	27	17	15	28	25	26	47	48	23	51	39	35	42	30	35
Contig101661_1298	0	9	0	21	8	0	25	19	22	35	32	25	44	25	0	50	0	25
Contig101661_1348	25	14	20	27	14	14	12	22	22	39	45	15	32	36	37	44	34	26
Contig101661_1352	27	18	24	30	14	17	16	25	24	44	49	18	36	41	40	50	41	28
Contig101661_1355	29	19	24	32	16	18	29	19	23	51	55	20	41	45	43	52	39	31
Contig101661_2958	21	20	29	24	10	15	18	23	23	30	49	19	32	24	45	40	31	22
Contig101661_2968	22	7	25	25	12	12	17	21	20	35	58	16	33	15	53	40	32	21
Contig101661_2974	17	15	19	21	9	10	15	17	17	27	58	10	30	23	49	42	32	18
Contig101661_2978	10	14	16	22	4	9	15	13	13	26	52	9	30	24	42	34	27	16
Contig101661_3012	17	13	20	19	19	11	25	17	10	33	58	14	30	35	47	47	35	16
Contig101661_3016	15	12	20	18	23	10	21	19	16	35	59	15	37	39	49	48	35	18
Contig101661_3021	15	12	19	17	19	13	20	18	12	30	59	20	36	37	47	46	39	17
Contig101661_3025	15	11	6	20	9	13	12	18	13	35	56	21	37	38	48	44	35	20
Contig101661_3046	24	13	23	25	20	14	25	22	17	45	62	19	44	43	65	41	47	24
Contig101661_3076	23	20	27	30	17	17	26	29	25	51	63	17	45	47	48	48	47	24
Contig101661_3079	27	18	32	33	18	22	29	31	26	55	69	19	46	44	53	48	49	29
Contig101661_3081	26	18	31	32	19	21	30	26	30	53	65	19	44	48	54	49	53	27
Contig101661_3091	24	21	33	31	18	25	26	35	36	53	67	19	49	52	59	61	53	29
Contig101661_3096	28	25	36	36	18	21	29	33	36	57	66	21	54	52	61	55	58	34
Contig101661_3111	28	23	27	37	17	16	23	24	26	51	54	15	48	50	52	51	50	29
Contig101661_3121	20	19	23	38	17	12	23	24	30	52	51	24	41	43	53	48	46	29
Contig101661_3148	37	23	27	37	27	12	36	40	41	61	68	26	54	68	66	69	61	39
Contig101661_3158	34	22	26	36	27	15	35	30	38	59	67	26	54	66	68	73	63	31
Contig101661_3169	23	17	19	29	19	12	28	23	15	49	61	24	43	51	52	51	52	25
Contig101661_3179	27	22	25	34	24	13	28	29	19	32	58	28	44	44	57	51	59	26
Contig101661_3219	25	15	23	29	13	17	27	23	12	35	54	18	37	45	43	39	46	31
Contig101661_3225	28	18	25	31	22	17	29	27	20	42	60	18	36	42	51	39	46	28
Contig101661_3258	17	9	18	23	18	11	19	26	18	36	42	18	36	32	47	33	35	29
Contig101661_3264	14	20	22	29	16	17	32	31	18	36	49	18	34	36	46	42	47	31
Contig101661_3275	11	21	19	25	18	14	31	29	19	34	45	16	33	22	41	37	44	33
Contig101661_3284	14	19	20	24	16	15	26	32	14	30	45	15	29	25	40	36	36	23
Contig101661_3307	20	11	17	23	10	15	16	21	19	32	42	13	26	27	36	30	25	17
Contig101695_1010	20	12	14	19	16	11	19	23	13	21	20	14	24	26	29	32	23	18
Contig101695_1047	17	23	24	25	14	13	26	23	24	30	31	23	28	32	45	35	31	14
Contig101695_1060	7	16	17	20	10	11	17	25	20	26	34	13	28	25	40	29	30	21
Contig101695_1085	15	11	19	17	14	13	20	19	22	36	34	13	29	26	37	34	22	18
Contig101695_1093	17	10	21	23	17	10	18	22	20	28	30	15	29	28	40	34	21	16
Contig101695_1111	15	6	15	10	8	9	12	14	9	16	12	15	21	26	33	15	14	10
Contig101724_3438	27	14	20	15	14	12	21	19	16	32	43	18	34	35	32	35	26	21
Contig101724_3441	31	16	25	20	16	15	18	20	23	34	47	19	32	32	36	36	29	19
Contig101724_3507	19	12	27	20	13	8	22	21	17	36	49	18	37	51	48	48	26	26
Contig101724_3702	20	13	18	16	9	11	11	16	22	24	32	11	33	31	30	25	24	16
Contig101733_1578	18	10	18	18	13	10	22	13	20	30	26	12	25	29	27	27	25	12
Contig101733_1586	17	11	12	19	14	15	20	16	17	29	25	12	27	27	22	29	29	16
Contig101733_1590	15	8	10	18	15	14	19	15	14	30	23	11	28	28	28	23	26	17
Contig101733_1596	14	24	11	14	14	15	15	16	17	35	23	11	30	32	28	25	26	21
Contig101734_2605	17	15	13	19	14	10	9	16	24	33	31	16	36	29	27	30	26	14
Contig101734_2608	15	17	18	17	13	11	11	20	24	32	35	17	35	30	27	35	29	14
Contig101734_2620	18	20	11	20	13	8	5	3	16	30	18	15	25	24	11	31	26	15
Contig101756_6914	24	13	26	21	14	9	25	17	20	34	31	21	32	40	27	40	23	25
Contig101756_6926	28	18	27	26	16	14	28	17	19	35	34	20	30	45	29	44	31	25
Contig101756_7016	21	13	12	24	14	9	16	21	24	25	29	13	27	35	35	44	25	28
Contig101756_7029	22	23	20	29	17	7	27	0	29	35	40	26	40	38	45	49	22	27
Contig101756_7043	17	27	20	29	13	9	19	20	25	40	32	27	48	39	41	39	30	25
Contig101756_7055	24	23	18	35	18	14	28	23	26	36	38	24	43	44	41	41	34	31
Contig101756_7072	17	12	18	25	15	11	24	12	15	23	32	19	31	30	34	24	22	20
Contig101771_457	24	14	23	23	17	4	23	15	28	21	16	14	24	31	28	14	28	28
Contig101771_462	24	17	19	24	17	11	26	17	31	19	17	14	21	35	26	15	31	24
Contig101771_507	17	16	33	26	14	14	27	21	33	29	21	24	13	32	39	8	30	25
Contig101771_1780	16	16	7	18	13	9	15	14	20	13	8	13	30	30	13	25	19	22
Contig101771_1807	18	18	1	13	10	17	0	15	10	17	16	20	32	30	0	30	18	27
Contig101771_1815	18	14	1	9	10	15	0	16	11	18	15	20	31	33	0	29	16	27
Contig101794_3137	15	5	9	16	9	11	12	20	17	12	19	11	18	25	24	20	20	14
Contig101798_3456	13	15	15	12	10	9	14	12	13	15	4	9	11	10	8	8	11	14
Contig101809_3218	23	15	15	20	12	14	15	19	11	36	34	15	28	19	31	34	29	23
Contig101809_3230	20	19	18	19	11	12	12	15	15	18	42	14	30	27	45	42	27	20
Contig101809_3240	30	26	23	23	21	18	15	23	24	36	59	21	38	37	53	48	34	33
Contig101809_3257	28	26	27	32	19	19	21	27	26	28	61	23	38	44	51	48	36	33
Contig101809_3263	14	20	0	32	9	6	9	12	27	24	58	6	14	20	16	22	21	15
Contig101809_3272	21	19	23	31	16	15	24	23	27	24	25	12	12	32	43	19	35	25
Contig101809_3287	9	15	19	17	15	5	26	10	21	28	54	14	29	30	33	35	29	17
Contig101809_3368	19	17	21	18	13	15	16	15	16	28	37	18	34	25	42	32	9	17
Contig101853_9480	13	19	15	21	14	7	19	22	23	24	21	16	24	30	27	25	18	19
