geneid	chr	s1	s2
Contig101656_3958_3958	Contig101656	3958	3958
Contig101661_1219_1219	Contig101661	1219	1219
Contig101661_1223_1223	Contig101661	1223	1223
Contig101661_1289_1289	Contig101661	1289	1289
Contig101661_1298_1298	Contig101661	1298	1298
Contig101661_1348_1348	Contig101661	1348	1348
Contig101661_1352_1352	Contig101661	1352	1352
Contig101661_1355_1355	Contig101661	1355	1355
Contig101661_2958_2958	Contig101661	2958	2958
Contig101661_2968_2968	Contig101661	2968	2968
Contig101661_2974_2974	Contig101661	2974	2974
Contig101661_2978_2978	Contig101661	2978	2978
Contig101661_3012_3012	Contig101661	3012	3012
Contig101661_3016_3016	Contig101661	3016	3016
Contig101661_3021_3021	Contig101661	3021	3021
Contig101661_3025_3025	Contig101661	3025	3025
Contig101661_3046_3046	Contig101661	3046	3046
Contig101661_3076_3076	Contig101661	3076	3076
Contig101661_3079_3079	Contig101661	3079	3079
Contig101661_3081_3081	Contig101661	3081	3081
Contig101661_3091_3091	Contig101661	3091	3091
Contig101661_3096_3096	Contig101661	3096	3096
Contig101661_3111_3111	Contig101661	3111	3111
Contig101661_3121_3121	Contig101661	3121	3121
Contig101661_3148_3148	Contig101661	3148	3148
Contig101661_3158_3158	Contig101661	3158	3158
Contig101661_3169_3169	Contig101661	3169	3169
Contig101661_3179_3179	Contig101661	3179	3179
Contig101661_3219_3219	Contig101661	3219	3219
Contig101661_3225_3225	Contig101661	3225	3225
Contig101661_3258_3258	Contig101661	3258	3258
Contig101661_3264_3264	Contig101661	3264	3264
Contig101661_3275_3275	Contig101661	3275	3275
Contig101661_3284_3284	Contig101661	3284	3284
Contig101661_3307_3307	Contig101661	3307	3307
Contig101661_863_863	Contig101661	863	863
Contig101661_866_866	Contig101661	866	866
Contig101695_1010_1010	Contig101695	1010	1010
Contig101695_1047_1047	Contig101695	1047	1047
Contig101695_1060_1060	Contig101695	1060	1060
Contig101695_1085_1085	Contig101695	1085	1085
Contig101695_1093_1093	Contig101695	1093	1093
Contig101695_1111_1111	Contig101695	1111	1111
Contig101724_3438_3438	Contig101724	3438	3438
Contig101724_3441_3441	Contig101724	3441	3441
Contig101724_3507_3507	Contig101724	3507	3507
Contig101724_3702_3702	Contig101724	3702	3702
Contig101733_1578_1578	Contig101733	1578	1578
Contig101733_1586_1586	Contig101733	1586	1586
Contig101733_1590_1590	Contig101733	1590	1590
Contig101733_1596_1596	Contig101733	1596	1596
Contig101734_2605_2605	Contig101734	2605	2605
Contig101734_2608_2608	Contig101734	2608	2608
Contig101734_2620_2620	Contig101734	2620	2620
Contig101756_6914_6914	Contig101756	6914	6914
Contig101756_6926_6926	Contig101756	6926	6926
Contig101756_7016_7016	Contig101756	7016	7016
Contig101756_7029_7029	Contig101756	7029	7029
Contig101756_7043_7043	Contig101756	7043	7043
Contig101756_7055_7055	Contig101756	7055	7055
Contig101756_7072_7072	Contig101756	7072	7072
Contig101771_1780_1780	Contig101771	1780	1780
Contig101771_1807_1807	Contig101771	1807	1807
Contig101771_1815_1815	Contig101771	1815	1815
Contig101771_457_457	Contig101771	457	457
Contig101771_462_462	Contig101771	462	462
Contig101771_507_507	Contig101771	507	507
Contig101794_3137_3137	Contig101794	3137	3137
Contig101798_3456_3456	Contig101798	3456	3456
Contig101809_3218_3218	Contig101809	3218	3218
Contig101809_3230_3230	Contig101809	3230	3230
Contig101809_3240_3240	Contig101809	3240	3240
Contig101809_3257_3257	Contig101809	3257	3257
Contig101809_3263_3263	Contig101809	3263	3263
Contig101809_3272_3272	Contig101809	3272	3272
Contig101809_3287_3287	Contig101809	3287	3287
Contig101809_3368_3368	Contig101809	3368	3368
Contig101853_9480_9480	Contig101853	9480	9480
Contig101853_9498_9498	Contig101853	9498	9498
Contig101853_9518_9518	Contig101853	9518	9518
Contig101853_9529_9529	Contig101853	9529	9529
Contig101875_780_780	Contig101875	780	780
Contig1019_11268_11268	Contig1019	11268	11268
Contig1019_5292_5292	Contig1019	5292	5292
Contig1019_6052_6052	Contig1019	6052	6052
Contig1019_6073_6073	Contig1019	6073	6073
Contig101985_10299_10299	Contig101985	10299	10299
Contig101985_10308_10308	Contig101985	10308	10308
Contig101985_10314_10314	Contig101985	10314	10314
Contig1019_9302_9302	Contig1019	9302	9302
Contig102033_515_515	Contig102033	515	515
Contig10207_1400_1400	Contig10207	1400	1400
Contig10207_1414_1414	Contig10207	1414	1414
Contig10207_1421_1421	Contig10207	1421	1421
Contig10207_1426_1426	Contig10207	1426	1426
Contig10207_1436_1436	Contig10207	1436	1436
Contig10207_1486_1486	Contig10207	1486	1486
Contig10207_1502_1502	Contig10207	1502	1502
Contig102083_3201_3201	Contig102083	3201	3201
Contig102103_864_864	Contig102103	864	864
Contig102110_15494_15494	Contig102110	15494	15494
Contig102110_15506_15506	Contig102110	15506	15506
Contig102110_15967_15967	Contig102110	15967	15967
Contig102110_9040_9040	Contig102110	9040	9040
Contig102127_4210_4210	Contig102127	4210	4210
Contig102127_4216_4216	Contig102127	4216	4216
Contig102154_1990_1990	Contig102154	1990	1990
Contig102154_2000_2000	Contig102154	2000	2000
Contig102167_1630_1630	Contig102167	1630	1630
Contig102182_1575_1575	Contig102182	1575	1575
Contig102182_1579_1579	Contig102182	1579	1579
Contig102182_1582_1582	Contig102182	1582	1582
Contig102182_1589_1589	Contig102182	1589	1589
Contig102182_1757_1757	Contig102182	1757	1757
Contig102182_1776_1776	Contig102182	1776	1776
Contig102182_1803_1803	Contig102182	1803	1803
Contig102182_1856_1856	Contig102182	1856	1856
Contig102182_1899_1899	Contig102182	1899	1899
Contig102182_1901_1901	Contig102182	1901	1901
Contig102182_1903_1903	Contig102182	1903	1903
Contig102182_1905_1905	Contig102182	1905	1905
Contig102182_1914_1914	Contig102182	1914	1914
Contig102182_1917_1917	Contig102182	1917	1917
Contig102182_2048_2048	Contig102182	2048	2048
Contig102182_2062_2062	Contig102182	2062	2062
Contig102196_721_721	Contig102196	721	721
Contig102218_5346_5346	Contig102218	5346	5346
Contig102218_5416_5416	Contig102218	5416	5416
Contig102218_5426_5426	Contig102218	5426	5426
Contig102218_5430_5430	Contig102218	5430	5430
Contig102218_5485_5485	Contig102218	5485	5485
Contig102218_5502_5502	Contig102218	5502	5502
Contig102218_670_670	Contig102218	670	670
Contig1022_7580_7580	Contig1022	7580	7580
Contig102283_2100_2100	Contig102283	2100	2100
Contig102283_2112_2112	Contig102283	2112	2112
Contig102283_2118_2118	Contig102283	2118	2118
Contig102297_2203_2203	Contig102297	2203	2203
Contig102297_2977_2977	Contig102297	2977	2977
Contig102297_2981_2981	Contig102297	2981	2981
Contig102297_2998_2998	Contig102297	2998	2998
Contig1023_14087_14087	Contig1023	14087	14087
Contig102325_6424_6424	Contig102325	6424	6424
Contig102325_6437_6437	Contig102325	6437	6437
Contig102325_6461_6461	Contig102325	6461	6461
Contig102325_6469_6469	Contig102325	6469	6469
Contig102325_6909_6909	Contig102325	6909	6909
Contig102325_6934_6934	Contig102325	6934	6934
Contig102330_6860_6860	Contig102330	6860	6860
Contig10234_2908_2908	Contig10234	2908	2908
Contig10234_2914_2914	Contig10234	2914	2914
Contig102366_623_623	Contig102366	623	623
Contig102378_967_967	Contig102378	967	967
Contig102394_2844_2844	Contig102394	2844	2844
Contig102394_2860_2860	Contig102394	2860	2860
Contig1024_10259_10259	Contig1024	10259	10259
Contig1024_10262_10262	Contig1024	10262	10262
Contig1024_1356_1356	Contig1024	1356	1356
Contig1024_1363_1363	Contig1024	1363	1363
Contig102459_524_524	Contig102459	524	524
Contig102459_539_539	Contig102459	539	539
Contig1024_6259_6259	Contig1024	6259	6259
Contig1024_6303_6303	Contig1024	6303	6303
Contig1024_6347_6347	Contig1024	6347	6347
Contig102480_34_34	Contig102480	34	34
Contig102480_47_47	Contig102480	47	47
Contig102480_78_78	Contig102480	78	78
Contig1024_8625_8625	Contig1024	8625	8625
Contig102518_6472_6472	Contig102518	6472	6472
Contig102570_36_36	Contig102570	36	36
Contig102570_46_46	Contig102570	46	46
Contig102588_3842_3842	Contig102588	3842	3842
Contig102588_3851_3851	Contig102588	3851	3851
Contig10259_6222_6222	Contig10259	6222	6222
Contig102652_2328_2328	Contig102652	2328	2328
Contig102652_2344_2344	Contig102652	2344	2344
Contig102652_2359_2359	Contig102652	2359	2359
Contig102652_2370_2370	Contig102652	2370	2370
Contig102652_2372_2372	Contig102652	2372	2372
Contig102652_2593_2593	Contig102652	2593	2593
Contig102652_2635_2635	Contig102652	2635	2635
Contig102652_2673_2673	Contig102652	2673	2673
Contig102652_2675_2675	Contig102652	2675	2675
Contig102652_2701_2701	Contig102652	2701	2701
Contig102652_2712_2712	Contig102652	2712	2712
Contig102652_2714_2714	Contig102652	2714	2714
Contig102652_2751_2751	Contig102652	2751	2751
Contig102652_2784_2784	Contig102652	2784	2784
Contig102652_2787_2787	Contig102652	2787	2787
Contig102657_788_788	Contig102657	788	788
Contig102657_938_938	Contig102657	938	938
Contig102657_948_948	Contig102657	948	948
Contig10269_1483_1483	Contig10269	1483	1483
Contig10269_1486_1486	Contig10269	1486	1486
Contig10269_1492_1492	Contig10269	1492	1492
Contig10269_1938_1938	Contig10269	1938	1938
Contig10269_1953_1953	Contig10269	1953	1953
Contig102698_1784_1784	Contig102698	1784	1784
Contig102698_1809_1809	Contig102698	1809	1809
Contig102698_1846_1846	Contig102698	1846	1846
Contig102698_1850_1850	Contig102698	1850	1850
Contig102698_1869_1869	Contig102698	1869	1869
Contig102698_1885_1885	Contig102698	1885	1885
Contig102698_1889_1889	Contig102698	1889	1889
Contig102698_1893_1893	Contig102698	1893	1893
Contig102698_1916_1916	Contig102698	1916	1916
Contig102698_1936_1936	Contig102698	1936	1936
Contig102698_1948_1948	Contig102698	1948	1948
Contig102698_1966_1966	Contig102698	1966	1966
Contig102698_1979_1979	Contig102698	1979	1979
Contig102698_1987_1987	Contig102698	1987	1987
Contig102698_2074_2074	Contig102698	2074	2074
Contig102698_260_260	Contig102698	260	260
Contig102698_319_319	Contig102698	319	319
Contig102698_326_326	Contig102698	326	326
Contig102698_330_330	Contig102698	330	330
Contig102698_333_333	Contig102698	333	333
Contig102698_4924_4924	Contig102698	4924	4924
Contig102733_266_266	Contig102733	266	266
Contig102733_313_313	Contig102733	313	313
Contig102733_328_328	Contig102733	328	328
Contig102733_457_457	Contig102733	457	457
Contig102733_486_486	Contig102733	486	486
Contig102733_490_490	Contig102733	490	490
Contig102733_736_736	Contig102733	736	736
Contig102733_787_787	Contig102733	787	787
Contig102733_790_790	Contig102733	790	790
Contig102755_407_407	Contig102755	407	407
Contig102766_1504_1504	Contig102766	1504	1504
Contig102772_5239_5239	Contig102772	5239	5239
Contig102815_1152_1152	Contig102815	1152	1152
Contig102815_1170_1170	Contig102815	1170	1170
Contig102815_138_138	Contig102815	138	138
Contig102815_144_144	Contig102815	144	144
Contig102815_1558_1558	Contig102815	1558	1558
Contig102815_1563_1563	Contig102815	1563	1563
Contig102815_276_276	Contig102815	276	276
Contig102815_579_579	Contig102815	579	579
Contig102815_582_582	Contig102815	582	582
Contig102815_607_607	Contig102815	607	607
Contig102815_717_717	Contig102815	717	717
Contig102815_736_736	Contig102815	736	736
Contig102815_738_738	Contig102815	738	738
Contig102815_741_741	Contig102815	741	741
Contig102838_1119_1119	Contig102838	1119	1119
Contig102838_1139_1139	Contig102838	1139	1139
Contig102838_1462_1462	Contig102838	1462	1462
Contig102838_1545_1545	Contig102838	1545	1545
Contig102838_1580_1580	Contig102838	1580	1580
Contig102838_1740_1740	Contig102838	1740	1740
Contig102838_1747_1747	Contig102838	1747	1747
Contig102838_1781_1781	Contig102838	1781	1781
Contig102838_1795_1795	Contig102838	1795	1795
Contig102838_1817_1817	Contig102838	1817	1817
Contig102900_3839_3839	Contig102900	3839	3839
Contig102900_3843_3843	Contig102900	3843	3843
Contig102902_2091_2091	Contig102902	2091	2091
Contig102994_469_469	Contig102994	469	469
Contig102994_476_476	Contig102994	476	476
Contig102994_639_639	Contig102994	639	639
Contig102994_648_648	Contig102994	648	648
Contig102994_661_661	Contig102994	661	661
Contig102994_666_666	Contig102994	666	666
Contig102994_679_679	Contig102994	679	679
Contig102994_681_681	Contig102994	681	681
Contig102994_767_767	Contig102994	767	767
Contig102994_804_804	Contig102994	804	804
Contig102994_811_811	Contig102994	811	811
Contig102994_838_838	Contig102994	838	838
Contig102998_1609_1609	Contig102998	1609	1609
Contig102998_1953_1953	Contig102998	1953	1953
Contig102998_1959_1959	Contig102998	1959	1959
Contig102998_1972_1972	Contig102998	1972	1972
Contig102998_2099_2099	Contig102998	2099	2099
Contig102998_2108_2108	Contig102998	2108	2108
Contig102998_2210_2210	Contig102998	2210	2210
Contig102998_2221_2221	Contig102998	2221	2221
Contig102998_2231_2231	Contig102998	2231	2231
Contig103018_2289_2289	Contig103018	2289	2289
Contig103019_1016_1016	Contig103019	1016	1016
Contig103019_999_999	Contig103019	999	999
Contig103020_4894_4894	Contig103020	4894	4894
Contig103020_4906_4906	Contig103020	4906	4906
Contig103020_4916_4916	Contig103020	4916	4916
Contig103052_3414_3414	Contig103052	3414	3414
Contig103052_3417_3417	Contig103052	3417	3417
Contig103096_1733_1733	Contig103096	1733	1733
Contig103096_1818_1818	Contig103096	1818	1818
Contig103096_1828_1828	Contig103096	1828	1828
Contig1031_14644_14644	Contig1031	14644	14644
Contig103147_8226_8226	Contig103147	8226	8226
Contig103154_1973_1973	Contig103154	1973	1973
Contig103180_67_67	Contig103180	67	67
Contig103180_79_79	Contig103180	79	79
Contig103180_99_99	Contig103180	99	99
Contig103186_2987_2987	Contig103186	2987	2987
Contig103186_2999_2999	Contig103186	2999	2999
Contig103186_3002_3002	Contig103186	3002	3002
Contig103223_10912_10912	Contig103223	10912	10912
Contig103223_10922_10922	Contig103223	10922	10922
Contig103311_9896_9896	Contig103311	9896	9896
Contig103363_101_101	Contig103363	101	101
Contig103363_107_107	Contig103363	107	107
Contig103405_149_149	Contig103405	149	149
Contig103405_154_154	Contig103405	154	154
Contig103405_170_170	Contig103405	170	170
Contig103405_214_214	Contig103405	214	214
Contig1034_23064_23064	Contig1034	23064	23064
Contig1034_23109_23109	Contig1034	23109	23109
Contig103455_4408_4408	Contig103455	4408	4408
Contig103456_3111_3111	Contig103456	3111	3111
Contig103456_3993_3993	Contig103456	3993	3993
Contig103483_2610_2610	Contig103483	2610	2610
Contig103503_7021_7021	Contig103503	7021	7021
Contig103503_7028_7028	Contig103503	7028	7028
Contig103503_7054_7054	Contig103503	7054	7054
Contig103503_7067_7067	Contig103503	7067	7067
Contig103503_7072_7072	Contig103503	7072	7072
Contig10351_1020_1020	Contig10351	1020	1020
Contig10351_1056_1056	Contig10351	1056	1056
Contig10351_1105_1105	Contig10351	1105	1105
Contig103542_1765_1765	Contig103542	1765	1765
Contig103542_1813_1813	Contig103542	1813	1813
Contig103587_385_385	Contig103587	385	385
Contig103587_652_652	Contig103587	652	652
Contig103596_5094_5094	Contig103596	5094	5094
Contig103618_2452_2452	Contig103618	2452	2452
Contig103618_2456_2456	Contig103618	2456	2456
Contig103638_1789_1789	Contig103638	1789	1789
Contig103638_1872_1872	Contig103638	1872	1872
Contig103645_2496_2496	Contig103645	2496	2496
Contig103645_4225_4225	Contig103645	4225	4225
Contig103645_4302_4302	Contig103645	4302	4302
Contig103645_4308_4308	Contig103645	4308	4308
Contig103678_2404_2404	Contig103678	2404	2404
Contig103686_523_523	Contig103686	523	523
Contig103727_7530_7530	Contig103727	7530	7530
Contig103727_7533_7533	Contig103727	7533	7533
Contig10373_231_231	Contig10373	231	231
Contig10373_235_235	Contig10373	235	235
Contig10373_367_367	Contig10373	367	367
Contig10373_373_373	Contig10373	373	373
Contig10373_375_375	Contig10373	375	375
Contig10373_404_404	Contig10373	404	404
Contig10373_609_609	Contig10373	609	609
Contig10373_619_619	Contig10373	619	619
Contig103771_378_378	Contig103771	378	378
Contig103771_386_386	Contig103771	386	386
Contig103771_393_393	Contig103771	393	393
Contig103771_456_456	Contig103771	456	456
Contig103814_2263_2263	Contig103814	2263	2263
Contig103883_11258_11258	Contig103883	11258	11258
Contig103883_11409_11409	Contig103883	11409	11409
Contig103951_3406_3406	Contig103951	3406	3406
Contig103951_3521_3521	Contig103951	3521	3521
Contig103951_3926_3926	Contig103951	3926	3926
Contig103977_4534_4534	Contig103977	4534	4534
Contig104009_1457_1457	Contig104009	1457	1457
Contig104009_1529_1529	Contig104009	1529	1529
Contig104009_1544_1544	Contig104009	1544	1544
Contig104009_1547_1547	Contig104009	1547	1547
Contig104029_1208_1208	Contig104029	1208	1208
Contig104029_1263_1263	Contig104029	1263	1263
Contig104047_660_660	Contig104047	660	660
Contig104047_674_674	Contig104047	674	674
Contig104047_716_716	Contig104047	716	716
Contig104047_789_789	Contig104047	789	789
Contig104047_800_800	Contig104047	800	800
Contig104047_807_807	Contig104047	807	807
Contig104047_819_819	Contig104047	819	819
Contig104047_854_854	Contig104047	854	854
