gene,sig
Contig100994.3082,0
Contig100994.3089,0
Contig100994.3121,0
Contig100994.3139,0
Contig100994.3161,0
Contig100994.3168,0
Contig100994.3205,0
Contig100994.3208,0
Contig100994.3212,0
Contig100994.3215,0
Contig100994.3221,0
Contig100994.3226,0
Contig100994.3428,0
Contig100994.3442,0
Contig100994.3452,0
Contig100994.3461,0
Contig100994.3482,0
Contig100994.3495,0
Contig100994.3570,0
Contig100994.3576,0
Contig100994.3656,0
Contig100994.3675,0
Contig100994.3789,0
Contig100994.3794,0
Contig100994.3877,0
Contig100994.4122,0
Contig100994.4132,0
Contig100994.4177,0
Contig100994.4182,0
Contig100994.4185,0
Contig100994.4192,0
Contig100994.4206,0
Contig100994.4237,0
Contig100994.4252,0
Contig100994.4287,0
Contig100994.4308,0
Contig100994.4320,0
Contig100994.4324,0
Contig100994.4341,0
Contig100994.4345,0
Contig100994.4359,0
Contig100994.4368,0
Contig100994.4396,0
Contig100994.4424,0
Contig100994.4466,0
Contig100994.4652,0
Contig100994.4657,0
Contig100994.4662,0
Contig100994.4665,0
Contig100994.4748,0
Contig100994.4752,0
Contig100994.4765,0
Contig100994.4768,0
Contig100994.4770,0
Contig100994.4787,0
Contig100994.4797,0
Contig100994.4826,0
Contig1010.24213,0
Contig1010.24347,0
Contig1010.24354,0
Contig1010.24359,0
Contig1010.24362,0
Contig1010.24370,0
Contig1010.24399,0
Contig1010.24438,0
Contig1010.24453,0
Contig1010.24465,0
Contig1010.24483,0
Contig1010.24535,0
Contig1010.24595,0
Contig1010.24654,0
Contig1010.24666,0
Contig1010.24692,0
Contig1010.25392,0
Contig1010.25397,0
Contig1010.25466,0
Contig1010.25709,0
Contig1010.25772,0
Contig1010.25800,0
Contig1010.25821,0
Contig1010.25840,0
Contig1010.26133,0
Contig1010.26136,0
Contig1010.26213,0
Contig1010.26267,0
Contig1010.26271,0
Contig1010.26340,0
Contig1010.26451,0
Contig1010.26463,0
Contig1010.26560,0
Contig1010.26563,0
Contig1010.26621,0
Contig1010.26633,0
Contig1010.26639,0
Contig1010.26669,0
Contig1010.26717,0
Contig101068.11016,0
Contig101068.11025,0
Contig101068.11033,0
Contig101068.11038,0
Contig101068.5476,0
Contig101068.5507,0
Contig101069.297,0
Contig101069.320,0
Contig101069.388,0
Contig101069.398,0
Contig101152.11009,0
Contig101152.11060,0
Contig101152.13126,0
Contig101152.13147,0
Contig101152.13237,0
Contig101152.3750,0
Contig101313.4342,0
Contig101313.4361,0
Contig101313.4403,0
Contig101313.4417,0
Contig101313.4429,0
Contig101313.4435,0
Contig101313.4445,0
Contig101313.4468,0
Contig101313.4489,0
Contig101313.4497,0
Contig101313.4507,0
Contig101313.4540,0
Contig101313.4552,0
Contig101313.4631,0
Contig101375.2695,0
Contig101375.2715,0
Contig101375.2832,0
Contig101375.2877,0
Contig101375.2881,0
Contig101375.2906,0
Contig101375.2916,0
Contig101375.2945,0
Contig101375.2947,0
Contig101375.2964,0
Contig101375.2970,0
Contig101375.2994,0
Contig101375.2998,0
Contig101375.3001,0
Contig101375.3016,0
Contig101375.3072,0
Contig101375.3079,0
Contig101375.3217,0
Contig101375.3279,0
Contig101375.3295,0
Contig101375.3573,0
Contig101375.3580,0
Contig101527.14254,0
Contig101527.14260,0
Contig101527.14263,0
Contig101527.14811,0
Contig101527.14815,0
Contig101527.14893,0
Contig101527.14984,0
Contig101527.15000,0
Contig101801.2007,0
Contig101801.555,0
Contig101801.577,0
Contig101801.592,0
Contig101801.622,0
Contig101801.668,0
Contig101801.671,0
Contig101801.713,0
Contig101868.5031,0
Contig102072.1392,0
Contig102072.1402,0
Contig102072.1460,0
Contig102072.1464,0
Contig102072.1475,0
Contig102072.1487,0
Contig102072.1496,0
Contig102072.1548,0
Contig102089.3471,0
Contig102089.3474,0
Contig102089.3476,0
Contig102103.1070,0
Contig102103.1091,0
Contig102103.711,0
Contig102103.844,0
Contig102103.864,0
Contig102103.887,0
Contig102322.1498,0
Contig102322.2440,0
Contig102337.1063,0
Contig102337.1093,0
Contig102337.959,0
Contig102638.4974,0
Contig102638.4980,0
Contig102638.4990,0
Contig102772.5161,0
Contig102772.5176,0
Contig102772.5195,0
Contig102772.5218,0
Contig102772.5225,0
Contig102772.5233,0
Contig102772.5239,0
Contig102.8550,0
Contig102.8567,0
Contig102.8580,0
Contig102.8600,0
Contig102.8629,0
Contig102.8661,0
Contig1031.10631,0
Contig1031.10658,0
Contig1031.10688,0
Contig1031.10727,0
Contig1031.14575,0
Contig1031.14614,0
Contig1031.14644,0
Contig1031.14687,0
Contig1031.14689,0
Contig1031.14695,0
Contig1031.14708,0
Contig1031.14710,0
Contig1031.14715,0
Contig1031.14743,0
Contig1031.14760,0
Contig1031.14764,0
Contig1031.14766,0
Contig1031.14778,0
Contig1031.14781,0
Contig1031.14801,0
Contig1031.20257,0
Contig1031.20259,0
Contig1031.20267,0
Contig1031.26694,0
Contig1031.33458,0
Contig1031.33572,0
Contig1031.36610,0
Contig1031.39574,0
Contig103398.1417,0
Contig103398.4782,0
Contig1034.4902,0
Contig1034.4963,0
Contig1034.4971,0
Contig1034.5947,0
Contig1034.5985,0
Contig1034.5989,0
Contig103503.6946,0
Contig103503.6968,0
Contig103503.6973,0
Contig103503.6999,0
Contig103503.7015,0
Contig103503.7018,0
Contig103503.7021,0
Contig103503.7028,0
Contig103503.7054,0
Contig103503.7067,0
Contig103503.7072,0
Contig103503.7093,0
Contig103503.7097,0
Contig103503.7111,0
Contig103503.7144,0
Contig103503.7158,0
Contig103503.7171,0
Contig103503.7192,0
Contig103503.7207,0
Contig103503.7210,0
Contig103503.7260,0
Contig103503.7269,0
Contig103503.7294,0
Contig103503.7312,0
Contig103503.7354,0
Contig103542.1450,0
Contig103542.1481,0
Contig103542.1483,0
Contig103542.1564,0
Contig103542.1720,0
Contig103542.1728,0
Contig103542.1731,0
Contig103542.1735,0
Contig103542.1765,0
Contig103542.1813,0
Contig103542.1963,0
Contig103542.1974,0
Contig103542.2003,0
Contig103542.2289,0
Contig103542.2360,0
Contig103542.2423,0
Contig103542.2492,0
Contig1036.3135,0
Contig1036.3239,0
Contig1036.3268,0
Contig1036.3278,0
Contig1036.3281,0
Contig1036.3295,0
Contig1036.3302,0
Contig1036.3322,0
Contig1036.3334,0
Contig1036.3421,0
Contig1036.4969,0
Contig1036.4971,0
Contig1036.6614,0
Contig1036.6698,0
Contig1036.6718,0
Contig1036.6727,0
Contig1036.6731,0
Contig103795.2637,0
Contig103853.2319,0
Contig104009.1415,0
Contig104009.1457,0
Contig104009.1478,0
Contig104009.1529,0
Contig104009.1544,0
Contig104009.1547,0
Contig104009.1600,0
Contig104009.2134,0
Contig104009.2148,0
Contig104009.2167,0
Contig104009.2184,0
Contig104009.2200,0
Contig104009.2208,0
Contig104009.2214,0
Contig104009.2229,0
Contig104009.2233,0
Contig104009.2239,0
Contig104039.5849,0
Contig104064.2670,0
Contig104064.2685,0
Contig104064.2697,0
Contig104064.2704,0
Contig104064.2724,0
Contig104064.2748,0
Contig104064.2771,0
Contig104064.2985,0
Contig104064.3030,0
Contig104064.3033,0
Contig104064.3040,0
Contig104064.3067,0
Contig104064.3077,0
Contig104064.3094,0
Contig104064.3098,0
Contig104064.3216,0
Contig104064.3219,0
Contig104145.10199,0
Contig104145.10217,0
Contig104145.10220,0
Contig104145.10224,0
Contig104145.10236,0
Contig104145.10241,0
Contig104145.10248,0
Contig104145.10261,0
Contig104145.10269,0
Contig104145.10319,0
Contig104145.10383,0
Contig104145.11314,0
Contig104145.11319,0
Contig104145.11330,0
Contig104145.11692,0
Contig104145.11820,0
Contig104145.11838,0
Contig104145.11843,0
Contig104145.11854,0
Contig104145.11864,0
Contig104145.11871,0
Contig104145.11875,0
Contig104145.11907,0
Contig104145.13289,0
Contig104145.13312,0
Contig104145.13324,0
Contig104145.13327,0
Contig104145.13344,0
Contig104145.13388,0
Contig104145.13405,0
Contig104145.13409,0
Contig104145.13416,0
Contig104145.13419,0
Contig104145.13438,0
Contig104145.13474,0
Contig104145.15083,0
Contig104145.15331,0
Contig104145.15341,0
Contig104145.15381,0
Contig104145.15392,0
Contig104145.15413,0
Contig104145.15425,0
Contig104145.17105,0
Contig104145.17122,0
Contig104145.17132,0
Contig104145.17134,0
Contig104145.17138,0
Contig104145.17143,0
Contig104145.17178,0
Contig104145.17199,0
Contig104145.17383,0
Contig104145.17387,0
Contig104145.17391,0
Contig104145.17812,0
Contig104145.17936,0
Contig104145.18162,0
Contig104145.18170,0
Contig104145.18174,0
Contig104145.18209,0
Contig104145.18218,0
Contig104145.18233,0
Contig104145.18246,0
Contig104145.18251,0
Contig104145.18272,0
Contig104145.18285,0
Contig104145.18291,0
Contig104145.18321,0
Contig104145.18339,0
Contig104145.18366,0
Contig104145.6835,0
Contig104544.4087,0
Contig104544.4101,0
Contig104544.4146,0
Contig104544.4152,0
Contig104544.4156,0
Contig104544.4195,0
Contig104544.4240,0
Contig104544.4278,0
Contig104544.4318,0
Contig104544.4381,0
Contig104544.4400,0
Contig104544.4402,0
Contig104544.4416,0
Contig104544.4454,0
Contig104544.4460,0
Contig104544.4487,0
Contig104544.4519,0
Contig104544.4522,0
Contig104544.4595,0
Contig104544.4600,0
Contig104544.4602,0
Contig104544.4612,0
Contig104544.4641,0
Contig104544.4667,0
Contig104544.4695,0
Contig104544.4703,0
Contig104544.4715,0
Contig104544.4733,0
Contig104544.7862,0
Contig104544.7902,0
Contig104544.7912,0
Contig104544.7916,0
Contig104544.7925,0
Contig104544.7954,0
Contig104544.7961,0
Contig104544.7976,0
Contig104544.7982,0
Contig104544.8056,0
Contig104544.8064,0
Contig104619.2512,0
Contig104619.2524,0
Contig104619.2529,0
Contig104619.2539,0
Contig104619.2564,0
Contig104619.3765,0
Contig104619.3767,0
Contig104619.3791,0
Contig104619.3797,0
Contig104619.3834,0
Contig104891.10635,0
Contig1050.10357,0
Contig1050.21565,0
Contig1050.21591,0
Contig1050.22087,0
Contig1050.22098,0
Contig1050.22100,0
Contig1050.22173,0
Contig1050.22184,0
Contig1050.22345,0
Contig1050.22367,0
Contig1050.22389,0
Contig1050.22432,0
Contig1050.23113,0
Contig1050.23124,0
Contig1050.23126,0
Contig1050.23199,0
Contig1050.23212,0
Contig1050.6932,0
Contig1050.6943,0
Contig1050.6992,0
Contig1050.7007,0
Contig1050.7028,0
Contig1050.7043,0
Contig1050.7076,0
Contig1050.7099,0
Contig1050.7134,0
Contig1050.7204,0
Contig1050.7244,0
Contig1050.7266,0
Contig1050.7268,0
Contig1050.7275,0
Contig1050.7287,0
Contig1050.7295,0
Contig1050.7331,0
Contig1050.7394,0
Contig1050.7508,0
Contig1050.7625,0
Contig1050.7631,0
Contig1050.7641,0
Contig1050.7667,0
Contig1052.10181,0
Contig1052.10191,0
Contig1052.10196,0
Contig1052.10203,0
Contig1052.10211,0
Contig1052.10217,0
Contig1052.10227,0
Contig1052.10229,0
Contig1052.10250,0
Contig1052.10264,0
Contig1052.10268,0
Contig1052.10283,0
Contig1052.10288,0
Contig105343.5210,0
Contig105343.5283,0
Contig105343.5307,0
Contig105343.5325,0
Contig105343.5332,0
Contig10592.1001,0
Contig10592.1017,0
Contig10592.1024,0
Contig10592.1029,0
Contig10592.1048,0
Contig10592.1050,0
Contig10592.1241,0
Contig10592.1254,0
Contig10592.1266,0
Contig10592.1295,0
Contig10592.1299,0
Contig10592.1302,0
Contig10592.1319,0
Contig10592.1344,0
Contig10592.1346,0
Contig10592.1352,0
Contig10592.1359,0
Contig10592.1361,0
Contig10592.1368,0
Contig10592.1401,0
Contig10592.1419,0
Contig10592.1434,0
Contig10592.1498,0
Contig1059.24391,0
Contig1059.24395,0
Contig1059.24417,0
Contig1059.24484,0
Contig1059.24506,0
Contig1059.24532,0
Contig1059.24538,0
Contig1059.24572,0
Contig1059.24650,0
Contig1059.24653,0
Contig1059.24663,0
Contig1059.24677,0
Contig1059.24683,0
Contig1059.24879,0
Contig1059.24891,0
Contig1059.25003,0
Contig1059.25013,0
Contig1059.25061,0
Contig1059.25079,0
Contig1059.25096,0
Contig1059.25104,0
Contig1059.25172,0
Contig1059.25186,0
Contig1059.25206,0
Contig1059.25231,0
Contig1059.25241,0
Contig1059.25252,0
Contig1059.25260,0
Contig1059.25291,0
Contig10592.534,0
Contig1059.25400,0
Contig1059.25414,0
Contig10592.544,0
Contig10592.547,0
Contig10592.550,0
Contig10592.553,0
Contig10592.579,0
Contig10592.582,0
Contig1059.25851,0
Contig1059.25857,0
Contig10592.588,0
Contig1059.25979,0
Contig10592.598,0
Contig10592.612,0
Contig10592.625,0
Contig10592.636,0
Contig10592.660,0
Contig1059.26613,0
Contig1059.26660,0
Contig1059.26751,0
Contig1059.26774,0
Contig1059.26777,0
Contig1059.26782,0
Contig1059.26826,0
Contig10592.697,0
Contig10592.700,0
Contig10592.714,0
Contig1059.27148,0
Contig10592.717,0
Contig10592.720,0
Contig1059.27210,0
Contig10592.730,0
Contig10592.733,0
Contig10592.750,0
Contig10592.754,0
Contig10592.758,0
Contig10592.760,0
Contig10592.766,0
Contig10592.769,0
Contig10592.781,0
Contig10592.803,0
Contig10592.825,0
Contig10592.846,0
Contig10592.850,0
Contig10592.877,0
Contig10592.880,0
Contig10592.928,0
Contig10592.937,0
Contig10592.952,0
Contig10592.963,0
Contig10592.970,0
Contig10592.978,0
Contig10592.990,0
Contig1059.31010,0
Contig1059.31033,0
Contig1059.31049,0
Contig1059.31057,0
Contig1059.31062,0
Contig1059.31084,0
Contig1059.31096,0
Contig1059.31123,0
Contig1059.31143,0
Contig1059.31153,0
Contig1059.31159,0
Contig1059.31190,0
Contig1059.31198,0
Contig1059.31205,0
Contig1059.31235,0
Contig1059.31246,0
Contig1059.31718,0
Contig1059.32141,0
Contig10597.2994,0
Contig106.44874,0
Contig106.45018,0
Contig1065.22413,0
Contig1065.22435,0
Contig1065.22439,0
Contig1065.22520,0
Contig1065.22526,0
Contig1065.22585,0
Contig1065.22620,0
Contig1065.22704,0
Contig1065.22713,0
Contig1065.22720,0
Contig1065.22729,0
Contig1065.22800,0
Contig1065.22809,0
Contig1065.22922,0
Contig1065.23708,0
Contig1065.23743,0
Contig1065.23745,0
Contig1065.23776,0
Contig1065.23884,0
Contig1065.23888,0
Contig1065.23942,0
Contig1065.23947,0
Contig1065.23950,0
Contig1065.23953,0
Contig1065.23965,0
Contig106636.4213,0
Contig106636.4218,0
Contig106636.5728,0
Contig106842.1578,0
Contig106842.1677,0
Contig106842.1692,0
Contig106842.1703,0
Contig1069.10734,0
Contig1069.10780,0
Contig1069.10824,0
Contig1069.11924,0
Contig1069.17955,0
Contig1069.18099,0
Contig1069.18151,0
Contig1069.18175,0
Contig1069.18210,0
Contig1069.18273,0
Contig1069.18294,0
Contig1069.18306,0
Contig1069.18318,0
Contig1069.18329,0
Contig1069.18333,0
Contig1069.18348,0
Contig1069.18358,0
Contig1069.18480,0
Contig107120.1799,0
Contig107120.1806,0
Contig107120.1855,0
Contig107120.1879,0
Contig107120.1887,0
Contig107120.1898,0
Contig107120.1923,0
Contig107120.1930,0
Contig107120.1948,0
Contig107120.1972,0
Contig107120.1975,0
Contig107120.2019,0
Contig107120.2034,0
Contig107120.2082,0
Contig107120.2100,0
Contig107120.3209,0
Contig10730.1748,0
Contig10730.1814,0
Contig10730.1832,0
Contig10730.1842,0
Contig10730.1859,0
Contig10730.1869,0
Contig10730.1889,0
Contig10730.1923,0
Contig10730.1928,0
Contig10730.2070,0
Contig10730.2083,0
Contig10730.2090,0
Contig10730.2098,0
Contig10730.2117,0
Contig10730.2147,0
Contig10730.2166,0
Contig10730.2188,0
Contig10731.10147,0
Contig10731.10153,0
Contig10731.10167,0
Contig10731.10175,0
Contig10731.10189,0
Contig10731.10232,0
Contig10732.1379,0
Contig10732.1386,0
Contig10732.1499,0
Contig10732.1518,0
Contig10732.1533,0
Contig10732.507,0
Contig10732.543,0
Contig10732.549,0
Contig10732.562,0
Contig10732.576,0
Contig10732.642,0
Contig10732.673,0
Contig107367.2583,0
Contig107429.2654,0
Contig107429.4067,0
Contig107429.4073,0
Contig107429.4085,0
Contig107429.4124,0
Contig107429.4129,0
Contig107429.5533,0
Contig107429.5827,0
Contig107429.5870,0
Contig107429.5933,0
Contig107429.5981,0
Contig107429.6002,0
Contig107429.6009,0
Contig107429.6030,0
Contig107429.6065,0
Contig107429.6551,0
Contig107429.6613,0
Contig107541.4046,0
Contig107541.6280,0
Contig107541.6397,0
Contig107541.6554,0
Contig107541.6574,0
Contig107541.6578,0
Contig107541.6590,0
Contig107704.6657,0
Contig107704.6711,0
Contig107704.6718,0
Contig107704.6721,0
Contig107704.6784,0
Contig107704.6788,0
Contig107704.6793,0
Contig107704.6928,0
Contig107704.6940,0
Contig107704.6951,0
Contig107704.6961,0
Contig107704.6966,0
Contig107704.6978,0
Contig107704.6988,0
Contig107704.6997,0
Contig107704.7007,0
Contig107704.7018,0
Contig107704.7036,0
Contig107704.7044,0
Contig107704.7049,0
Contig107704.7069,0
Contig107704.7108,0
Contig107704.7115,0
Contig107704.7129,0
Contig107704.7173,0
Contig107704.7181,0
Contig107704.7233,0
Contig107704.7251,0
Contig107704.7315,0
Contig107704.7339,0
Contig107704.7347,0
Contig107704.7354,0
Contig107704.7360,0
Contig107704.7375,0
Contig107924.1003,0
Contig107924.1009,0
Contig107924.1021,0
Contig107924.1832,0
Contig107924.1836,0
Contig107924.1843,0
Contig107924.1863,0
Contig107924.1884,0
Contig107924.1896,0
Contig107924.1916,0
Contig107924.1938,0
Contig107924.2068,0
Contig107924.2123,0
Contig107924.2713,0
Contig107924.556,0
Contig107924.595,0
Contig107924.620,0
Contig107924.626,0
Contig107924.662,0
Contig107924.671,0
Contig107924.676,0
Contig107924.703,0
Contig107924.713,0
Contig107924.724,0
Contig107924.728,0
Contig107924.785,0
Contig107924.799,0
Contig107924.802,0
Contig107924.841,0
Contig107924.869,0
Contig107924.958,0
Contig107924.971,0
Contig108212.4584,0
Contig108212.4599,0
Contig108212.4609,0
Contig108212.4616,0
Contig108212.4694,0
Contig108212.4734,0
Contig108317.5466,0
Contig1083.18317,0
Contig1083.30865,0
Contig108447.1144,0
Contig108447.1148,0
Contig108447.1163,0
Contig108447.1259,0
Contig108447.1270,0
Contig108447.5568,0
Contig108447.5855,0
Contig108447.5860,0
Contig108447.5883,0
Contig108447.5907,0
Contig108447.5910,0
Contig108447.5915,0
Contig108447.5928,0
Contig108447.5931,0
Contig108447.5934,0
Contig108499.6880,0
Contig108499.7101,0
Contig108499.7107,0
Contig108499.7130,0
Contig108499.7161,0
Contig108499.7202,0
Contig108499.7204,0
Contig108499.7217,0
Contig108499.7261,0
Contig108499.7263,0
Contig108499.7312,0
Contig108499.7348,0
Contig108499.7362,0
Contig108499.7392,0
Contig108499.7417,0
Contig108499.7429,0
Contig108499.7438,0
Contig108499.7451,0
Contig108499.7469,0
Contig108499.7480,0
Contig108499.7486,0
Contig108499.7496,0
Contig108499.7498,0
Contig108499.7504,0
Contig108499.7520,0
Contig108499.7537,0
Contig108499.7553,0
Contig108499.7565,0
Contig108499.7605,0
Contig108499.7608,0
Contig108716.2489,0
Contig108716.2677,0
Contig108716.2681,0
Contig108716.2703,0
Contig108716.2747,0
Contig108716.2774,0
Contig108716.2805,0
Contig108716.2833,0
Contig108716.2844,0
Contig108716.2850,0
Contig108716.2864,0
Contig108716.2874,0
Contig108716.2891,0
Contig108716.2895,0
Contig108716.2906,0
Contig108716.2914,0
Contig108716.2922,0
Contig108716.3093,0
Contig108716.3143,0
Contig108716.3209,0
Contig108716.3262,0
Contig1097.11362,0
Contig1097.16200,0
Contig1097.16209,0
Contig1097.16243,0
Contig1097.16257,0
Contig1097.16271,0
Contig1097.16291,0
Contig1097.16359,0
Contig1097.16365,0
Contig1097.16383,0
Contig1097.16388,0
Contig1097.16396,0
Contig1097.16411,0
Contig1097.16422,0
Contig1097.16430,0
Contig1097.4012,0
Contig1098.13175,0
Contig1098.13299,0
Contig1098.13303,0
Contig1098.13327,0
Contig1098.13330,0
Contig1098.13338,0
Contig1098.13359,0
Contig1098.13434,0
Contig1098.13462,0
Contig1098.13475,0
Contig1098.13483,0
Contig1098.13485,0
Contig1098.13490,0
Contig1098.13496,0
Contig1098.13510,0
Contig1098.13513,0
Contig1098.13517,0
Contig1098.13528,0
Contig1098.13541,0
Contig1098.13547,0
Contig1098.13559,0
Contig1098.13580,0
Contig109.8173,0
Contig1098.17636,0
Contig1098.17645,0
Contig1098.17651,0
Contig1098.17669,0
Contig1098.17679,0
Contig1098.17694,0
Contig1098.17703,0
Contig1098.17705,0
Contig1098.17724,0
Contig1098.17967,0
Contig109.8180,0
Contig1098.21571,0
Contig1098.21620,0
Contig1098.21626,0
Contig1098.21655,0
Contig1098.21665,0
Contig1098.21672,0
Contig1098.21697,0
Contig1098.21707,0
Contig1098.21757,0
Contig1098.21778,0
Contig1098.21784,0
Contig1098.21792,0
Contig1098.21796,0
Contig1098.21815,0
Contig1098.21850,0
Contig1098.21880,0
Contig1098.21907,0
Contig1098.21913,0
Contig1098.21949,0
Contig1098.21975,0
Contig1098.22030,0
Contig1098.22114,0
Contig1098.22156,0
Contig1098.22286,0
Contig1098.22319,0
Contig1098.22331,0
Contig1098.22361,0
Contig1098.22379,0
Contig1098.22386,0
Contig1098.22402,0
Contig1098.22441,0
Contig1098.22492,0
Contig1098.22580,0
Contig1098.22947,0
Contig1098.22966,0
Contig1098.23004,0
Contig1098.23017,0
Contig1098.23074,0
Contig1098.23138,0
Contig1098.23175,0
Contig1098.23250,0
Contig1098.23291,0
Contig1098.23296,0
Contig1098.23374,0
Contig1098.23382,0
Contig1098.23386,0
Contig1098.23393,0
Contig1098.23410,0
Contig1098.23416,0
Contig1098.23422,0
Contig1098.23432,0
Contig1098.23450,0
Contig1098.23467,0
Contig1098.23479,0
Contig1098.23495,0
Contig1098.23512,0
Contig1098.23527,0
Contig1098.23598,0
Contig1098.23615,0
Contig1098.23625,0
Contig1098.23646,0
Contig1098.23714,0
Contig1098.6532,0
Contig1098.6535,0
Contig1098.6590,0
Contig1098.6605,0
Contig1098.6611,0
Contig1098.6655,0
Contig1098.6671,0
Contig1098.6680,0
Contig1098.6735,0
Contig1098.6750,0
Contig1098.7063,0
Contig1098.8335,0
Contig1098.8387,0
Contig1098.8549,0
Contig1098.8554,0
Contig1098.8569,0
Contig1098.8591,0
Contig1098.8597,0
Contig1098.8603,0
Contig1098.8606,0
Contig1098.8615,0
Contig1098.8639,0
Contig1098.8654,0
Contig1098.8676,0
Contig1098.8695,0
Contig1098.8697,0
Contig1098.8740,0
Contig1098.8744,0
Contig1098.8752,0
Contig1098.8761,0
Contig109914.24892,0
Contig109914.24912,0
Contig109914.24928,0
Contig109914.24933,0
Contig109914.24935,0
Contig109914.24946,0
Contig109914.24962,0
Contig109914.24968,0
Contig109914.24974,0
Contig109914.25036,0
Contig109914.25057,0
Contig109914.25215,0
Contig110104.12794,0
Contig110104.12894,0
Contig110104.13005,0
Contig110104.13017,0
Contig110104.13019,0
Contig110104.13027,0
Contig110104.13051,0
Contig110104.13121,0
Contig110104.13222,0
Contig110104.13231,0
Contig110573.2277,0
Contig110573.2288,0
Contig110573.3113,0
Contig110573.3143,0
Contig110573.3150,0
Contig110573.3164,0
Contig110573.3179,0
Contig110573.3198,0
Contig110573.3200,0
Contig110573.3211,0
Contig110573.3246,0
Contig110573.3281,0
Contig110573.3286,0
Contig110573.3289,0
Contig110573.3298,0
Contig110573.3320,0
Contig110573.3332,0
Contig110573.3360,0
Contig110573.3386,0
Contig110573.3407,0
Contig110573.3466,0
Contig1.10731,0
Contig11092.7764,0
Contig11092.7879,0
Contig110969.8675,0
Contig1111.26064,0
Contig1111.26132,0
Contig1111.26951,0
Contig1111.27059,0
Contig1111.27665,0
Contig1113.12294,0
Contig1113.12424,0
Contig1113.12548,0
Contig1113.12573,0
Contig1113.12599,0
Contig1113.12603,0
Contig1113.12606,0
Contig1113.12667,0
Contig1113.12695,0
Contig1113.12714,0
Contig1113.12731,0
Contig1113.12758,0
Contig1113.12792,0
Contig1113.12938,0
Contig1113.12955,0
Contig1113.12972,0
Contig1113.12983,0
Contig1113.12993,0
Contig1113.12999,0
Contig1113.13002,0
Contig1113.13005,0
Contig1113.13011,0
Contig1113.13017,0
Contig1113.13021,0
Contig1113.13077,0
Contig1113.13121,0
Contig1113.13158,0
Contig1113.13163,0
Contig1113.13167,0
Contig1113.13178,0
Contig1113.13191,0
Contig1113.13219,0
Contig1113.13221,0
Contig1113.13241,0
Contig1113.13245,0
Contig1113.13296,0
Contig111397.10972,0
Contig111397.10975,0
Contig111397.5723,0
Contig11157.6038,0
Contig11157.6344,0
Contig11157.6354,0
Contig11157.7201,0
Contig11157.7315,0
Contig11157.7339,0
Contig11157.7442,0
Contig11157.7463,0
Contig11157.7591,0
Contig11157.7720,0
Contig11157.7722,0
Contig11157.7726,0
Contig11157.7734,0
Contig11157.7752,0
Contig11157.7768,0
Contig11157.7782,0
Contig11157.7796,0
Contig11157.7863,0
Contig11157.7902,0
Contig11157.7904,0
Contig11157.7923,0
Contig11157.8127,0
Contig1.11595,0
Contig1.11608,0
Contig1.11620,0
Contig1.11653,0
Contig11167.1276,0
Contig11167.1361,0
Contig11167.679,0
Contig11167.800,0
Contig11167.802,0
Contig11174.1113,0
Contig11174.1118,0
Contig11174.1137,0
