"","contig","start","end","HC.1x.count","SS.1x.count","HC.meanmeth","SS.meanmeth","HC.5x.count","SS.5x.count","start.gene","end.gene","attribute","ID","Note","Ontology_term","SPID"
"11","Contig23413",14891,14891,0,9,NA,96.2261904761905,0,8,2419,19203,"ID=OLUR_00011655;Name=OLUR_00011655;Alias=maker-Contig23413-snap-gene-0.3;Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);Dbxref=CDD:cd12876,Gene3D:G3DSA:2.60.120.920,InterPro:IPR001496,InterPro:IPR001870,InterPro:IPR003877,InterPro:IPR013320,InterPro:IPR035754,MobiDBLite:mobidb-lite,Pfam:PF00622,ProSiteProfiles:PS50188,ProSiteProfiles:PS50225,SMART:SM00449,SUPERFAMILY:SSF49899;Ontology_term=GO:0005515;SPID=Q6PJ21;","ID=OLUR_00011655;","Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PJ21"
"12","Contig23413",14909,14909,1,9,NA,92.8712620666644,0,9,1,15589,"ID=OLUR_00011654;Name=OLUR_00011654;Alias=maker-Contig23413-snap-gene-0.4;Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);Dbxref=Pfam:PF12698;SPID=Q8R420;","ID=OLUR_00011654;","Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);",NA,"Q8R420"
"13","Contig23413",14909,14909,1,9,NA,92.8712620666644,0,9,2419,19203,"ID=OLUR_00011655;Name=OLUR_00011655;Alias=maker-Contig23413-snap-gene-0.3;Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);Dbxref=CDD:cd12876,Gene3D:G3DSA:2.60.120.920,InterPro:IPR001496,InterPro:IPR001870,InterPro:IPR003877,InterPro:IPR013320,InterPro:IPR035754,MobiDBLite:mobidb-lite,Pfam:PF00622,ProSiteProfiles:PS50188,ProSiteProfiles:PS50225,SMART:SM00449,SUPERFAMILY:SSF49899;Ontology_term=GO:0005515;SPID=Q6PJ21;","ID=OLUR_00011655;","Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PJ21"
"14","Contig23413",14913,14913,1,9,NA,98.0944267545575,0,9,1,15589,"ID=OLUR_00011654;Name=OLUR_00011654;Alias=maker-Contig23413-snap-gene-0.4;Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);Dbxref=Pfam:PF12698;SPID=Q8R420;","ID=OLUR_00011654;","Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);",NA,"Q8R420"
"15","Contig23413",14913,14913,1,9,NA,98.0944267545575,0,9,2419,19203,"ID=OLUR_00011655;Name=OLUR_00011655;Alias=maker-Contig23413-snap-gene-0.3;Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);Dbxref=CDD:cd12876,Gene3D:G3DSA:2.60.120.920,InterPro:IPR001496,InterPro:IPR001870,InterPro:IPR003877,InterPro:IPR013320,InterPro:IPR035754,MobiDBLite:mobidb-lite,Pfam:PF00622,ProSiteProfiles:PS50188,ProSiteProfiles:PS50225,SMART:SM00449,SUPERFAMILY:SSF49899;Ontology_term=GO:0005515;SPID=Q6PJ21;","ID=OLUR_00011655;","Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PJ21"
"16","Contig23413",14918,14918,2,9,NA,97.4206349206349,0,7,1,15589,"ID=OLUR_00011654;Name=OLUR_00011654;Alias=maker-Contig23413-snap-gene-0.4;Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);Dbxref=Pfam:PF12698;SPID=Q8R420;","ID=OLUR_00011654;","Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);",NA,"Q8R420"
"17","Contig23413",14918,14918,2,9,NA,97.4206349206349,0,7,2419,19203,"ID=OLUR_00011655;Name=OLUR_00011655;Alias=maker-Contig23413-snap-gene-0.3;Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);Dbxref=CDD:cd12876,Gene3D:G3DSA:2.60.120.920,InterPro:IPR001496,InterPro:IPR001870,InterPro:IPR003877,InterPro:IPR013320,InterPro:IPR035754,MobiDBLite:mobidb-lite,Pfam:PF00622,ProSiteProfiles:PS50188,ProSiteProfiles:PS50225,SMART:SM00449,SUPERFAMILY:SSF49899;Ontology_term=GO:0005515;SPID=Q6PJ21;","ID=OLUR_00011655;","Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PJ21"
"18","Contig23413",15445,15445,1,9,NA,95.7264957264957,0,7,1,15589,"ID=OLUR_00011654;Name=OLUR_00011654;Alias=maker-Contig23413-snap-gene-0.4;Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);Dbxref=Pfam:PF12698;SPID=Q8R420;","ID=OLUR_00011654;","Note=Similar to Abca3: ATP-binding cassette sub-family A member 3 (Mus musculus OX%3D10090);",NA,"Q8R420"
"19","Contig23413",15445,15445,1,9,NA,95.7264957264957,0,7,2419,19203,"ID=OLUR_00011655;Name=OLUR_00011655;Alias=maker-Contig23413-snap-gene-0.3;Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);Dbxref=CDD:cd12876,Gene3D:G3DSA:2.60.120.920,InterPro:IPR001496,InterPro:IPR001870,InterPro:IPR003877,InterPro:IPR013320,InterPro:IPR035754,MobiDBLite:mobidb-lite,Pfam:PF00622,ProSiteProfiles:PS50188,ProSiteProfiles:PS50225,SMART:SM00449,SUPERFAMILY:SSF49899;Ontology_term=GO:0005515;SPID=Q6PJ21;","ID=OLUR_00011655;","Note=Similar to SPSB3: SPRY domain-containing SOCS box protein 3 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PJ21"
"20","Contig23468",9841,9841,1,8,NA,95.6965394853594,0,7,7641,21740,"ID=OLUR_00008064;Name=OLUR_00008064;Alias=maker-Contig23468-snap-gene-0.4;Note=Similar to WDSUB1: WD repeat%2C SAM and U-box domain-containing protein 1 (Gallus gallus OX%3D9031);Dbxref=Gene3D:G3DSA:1.10.150.50,Gene3D:G3DSA:2.130.10.10,Gene3D:G3DSA:3.30.40.10,InterPro:IPR001660,InterPro:IPR001680,InterPro:IPR003613,InterPro:IPR013083,InterPro:IPR013761,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472,InterPro:IPR036322,PRINTS:PR00320,Pfam:PF00400,Pfam:PF04564,Pfam:PF07647,ProSitePatterns:PS00678,ProSiteProfiles:PS50082,ProSiteProfiles:PS50105,ProSiteProfiles:PS50294,ProSiteProfiles:PS51698,SMART:SM00320,SMART:SM00454,SMART:SM00504,SUPERFAMILY:SSF47769,SUPERFAMILY:SSF50978,SUPERFAMILY:SSF57850;Ontology_term=GO:0004842,GO:0005515,GO:0016567;SPID=Q5ZMC3;","ID=OLUR_00008064;","Note=Similar to WDSUB1: WD repeat%2C SAM and U-box domain-containing protein 1 (Gallus gallus OX%3D9031);","Ontology_term=GO:0004842,GO:0005515,GO:0016567;","Q5ZMC3"
"21","Contig2848",8701,8701,1,7,NA,90.6514120799835,0,7,7497,26283,"ID=OLUR_00007721;Name=OLUR_00007721;Alias=maker-Contig2848-snap-gene-0.4;Note=Similar to ATRIP: ATR-interacting protein (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;SPID=Q8WXE1;","ID=OLUR_00007721;","Note=Similar to ATRIP: ATR-interacting protein (Homo sapiens OX%3D9606);",NA,"Q8WXE1"
"22","Contig2848",8701,8701,1,7,NA,90.6514120799835,0,7,5607,17267,"ID=OLUR_00007720;Name=OLUR_00007720;Alias=snap_masked-Contig2848-processed-gene-0.2;Note=Similar to KLHL35: Kelch-like protein 35 (Homo sapiens OX%3D9606);Dbxref=CDD:cd14735,Gene3D:G3DSA:1.25.40.420,Gene3D:G3DSA:2.120.10.80,Gene3D:G3DSA:3.30.710.10,InterPro:IPR000210,InterPro:IPR006652,InterPro:IPR011333,InterPro:IPR011705,InterPro:IPR015915,Pfam:PF00651,Pfam:PF07707,SMART:SM00612,SMART:SM00875,SUPERFAMILY:SSF117281,SUPERFAMILY:SSF54695;Ontology_term=GO:0005515;SPID=Q6PF15;","ID=OLUR_00007720;","Note=Similar to KLHL35: Kelch-like protein 35 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PF15"
"23","Contig2848",8728,8728,1,8,NA,96.1834733893557,0,7,7497,26283,"ID=OLUR_00007721;Name=OLUR_00007721;Alias=maker-Contig2848-snap-gene-0.4;Note=Similar to ATRIP: ATR-interacting protein (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;SPID=Q8WXE1;","ID=OLUR_00007721;","Note=Similar to ATRIP: ATR-interacting protein (Homo sapiens OX%3D9606);",NA,"Q8WXE1"
"24","Contig2848",8728,8728,1,8,NA,96.1834733893557,0,7,5607,17267,"ID=OLUR_00007720;Name=OLUR_00007720;Alias=snap_masked-Contig2848-processed-gene-0.2;Note=Similar to KLHL35: Kelch-like protein 35 (Homo sapiens OX%3D9606);Dbxref=CDD:cd14735,Gene3D:G3DSA:1.25.40.420,Gene3D:G3DSA:2.120.10.80,Gene3D:G3DSA:3.30.710.10,InterPro:IPR000210,InterPro:IPR006652,InterPro:IPR011333,InterPro:IPR011705,InterPro:IPR015915,Pfam:PF00651,Pfam:PF07707,SMART:SM00612,SMART:SM00875,SUPERFAMILY:SSF117281,SUPERFAMILY:SSF54695;Ontology_term=GO:0005515;SPID=Q6PF15;","ID=OLUR_00007720;","Note=Similar to KLHL35: Kelch-like protein 35 (Homo sapiens OX%3D9606);","Ontology_term=GO:0005515;","Q6PF15"
"25","Contig32474",245,245,2,7,80,77.4722520587182,1,7,1,3498,"ID=OLUR_00029700;Name=OLUR_00029700;Alias=maker-Contig32474-snap-gene-0.1;Note=Similar to Kunitz-type serine protease inhibitor LmKTT-1a (Lychas mucronatus OX%3D172552);Dbxref=CDD:cd00109,Coils:Coil,Gene3D:G3DSA:1.10.1280.10,Gene3D:G3DSA:4.10.410.10,InterPro:IPR002223,InterPro:IPR002227,InterPro:IPR008922,InterPro:IPR020901,InterPro:IPR036880,PRINTS:PR00759,Pfam:PF00014,Pfam:PF00264,ProSitePatterns:PS00280,ProSitePatterns:PS00498,ProSiteProfiles:PS50279,SMART:SM00131,SUPERFAMILY:SSF48056,SUPERFAMILY:SSF57362;Ontology_term=GO:0004867,GO:0016491;SPID=P0DJ46;","ID=OLUR_00029700;","Note=Similar to Kunitz-type serine protease inhibitor LmKTT-1a (Lychas mucronatus OX%3D172552);","Ontology_term=GO:0004867,GO:0016491;","P0DJ46"
"26","Contig408",7354,7354,0,9,NA,94.9603174603175,0,7,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"27","Contig408",7356,7356,0,9,NA,94.8194662480377,0,7,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"28","Contig408",7360,7360,1,9,NA,94.2194637711715,0,9,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"29","Contig408",7367,7367,1,9,NA,95.4818964622886,0,9,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"30","Contig408",9349,9349,0,9,NA,93.1932773109244,0,8,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"31","Contig408",10161,10161,2,9,NA,96.4342948717949,0,8,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"32","Contig408",10244,10244,1,9,NA,90.2610969277636,0,9,1,12660,"ID=OLUR_00006734;Name=OLUR_00006734;Alias=maker-Contig408-snap-gene-0.5;Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);Dbxref=CDD:cd01390,Coils:Coil,Gene3D:G3DSA:1.10.30.10,InterPro:IPR009071,InterPro:IPR036910,MobiDBLite:mobidb-lite,Pfam:PF00505,ProSiteProfiles:PS50118,SMART:SM00398,SUPERFAMILY:SSF47095;SPID=Q5ZKF4;","ID=OLUR_00006734;","Note=Similar to HMG20A: High mobility group protein 20A (Gallus gallus OX%3D9031);",NA,"Q5ZKF4"
"33","Contig46365",1579,1579,2,7,NA,100,0,7,1,11750,"ID=OLUR_00018946;Name=OLUR_00018946;Alias=maker-Contig46365-snap-gene-0.1;Note=Similar to HERC2: Probable E3 ubiquitin-protein ligase HERC2 (Drosophila melanogaster OX%3D7227);Dbxref=MobiDBLite:mobidb-lite;SPID=Q9VR91;","ID=OLUR_00018946;","Note=Similar to HERC2: Probable E3 ubiquitin-protein ligase HERC2 (Drosophila melanogaster OX%3D7227);",NA,"Q9VR91"
"34","Contig50549",47,47,2,9,NA,97.6190476190476,0,7,1,11475,"ID=OLUR_00017281;Name=OLUR_00017281;Alias=snap_masked-Contig50549-processed-gene-0.1;Note=Similar to CAD: CAD protein (Squalus acanthias OX%3D7797);Dbxref=Gene3D:G3DSA:3.40.50.880,Gene3D:G3DSA:3.50.30.20,InterPro:IPR002474,InterPro:IPR017926,InterPro:IPR029062,InterPro:IPR036480,PRINTS:PR00096,PRINTS:PR00099,Pfam:PF00117,Pfam:PF00988,ProSiteProfiles:PS51273,SMART:SM01097,SUPERFAMILY:SSF52021,SUPERFAMILY:SSF52317;SPID=Q91437;","ID=OLUR_00017281;","Note=Similar to CAD: CAD protein (Squalus acanthias OX%3D7797);",NA,"Q91437"
"35","Contig5483",3637,3637,1,8,NA,93.5714285714286,0,7,1504,4431,"ID=OLUR_00028531;Name=OLUR_00028531;Alias=snap_masked-Contig5483-processed-gene-0.0;Note=Similar to yih1: Protein IMPACT homolog (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812);Dbxref=Gene3D:G3DSA:3.30.230.30,InterPro:IPR001498,InterPro:IPR020568,InterPro:IPR036956,Pfam:PF01205,SUPERFAMILY:SSF54211;SPID=O13997;","ID=OLUR_00028531;","Note=Similar to yih1: Protein IMPACT homolog (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812);",NA,"O13997"
"36","Contig5483",3742,3742,2,7,NA,86.0485347985348,0,7,1504,4431,"ID=OLUR_00028531;Name=OLUR_00028531;Alias=snap_masked-Contig5483-processed-gene-0.0;Note=Similar to yih1: Protein IMPACT homolog (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812);Dbxref=Gene3D:G3DSA:3.30.230.30,InterPro:IPR001498,InterPro:IPR020568,InterPro:IPR036956,Pfam:PF01205,SUPERFAMILY:SSF54211;SPID=O13997;","ID=OLUR_00028531;","Note=Similar to yih1: Protein IMPACT homolog (Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX%3D284812);",NA,"O13997"
"37","Contig55078",4703,4703,2,7,100,93.4134119848406,2,7,1,5636,"ID=OLUR_00026975;Name=OLUR_00026975;Alias=snap_masked-Contig55078-processed-gene-0.0;Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);Dbxref=InterPro:IPR012337,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF53098;SPID=O60290;","ID=OLUR_00026975;","Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);",NA,"O60290"
"38","Contig55078",4744,4744,2,8,72.7272727272727,82.9292929292929,1,7,1,5636,"ID=OLUR_00026975;Name=OLUR_00026975;Alias=snap_masked-Contig55078-processed-gene-0.0;Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);Dbxref=InterPro:IPR012337,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF53098;SPID=O60290;","ID=OLUR_00026975;","Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);",NA,"O60290"
"39","Contig55078",4877,4877,2,7,100,89.8526077097506,2,7,1,5636,"ID=OLUR_00026975;Name=OLUR_00026975;Alias=snap_masked-Contig55078-processed-gene-0.0;Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);Dbxref=InterPro:IPR012337,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF53098;SPID=O60290;","ID=OLUR_00026975;","Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);",NA,"O60290"
"40","Contig55078",4881,4881,2,7,100,94.9732285258601,1,7,1,5636,"ID=OLUR_00026975;Name=OLUR_00026975;Alias=snap_masked-Contig55078-processed-gene-0.0;Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);Dbxref=InterPro:IPR012337,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF53098;SPID=O60290;","ID=OLUR_00026975;","Note=Similar to ZNF862: Zinc finger protein 862 (Homo sapiens OX%3D9606);",NA,"O60290"
"41","Contig5593",2231,2231,2,9,40,79.2460317460317,1,9,1,4780,"ID=OLUR_00024942;Name=OLUR_00024942;Alias=maker-Contig5593-snap-gene-0.2;Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);Dbxref=InterPro:IPR000331,InterPro:IPR035974,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50085,SUPERFAMILY:SSF111347;Ontology_term=GO:0005096,GO:0051056;SPID=Q8BQZ4;","ID=OLUR_00024942;","Note=Similar to Ralgapb: Ral GTPase-activating protein subunit beta (Mus musculus OX%3D10090);","Ontology_term=GO:0005096,GO:0051056;","Q8BQZ4"
