contig_gene,start_gene,end_gene,notes_gene,pval.treatment,adj.pval.pop,ID,Parent,Name,Alias,AED,eAED,Note,Ontology_term,Dbxref
Contig143,5740,25511,"ID=OLUR_00000828;Name=OLUR_00000828;Alias=maker-Contig143-snap-gene-0.3;Note=Similar to ZMYND12: Zinc finger MYND domain-containing protein 12 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:1.25.40.10,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,Pfam:PF13181,ProSiteProfiles:PS50005,ProSiteProfiles:PS50293,SMART:SM00028,SUPERFAMILY:SSF48452;Ontology_term=GO:0005515;",6.713509054211274e-20,2.3386362844495965e-17,ID=OLUR_00000828;,NA,Name=OLUR_00000828;,Alias=maker-Contig143-snap-gene-0.3;,NA,NA,Note=Similar to ZMYND12: Zinc finger MYND domain-containing protein 12 (Homo sapiens OX%3D9606);,Ontology_term=GO:0005515;,"Dbxref=Gene3D:G3DSA:1.25.40.10,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,Pfam:PF13181,ProSiteProfiles:PS50005,ProSiteProfiles:PS50293,SMART:SM00028,SUPERFAMILY:SSF48452;"
Contig1460,1,26671,ID=OLUR_00007546;Name=OLUR_00007546;Alias=maker-Contig1460-snap-gene-0.2;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,0.010179786814020843,0.045085932533960746,ID=OLUR_00007546;,NA,Name=OLUR_00007546;,Alias=maker-Contig1460-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig152,4965,37832,"ID=OLUR_00002517;Name=OLUR_00002517;Alias=snap_masked-Contig152-processed-gene-0.3;Note=Similar to ahctf1: Protein ELYS (Xenopus laevis OX%3D8355);Dbxref=Coils:Coil,InterPro:IPR025151,InterPro:IPR032040,MobiDBLite:mobidb-lite,Pfam:PF13934,Pfam:PF16687;",2.1650670017168783e-7,4.3043466049021414e-6,ID=OLUR_00002517;,NA,Name=OLUR_00002517;,Alias=snap_masked-Contig152-processed-gene-0.3;,NA,NA,Note=Similar to ahctf1: Protein ELYS (Xenopus laevis OX%3D8355);,NA,"Dbxref=Coils:Coil,InterPro:IPR025151,InterPro:IPR032040,MobiDBLite:mobidb-lite,Pfam:PF13934,Pfam:PF16687;"
Contig15328,1845,11228,"ID=OLUR_00019615;Name=OLUR_00019615;Alias=maker-Contig15328-snap-gene-0.2;Note=Protein of unknown function;Dbxref=CDD:cd00201,Coils:Coil,Gene3D:G3DSA:2.20.70.10,InterPro:IPR001202,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50020;Ontology_term=GO:0005515;",4.677933040737602e-7,7.873865445880183e-6,ID=OLUR_00019615;,NA,Name=OLUR_00019615;,Alias=maker-Contig15328-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,Ontology_term=GO:0005515;,"Dbxref=CDD:cd00201,Coils:Coil,Gene3D:G3DSA:2.20.70.10,InterPro:IPR001202,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50020;"
Contig15921,14738,25517,"ID=OLUR_00003195;Name=OLUR_00003195;Alias=maker-Contig15921-snap-gene-0.6;Note=Protein of unknown function;Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",0.009821229183489105,0.04407585329984275,ID=OLUR_00003195;,NA,Name=OLUR_00003195;,Alias=maker-Contig15921-snap-gene-0.6;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig1676,862,11469,ID=OLUR_00014572;Name=OLUR_00014572;Alias=maker-Contig1676-snap-gene-0.3;Note=Similar to Huwe1: E3 ubiquitin-protein ligase HUWE1 (Mus musculus OX%3D10090);Dbxref=Coils:Coil;,0.0012155894679234602,0.008225762514360442,ID=OLUR_00014572;,NA,Name=OLUR_00014572;,Alias=maker-Contig1676-snap-gene-0.3;,NA,NA,Note=Similar to Huwe1: E3 ubiquitin-protein ligase HUWE1 (Mus musculus OX%3D10090);,NA,Dbxref=Coils:Coil;
Contig16846,1,8383,"ID=OLUR_00023183;Name=OLUR_00023183;Alias=maker-Contig16846-snap-gene-0.2;Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR023415,InterPro:IPR036055,MobiDBLite:mobidb-lite,PRINTS:PR00261,Pfam:PF00057,Pfam:PF00629,ProSitePatterns:PS01209,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;Ontology_term=GO:0005515,GO:0016020;",2.0721720510549035e-18,1.3951464263068812e-16,ID=OLUR_00023183;,NA,Name=OLUR_00023183;,Alias=maker-Contig16846-snap-gene-0.2;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);,"Ontology_term=GO:0005515,GO:0016020;","Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR023415,InterPro:IPR036055,MobiDBLite:mobidb-lite,PRINTS:PR00261,Pfam:PF00057,Pfam:PF00629,ProSitePatterns:PS01209,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;"
Contig16849,3430,10727,"ID=OLUR_00018277;Name=OLUR_00018277;Alias=maker-Contig16849-snap-gene-0.4;Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR023415,InterPro:IPR036055,PRINTS:PR00261,Pfam:PF00057,Pfam:PF00629,ProSitePatterns:PS01209,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,ProSiteProfiles:PS51257,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;Ontology_term=GO:0005515,GO:0016020;",6.971538253925107e-5,7.12448526663877e-4,ID=OLUR_00018277;,NA,Name=OLUR_00018277;,Alias=maker-Contig16849-snap-gene-0.4;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);,"Ontology_term=GO:0005515,GO:0016020;","Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR023415,InterPro:IPR036055,PRINTS:PR00261,Pfam:PF00057,Pfam:PF00629,ProSitePatterns:PS01209,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,ProSiteProfiles:PS51257,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;"
Contig16849,6810,11100,"ID=OLUR_00018278;Name=OLUR_00018278;Alias=snap_masked-Contig16849-processed-gene-0.1;Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd06263,Gene3D:G3DSA:2.60.120.200,InterPro:IPR000998,InterPro:IPR013320,Pfam:PF00629,ProSiteProfiles:PS50060,SUPERFAMILY:SSF49899;Ontology_term=GO:0016020;",0.008798994346523056,0.04003267615238088,ID=OLUR_00018278;,NA,Name=OLUR_00018278;,Alias=snap_masked-Contig16849-processed-gene-0.1;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);,Ontology_term=GO:0016020;,"Dbxref=CDD:cd06263,Gene3D:G3DSA:2.60.120.200,InterPro:IPR000998,InterPro:IPR013320,Pfam:PF00629,ProSiteProfiles:PS50060,SUPERFAMILY:SSF49899;"
Contig16849,7680,12340,"ID=OLUR_00018280;Name=OLUR_00018280;Alias=maker-Contig16849-snap-gene-0.5;Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR036055,MobiDBLite:mobidb-lite,PRINTS:PR00020,PRINTS:PR00261,Pfam:PF00057,Pfam:PF00629,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;Ontology_term=GO:0005515,GO:0016020;",1.19905036037815e-16,5.492501611712227e-15,ID=OLUR_00018280;,NA,Name=OLUR_00018280;,Alias=maker-Contig16849-snap-gene-0.5;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 2 (Fragment) (Acropora millepora OX%3D45264);,"Ontology_term=GO:0005515,GO:0016020;","Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR036055,MobiDBLite:mobidb-lite,PRINTS:PR00020,PRINTS:PR00261,Pfam:PF00057,Pfam:PF00629,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;"
Contig16850,1,1883,"ID=OLUR_00031476;Name=OLUR_00031476;Alias=maker-Contig16850-snap-gene-0.2;Note=Similar to MAM and LDL-receptor class A domain-containing protein 1 (Fragment) (Acropora millepora OX%3D45264);Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR036055,MobiDBLite:mobidb-lite,Pfam:PF00629,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;Ontology_term=GO:0005515,GO:0016020;",1.5300630549102314e-5,1.9335749520411316e-4,ID=OLUR_00031476;,NA,Name=OLUR_00031476;,Alias=maker-Contig16850-snap-gene-0.2;,NA,NA,Note=Similar to MAM and LDL-receptor class A domain-containing protein 1 (Fragment) (Acropora millepora OX%3D45264);,"Ontology_term=GO:0005515,GO:0016020;","Dbxref=CDD:cd00112,CDD:cd06263,Gene3D:G3DSA:2.60.120.200,Gene3D:G3DSA:4.10.400.10,InterPro:IPR000998,InterPro:IPR002172,InterPro:IPR013320,InterPro:IPR036055,MobiDBLite:mobidb-lite,Pfam:PF00629,ProSiteProfiles:PS50060,ProSiteProfiles:PS50068,SMART:SM00137,SMART:SM00192,SUPERFAMILY:SSF49899,SUPERFAMILY:SSF57424;"
Contig17101,2064,9196,"ID=OLUR_00004213;Name=OLUR_00004213;Alias=maker-Contig17101-snap-gene-0.8;Note=Protein of unknown function;Dbxref=InterPro:IPR025155,MobiDBLite:mobidb-lite,Pfam:PF13330;",0.0023488780911395625,0.01365395327987153,ID=OLUR_00004213;,NA,Name=OLUR_00004213;,Alias=maker-Contig17101-snap-gene-0.8;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=InterPro:IPR025155,MobiDBLite:mobidb-lite,Pfam:PF13330;"
Contig17101,18155,31839,"ID=OLUR_00004217;Name=OLUR_00004217;Alias=snap_masked-Contig17101-processed-gene-0.3;Note=Similar to MUC5B: Mucin-5B (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR000421,InterPro:IPR008979,InterPro:IPR025155,MobiDBLite:mobidb-lite,Pfam:PF13330,ProSitePatterns:PS01286,SUPERFAMILY:SSF49785;",1.351344397915364e-4,0.001248785618927093,ID=OLUR_00004217;,NA,Name=OLUR_00004217;,Alias=snap_masked-Contig17101-processed-gene-0.3;,NA,NA,Note=Similar to MUC5B: Mucin-5B (Homo sapiens OX%3D9606);,NA,"Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR000421,InterPro:IPR008979,InterPro:IPR025155,MobiDBLite:mobidb-lite,Pfam:PF13330,ProSitePatterns:PS01286,SUPERFAMILY:SSF49785;"
Contig17280,23791,35334,"ID=OLUR_00000598;Name=OLUR_00000598;Alias=snap_masked-Contig17280-processed-gene-0.1;Note=Protein of unknown function;Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",1.6383139011763853e-10,4.6056740267456835e-9,ID=OLUR_00000598;,NA,Name=OLUR_00000598;,Alias=snap_masked-Contig17280-processed-gene-0.1;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig17378,17523,27377,"ID=OLUR_00007226;Name=OLUR_00007226;Alias=maker-Contig17378-snap-gene-0.5;Note=Similar to Znf329: Zinc finger protein 329 (Mus musculus OX%3D10090);Dbxref=Coils:Coil,Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,Pfam:PF12874,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;",0.0012916963187487149,0.008653069319243064,ID=OLUR_00007226;,NA,Name=OLUR_00007226;,Alias=maker-Contig17378-snap-gene-0.5;,NA,NA,Note=Similar to Znf329: Zinc finger protein 329 (Mus musculus OX%3D10090);,Ontology_term=GO:0003676;,"Dbxref=Coils:Coil,Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,Pfam:PF12874,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;"
Contig17564,22629,27208,ID=OLUR_00006039;Name=OLUR_00006039;Alias=snap_masked-Contig17564-processed-gene-0.3;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,1.2065405437610483e-16,5.492501611712227e-15,ID=OLUR_00006039;,NA,Name=OLUR_00006039;,Alias=snap_masked-Contig17564-processed-gene-0.3;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig17603,55580,69665,"ID=OLUR_00000590;Name=OLUR_00000590;Alias=maker-Contig17603-snap-gene-0.6;Note=Protein of unknown function;Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",3.839070803562598e-7,6.760139621570008e-6,ID=OLUR_00000590;,NA,Name=OLUR_00000590;,Alias=maker-Contig17603-snap-gene-0.6;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig17607,840,9974,"ID=OLUR_00009092;Name=OLUR_00009092;Alias=snap_masked-Contig17607-processed-gene-0.0;Note=Similar to GPATCH8: G patch domain-containing protein 8 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",0.0022943561184345274,0.01365395327987153,ID=OLUR_00009092;,NA,Name=OLUR_00009092;,Alias=snap_masked-Contig17607-processed-gene-0.0;,NA,NA,Note=Similar to GPATCH8: G patch domain-containing protein 8 (Homo sapiens OX%3D9606);,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig17966,13916,28806,"ID=OLUR_00006618;Name=OLUR_00006618;Alias=maker-Contig17966-snap-gene-0.6;Note=Similar to Mon1a: Vacuolar fusion protein MON1 homolog A (Mus musculus OX%3D10090);Dbxref=Coils:Coil,InterPro:IPR004353,PRINTS:PR01546,Pfam:PF03164;",0.007967567133485658,0.03737479383693623,ID=OLUR_00006618;,NA,Name=OLUR_00006618;,Alias=maker-Contig17966-snap-gene-0.6;,NA,NA,Note=Similar to Mon1a: Vacuolar fusion protein MON1 homolog A (Mus musculus OX%3D10090);,NA,"Dbxref=Coils:Coil,InterPro:IPR004353,PRINTS:PR01546,Pfam:PF03164;"
Contig17968,1,18119,ID=OLUR_00012775;Name=OLUR_00012775;Alias=maker-Contig17968-snap-gene-0.2;Note=Similar to C3orf67: Uncharacterized protein C3orf67 (Homo sapiens OX%3D9606);Dbxref=MobiDBLite:mobidb-lite;,8.870283250681096e-7,1.4714018510239533e-5,ID=OLUR_00012775;,NA,Name=OLUR_00012775;,Alias=maker-Contig17968-snap-gene-0.2;,NA,NA,Note=Similar to C3orf67: Uncharacterized protein C3orf67 (Homo sapiens OX%3D9606);,NA,Dbxref=MobiDBLite:mobidb-lite;
