id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18
Contig1135681836	18	3.255e-01	-7.990e-01	1.910e-01	2.886e-05	6.712e-01	2.875e-01	8.346e+00	1.436e+01	1.220e+01	2.810e+00	4.574e+00	1.250e+00	0.0571714409668537	2.886e-05	TRUE	Contig113568	1836	1836	+	13	13	0	7	7	0	15	15	0	2	1	1	6	3	3	9	8	1	3	3	0	3	3	0	11	11	0	6	6	0	2	2	0	13	13	0	8	8	0	16	16	0	3	2	1	5	4	1	3	3	0	9	9	0
Contig113675119	18	2.322e-01	-5.866e-01	1.423e-01	3.745e-05	8.326e-01	1.730e-01	1.765e+01	2.153e+01	8.424e+00	2.639e+00	3.795e+00	1.047e+00	0.0618839140725134	3.745e-05	TRUE	Contig113675	119	119	+	9	9	0	6	6	0	10	9	1	10	9	1	3	3	0	6	3	3	8	8	0	13	13	0	11	10	1	10	10	0	13	13	0	4	4	0	14	12	2	21	18	3	12	10	2	17	10	7	6	6	0	4	4	0
Contig117443800	18	2.785e-01	1.751e+00	3.729e-01	2.645e-06	7.425e-01	2.303e-01	2.768e+01	3.254e+01	-2.082e+01	5.106e+00	-2.776e+00	1.579e+00	0.0173678068027486	2.645e-06	TRUE	Contig117443	800	800	+	2	1	1	5	5	0	3	3	0	2	2	0	4	4	0	2	2	0	6	6	0	5	5	0	3	3	0	2	2	0	3	3	0	2	1	1	4	4	0	5	5	0	2	2	0	4	4	0	2	2	0	2	2	0
Contig120547984	18	3.502e-01	-2.134e-01	5.066e-02	2.512e-05	3.357e-01	1.824e-01	9.063e-01	9.810e-01	4.215e+00	8.871e-01	5.513e-02	2.280e-01	0.0545035379687077	2.512e-05	TRUE	Contig120547	984	984	+	58	40	18	51	25	26	25	0	25	42	26	16	46	9	37	43	19	24	46	17	29	51	34	17	34	18	16	66	40	26	32	3	29	43	21	22	61	26	35	44	19	25	52	0	52	57	12	45	45	20	25	47	9	38
Contig1237761289	18	2.026e-01	5.242e-01	1.198e-01	1.22e-05	8.237e-01	1.520e-01	4.058e+01	3.382e+01	-6.992e+00	2.203e+00	-9.916e-01	5.088e-01	0.0402184562067429	1.22e-05	TRUE	Contig123776	1289	1289	+	16	7	9	8	8	0	10	9	1	12	10	2	5	5	0	10	9	1	10	6	4	8	1	7	16	14	2	12	7	5	8	8	0	8	8	0	16	15	1	19	18	1	13	13	0	18	18	0	16	16	0	17	16	1
Contig1246379097	18	3.100e-01	-5.849e-01	1.290e-01	5.794e-06	6.538e-01	2.715e-01	7.166e+00	1.333e+01	9.920e+00	2.068e+00	3.607e+00	7.478e-01	0.0261682616486403	5.794e-06	TRUE	Contig124637	9097	9097	+	9	9	0	14	14	0	7	6	1	7	7	0	11	10	1	11	10	1	14	13	1	12	12	0	11	11	0	9	9	0	7	7	0	15	15	0	14	13	1	19	19	0	12	10	2	12	11	1	13	13	0	14	14	0
Contig126465792	18	2.044e-01	-4.076e-01	9.715e-02	2.723e-05	7.506e-01	2.290e-01	2.764e+01	2.969e+01	6.922e+00	2.019e+00	1.252e+00	4.762e-01	0.0552795240113917	2.723e-05	TRUE	Contig126465	792	792	+	18	17	1	12	10	2	4	3	1	12	11	1	13	10	3	8	6	2	20	18	2	11	11	0	13	6	7	22	22	0	4	3	1	26	24	2	14	14	0	11	6	5	9	0	9	8	6	2	5	1	4	17	17	0
Contig12795477	18	2.728e-01	-4.000e-01	9.372e-02	1.972e-05	8.110e-01	1.842e-01	1.213e+01	1.865e+01	7.272e+00	1.595e+00	2.528e+00	5.570e-01	0.0479550957552244	1.972e-05	TRUE	Contig12795	477	477	+	7	7	0	14	14	0	27	25	2	7	7	0	12	9	3	3	3	0	10	9	1	17	17	0	16	14	2	15	15	0	20	20	0	13	13	0	33	31	2	37	34	3	17	16	1	25	19	6	18	18	0	13	13	0
Contig12897313689	18	1.667e-01	8.452e-01	2.108e-01	6.096e-05	7.425e-01	1.281e-01	6.243e+01	3.000e+01	-1.616e+01	4.211e+00	-1.721e+00	7.231e-01	0.0856633750370779	6.096e-05	TRUE	Contig128973	13689	13689	+	4	0	4	7	0	7	13	6	7	6	0	6	10	2	8	7	7	0	10	0	10	8	0	8	11	0	11	17	15	2	9	9	0	11	10	1	19	18	1	19	19	0	15	15	0	17	16	1	12	5	7	15	14	1
Contig12897314453	18	1.354e-01	6.145e-01	1.490e-01	3.719e-05	9.198e-01	7.076e-02	9.710e+01	3.172e+01	-1.494e+01	4.617e+00	-1.414e+00	5.701e-01	0.0618839140725134	3.719e-05	TRUE	Contig128973	14453	14453	+	5	4	1	5	0	5	9	0	9	9	0	9	6	0	6	8	7	1	9	0	9	5	0	5	15	0	15	13	3	10	5	5	0	11	0	11	10	5	5	14	8	6	6	4	2	7	7	0	6	0	6	10	0	10
Contig1294912556	18	3.319e-01	-5.039e-01	1.201e-01	2.725e-05	5.895e-01	2.805e-01	1.198e+01	2.015e+01	7.912e+00	2.414e+00	3.374e+00	6.402e-01	0.0552795240113917	2.725e-05	TRUE	Contig129491	2556	2556	+	4	4	0	6	6	0	3	3	0	6	6	0	9	8	1	6	4	2	7	6	1	5	5	0	10	9	1	4	4	0	7	7	0	2	2	0	5	5	0	9	8	1	10	8	2	10	10	0	4	4	0	11	11	0
Contig1322076026	18	3.356e-01	2.797e-01	7.117e-02	8.507e-05	6.583e-01	2.880e-01	4.277e+00	9.310e+00	-9.909e-01	1.311e+00	-8.755e-01	3.593e-01	0.0986176001829526	8.507e-05	TRUE	Contig132207	6026	6026	+	16	16	0	8	8	0	21	21	0	19	17	2	13	13	0	16	15	1	15	13	2	21	19	2	13	12	1	36	34	2	28	28	0	15	14	1	21	20	1	23	23	0	36	36	0	40	39	1	17	17	0	10	7	3
Contig1324771642	18	2.117e-01	-4.159e-01	9.563e-02	1.366e-05	8.480e-01	1.788e-01	3.357e+01	3.069e+01	9.954e+00	2.147e+00	1.392e+00	3.978e-01	0.0416966600016246	1.366e-05	TRUE	Contig132477	1642	1642	+	4	3	1	4	3	1	7	4	3	11	11	0	8	6	2	2	1	1	16	16	0	7	7	0	12	12	0	17	15	2	24	12	12	5	5	0	17	8	9	32	22	10	12	8	4	25	11	14	12	11	1	14	14	0
Contig13258776	18	1.255e-01	6.848e-01	1.436e-01	1.856e-06	9.298e-01	7.392e-02	1.093e+02	2.725e+01	-2.327e+01	5.200e+00	-1.212e+00	4.259e-01	0.0140335301390187	1.856e-06	TRUE	Contig132	58776	58776	+	4	0	4	15	0	15	20	0	20	17	0	17	8	0	8	8	0	8	13	0	13	12	0	12	14	0	14	18	0	18	8	8	0	11	6	5	12	11	1	15	14	1	20	0	20	3	1	2	21	0	21	14	11	3
Contig1334521017	18	2.860e-01	7.614e-01	1.587e-01	1.597e-06	6.445e-01	2.448e-01	1.255e+01	1.775e+01	-6.973e+00	3.145e+00	-1.457e+00	1.001e+00	0.0140335301390187	1.597e-06	TRUE	Contig133452	1017	1017	+	6	5	1	11	11	0	5	5	0	9	9	0	10	10	0	8	8	0	14	14	0	5	5	0	11	11	0	7	7	0	8	8	0	10	10	0	8	8	0	8	8	0	15	15	0	6	6	0	10	10	0	4	4	0
Contig1364991267	18	1.917e-01	-3.989e-01	1.011e-01	8.031e-05	8.867e-01	7.944e-02	2.542e+01	2.296e+01	8.391e+00	1.999e+00	2.378e+00	6.003e-01	0.0958796057280451	8.031e-05	TRUE	Contig136499	1267	1267	+	16	16	0	11	11	0	12	11	1	21	21	0	6	5	1	2	2	0	16	16	0	17	17	0	16	15	1	20	20	0	42	41	1	19	17	2	28	24	4	46	41	5	49	48	1	40	32	8	20	20	0	12	12	0
Contig1385921204	18	2.783e-01	-5.413e-01	1.241e-01	1.293e-05	7.400e-01	2.477e-01	1.636e+01	2.349e+01	7.756e+00	2.336e+00	3.773e+00	7.929e-01	0.0413625039719959	1.293e-05	TRUE	Contig138592	1204	1204	+	2	2	0	4	4	0	7	6	1	5	5	0	2	2	0	2	1	1	5	5	0	3	3	0	8	8	0	4	4	0	5	5	0	5	4	1	9	9	0	10	9	1	9	7	2	6	5	1	8	8	0	5	5	0
Contig1412136476	18	3.645e-01	5.105e-01	1.184e-01	1.63e-05	6.591e-01	2.742e-01	2.389e+00	3.877e+00	-5.352e+00	1.906e+00	-1.026e+00	3.806e-01	0.0466235289434333	1.63e-05	TRUE	Contig141213	6476	6476	+	14	9	5	15	13	2	13	13	0	22	22	0	19	19	0	12	12	0	15	14	1	16	16	0	17	15	2	15	15	0	7	7	0	21	18	3	23	23	0	30	30	0	28	28	0	25	25	0	19	19	0	21	20	1
Contig143820471	18	3.616e-01	3.777e-01	7.855e-02	1.525e-06	6.965e-01	2.540e-01	2.607e+00	4.728e+00	-3.977e+00	1.296e+00	-1.013e+00	3.096e-01	0.0140335301390187	1.525e-06	TRUE	Contig1438	20471	20471	+	17	11	6	18	17	1	9	8	1	18	15	3	14	13	1	16	16	0	19	15	4	16	13	3	15	12	3	14	13	1	14	13	1	17	11	6	20	19	1	24	24	0	23	23	0	30	30	0	19	15	4	16	12	4
Contig153289584	18	3.105e-01	4.210e-01	8.023e-02	1.544e-07	7.272e-01	2.619e-01	1.063e+01	1.787e+01	-1.791e+00	1.657e+00	-1.378e+00	3.695e-01	0.00363162959362645	1.544e-07	TRUE	Contig15328	9584	9584	+	9	8	1	2	2	0	9	9	0	9	8	1	12	12	0	4	4	0	13	12	1	11	11	0	11	11	0	10	10	0	5	5	0	14	13	1	13	13	0	14	14	0	14	14	0	11	11	0	7	7	0	10	8	2
Contig160638073	18	3.005e-01	-4.881e-01	9.462e-02	2.49e-07	7.042e-01	2.534e-01	5.545e+00	1.018e+01	9.151e+00	1.736e+00	2.759e+00	5.307e-01	0.00477924059815637	2.49e-07	TRUE	Contig16063	8073	8073	+	17	17	0	18	17	1	16	15	1	15	13	2	10	9	1	14	14	0	19	19	0	18	18	0	16	15	1	10	10	0	9	9	0	19	19	0	21	20	1	33	33	0	19	15	4	26	24	2	18	18	0	17	17	0
Contig162047879	18	3.108e-01	-5.050e-01	1.237e-01	4.437e-05	6.544e-01	2.655e-01	7.617e+00	1.397e+01	8.154e+00	2.587e+00	3.110e+00	5.076e-01	0.0696298090329261	4.437e-05	TRUE	Contig16204	7879	7879	+	17	17	0	9	9	0	17	16	1	14	12	2	11	8	3	10	7	3	16	16	0	12	12	0	9	9	0	4	3	1	15	15	0	14	14	0	25	24	1	29	26	3	15	13	2	10	9	1	9	9	0	25	25	0
Contig162118395	18	3.081e-01	6.268e-01	1.470e-01	2.003e-05	5.939e-01	2.753e-01	9.831e+00	1.398e+01	-3.953e+00	2.382e+00	-2.838e+00	8.141e-01	0.0479550957552244	2.003e-05	TRUE	Contig162118	395	395	+	16	12	4	8	7	1	9	9	0	9	9	0	10	10	0	6	6	0	6	5	1	11	10	1	8	7	1	7	7	0	2	2	0	11	9	2	2	1	1	4	4	0	6	6	0	2	2	0	9	9	0	2	0	2
Contig16263772	18	2.605e-01	7.470e-01	1.845e-01	5.135e-05	7.218e-01	2.509e-01	1.965e+01	2.199e+01	-8.023e+00	3.343e+00	-2.161e+00	6.704e-01	0.0762665438252841	5.135e-05	TRUE	Contig16263	772	772	+	2	0	2	13	11	2	4	4	0	7	7	0	5	5	0	7	6	1	16	15	1	3	2	1	5	5	0	5	5	0	2	2	0	3	3	0	3	3	0	17	17	0	5	5	0	2	2	0	5	4	1	6	5	1
Contig1645110436	18	2.831e-01	7.666e-01	1.678e-01	4.937e-06	8.004e-01	2.240e-01	1.369e+01	1.617e+01	-7.041e+00	3.270e+00	-2.274e+00	5.654e-01	0.0232428916291789	4.937e-06	TRUE	Contig16451	10436	10436	+	7	5	2	8	8	0	4	4	0	8	8	0	4	4	0	8	8	0	9	9	0	3	3	0	11	11	0	3	3	0	5	5	0	2	1	1	18	18	0	9	9	0	9	9	0	8	8	0	2	2	0	2	1	1
Contig1665313524	18	3.330e-01	-6.422e-01	1.092e-01	4.059e-09	6.907e-01	2.872e-01	7.241e+00	1.340e+01	1.078e+01	2.099e+00	4.137e+00	8.020e-01	0.000253198984581242	4.059e-09	TRUE	Contig16653	13524	13524	+	20	20	0	13	13	0	18	17	1	17	16	1	12	12	0	11	10	1	20	20	0	20	20	0	20	20	0	28	28	0	23	23	0	18	18	0	16	16	0	26	26	0	19	18	1	29	27	2	22	21	1	17	17	0
Contig167099195	18	2.907e-01	6.372e-01	1.596e-01	6.573e-05	7.220e-01	2.106e-01	1.514e+01	2.031e+01	-8.096e+00	2.594e+00	-1.282e+00	4.870e-01	0.0881766485019354	6.573e-05	TRUE	Contig167099	195	195	+	5	3	2	6	5	1	7	7	0	4	3	1	5	5	0	5	5	0	8	7	1	10	8	2	9	9	0	2	0	2	3	3	0	8	5	3	4	4	0	12	11	1	3	3	0	4	4	0	2	2	0	9	7	2
Contig173705783	18	2.852e-01	-7.513e-01	1.751e-01	1.776e-05	6.993e-01	2.564e-01	2.171e+01	2.690e+01	1.064e+01	3.471e+00	5.520e+00	8.653e-01	0.0479550957552244	1.776e-05	TRUE	Contig17370	5783	5783	+	6	6	0	2	2	0	5	4	1	5	5	0	6	6	0	2	2	0	7	7	0	5	5	0	6	6	0	5	5	0	7	7	0	2	2	0	4	4	0	7	7	0	6	6	0	6	6	0	5	5	0	4	4	0
Contig176077001	18	3.074e-01	5.350e-01	1.246e-01	1.759e-05	7.505e-01	2.358e-01	7.717e+00	1.278e+01	-5.271e+00	2.311e+00	-1.104e+00	4.399e-01	0.0479550957552244	1.759e-05	TRUE	Contig17607	7001	7001	+	10	6	4	15	15	0	12	12	0	16	15	1	19	19	0	8	7	1	15	14	1	19	18	1	8	8	0	7	7	0	7	7	0	9	8	1	14	14	0	11	11	0	12	12	0	11	11	0	10	10	0	19	18	1
Contig1808410113	18	2.776e-01	5.527e-01	1.209e-01	4.868e-06	7.392e-01	2.474e-01	7.621e+00	1.245e+01	-4.040e+00	2.331e+00	-1.652e+00	4.639e-01	0.0232428916291789	4.868e-06	TRUE	Contig18084	10113	10113	+	21	19	2	10	10	0	15	15	0	13	13	0	16	16	0	12	12	0	16	15	1	14	13	1	21	19	2	27	27	0	25	25	0	10	10	0	22	22	0	28	28	0	34	34	0	33	33	0	25	25	0	17	15	2
Contig180915636	18	3.155e-01	-9.623e-01	2.373e-01	5.021e-05	6.667e-01	2.588e-01	1.363e+01	2.193e+01	1.618e+01	3.321e+00	4.127e+00	1.385e+00	0.0757669908261218	5.021e-05	TRUE	Contig180915	636	636	+	5	5	0	7	7	0	7	7	0	7	7	0	8	6	2	3	3	0	6	6	0	2	2	0	6	6	0	4	4	0	3	3	0	5	5	0	6	5	1	8	8	0	4	0	4	4	3	1	2	1	1	2	2	0
Contig1838312793	18	2.555e-01	-4.955e-01	1.250e-01	7.39e-05	7.942e-01	1.923e-01	1.807e+01	2.184e+01	9.234e+00	2.652e+00	2.862e+00	7.273e-01	0.092715206404854	7.39e-05	TRUE	Contig18383	12793	12793	+	7	7	0	7	7	0	8	8	0	2	2	0	7	6	1	2	2	0	8	8	0	2	2	0	8	8	0	13	13	0	2	2	0	10	10	0	11	10	1	10	10	0	10	9	1	12	9	3	5	5	0	6	6	0
Contig186755901	18	2.959e-01	-2.756e-01	6.556e-02	2.619e-05	7.781e-01	2.370e-01	6.495e+00	1.196e+01	7.486e+00	1.506e+00	1.436e+00	3.051e-01	0.0548525023671936	2.619e-05	TRUE	Contig18675	5901	5901	+	25	25	0	18	18	0	25	23	2	31	30	1	13	13	0	15	15	0	25	24	1	29	29	0	24	24	0	30	30	0	49	48	1	11	11	0	43	41	2	39	37	2	56	53	3	43	41	2	28	28	0	23	23	0
Contig18775033	18	2.668e-01	3.897e-01	9.126e-02	1.956e-05	7.810e-01	2.100e-01	7.289e+00	1.190e+01	-3.205e+00	1.726e+00	-6.812e-01	3.133e-01	0.0479550957552244	1.956e-05	TRUE	Contig1877	5033	5033	+	21	18	3	18	18	0	15	15	0	17	16	1	11	11	0	7	7	0	26	26	0	21	21	0	24	23	1	26	23	3	42	42	0	9	7	2	32	31	1	47	46	1	41	41	0	45	45	0	16	16	0	24	23	1
Contig188493533	18	2.945e-01	5.783e-01	1.423e-01	4.813e-05	7.357e-01	2.290e-01	1.301e+01	1.988e+01	-4.853e+00	2.642e+00	-1.279e+00	4.523e-01	0.074131663688345	4.813e-05	TRUE	Contig188493	533	533	+	11	10	1	12	11	1	12	12	0	18	18	0	17	17	0	7	7	0	13	12	1	14	14	0	12	12	0	8	8	0	2	2	0	13	10	3	10	10	0	13	13	0	9	9	0	6	6	0	4	4	0	13	12	1
Contig1919721006	18	2.941e-01	8.979e-01	2.193e-01	4.227e-05	6.697e-01	2.534e-01	1.289e+01	1.811e+01	-1.159e+01	3.559e+00	-2.244e+00	5.409e-01	0.067449482588055	4.227e-05	TRUE	Contig19197	21006	21006	+	2	0	2	7	6	1	6	6	0	2	2	0	2	2	0	4	4	0	4	1	3	7	6	1	5	2	3	3	3	0	3	3	0	9	4	5	10	10	0	15	15	0	7	7	0	4	4	0	8	8	0	18	9	9
Contig1934914371	18	3.027e-01	-5.330e-01	1.250e-01	2.018e-05	7.040e-01	2.509e-01	8.626e+00	1.395e+01	1.730e+01	4.712e+00	1.199e+00	9.148e-01	0.0479550957552244	2.018e-05	TRUE	Contig19349	14371	14371	+	8	8	0	5	5	0	12	12	0	11	11	0	2	2	0	9	9	0	7	7	0	5	5	0	10	10	0	7	7	0	9	9	0	6	6	0	8	8	0	5	5	0	7	6	1	12	12	0	4	4	0	18	18	0
Contig1937216473	18	1.743e-01	6.269e-01	1.445e-01	1.432e-05	8.824e-01	1.012e-01	5.665e+01	3.713e+01	-7.318e+00	2.826e+00	-1.605e+00	4.941e-01	0.0425369778998274	1.432e-05	TRUE	Contig193721	6473	6473	+	9	9	0	12	10	2	14	12	2	19	18	1	8	8	0	14	14	0	12	9	3	16	13	3	24	18	6	7	7	0	14	14	0	23	19	4	14	14	0	19	19	0	7	7	0	11	11	0	11	9	2	15	13	2
Contig19655112	18	3.323e-01	4.892e-01	1.182e-01	3.491e-05	7.502e-01	2.498e-01	8.617e+00	1.375e+01	-5.843e+00	1.786e+00	-5.961e-01	7.441e-01	0.0600737504683924	3.491e-05	TRUE	Contig196551	12	12	+	7	5	2	3	3	0	7	7	0	7	7	0	2	2	0	2	2	0	5	5	0	9	7	2	9	8	1	8	7	1	15	15	0	5	4	1	8	8	0	13	13	0	11	11	0	8	8	0	7	7	0	5	5	0
Contig1978313837	18	2.478e-01	-7.818e-01	1.852e-01	2.44e-05	6.402e-01	2.545e-01	2.083e+01	2.105e+01	1.623e+01	3.049e+00	3.036e+00	1.119e+00	0.0534057323235116	2.44e-05	TRUE	Contig19783	13837	13837	+	6	6	0	8	8	0	22	22	0	16	16	0	12	11	1	3	3	0	17	17	0	12	12	0	17	17	0	16	16	0	34	34	0	2	2	0	16	16	0	15	14	1	23	9	14	26	24	2	28	26	2	6	6	0
Contig1978513546	18	1.785e-01	3.226e-01	7.614e-02	2.26e-05	8.797e-01	3.642e-02	8.548e+01	3.250e+01	-3.861e+00	1.839e+00	-1.121e+00	2.576e-01	0.050349285991765	2.26e-05	TRUE	Contig19785	13546	13546	+	17	7	10	11	10	1	12	12	0	18	18	0	8	7	1	4	2	2	18	16	2	13	13	0	7	0	7	13	4	9	34	23	11	8	0	8	21	10	11	32	16	16	23	15	8	31	20	11	19	19	0	18	0	18
Contig20134861	18	3.525e-01	-3.195e-01	6.883e-02	3.462e-06	7.325e-01	2.534e-01	4.767e+00	1.072e+01	7.814e+00	1.320e+00	1.232e+00	3.835e-01	0.0197233100041112	3.462e-06	TRUE	Contig2013	4861	4861	+	14	14	0	13	13	0	13	12	1	10	8	2	13	11	2	7	7	0	19	19	0	14	14	0	26	25	1	5	5	0	6	6	0	9	9	0	24	22	2	21	20	1	12	7	5	16	15	1	14	13	1	26	25	1
Contig201484255	18	2.828e-01	6.463e-01	1.584e-01	4.503e-05	6.676e-01	2.626e-01	1.221e+01	1.537e+01	-6.173e+00	3.321e+00	-1.022e+00	7.478e-01	0.0702238868914347	4.503e-05	TRUE	Contig201484	255	255	+	9	7	2	9	9	0	11	11	0	8	8	0	8	8	0	6	6	0	8	8	0	8	8	0	10	10	0	6	6	0	11	11	0	6	5	1	14	14	0	22	22	0	14	14	0	21	21	0	5	5	0	10	10	0
Contig20226526	18	1.669e-01	-5.191e-01	1.133e-01	4.627e-06	8.448e-01	1.008e-01	3.921e+01	2.710e+01	1.192e+01	2.484e+00	2.881e+00	4.376e-01	0.023090449897165	4.627e-06	TRUE	Contig202	26526	26526	+	21	21	0	21	21	0	15	15	0	23	23	0	17	16	1	17	17	0	22	22	0	18	18	0	27	27	0	25	24	1	13	13	0	20	19	1	28	27	1	28	26	2	28	28	0	26	25	1	18	18	0	24	24	0
Contig2118451926	18	1.905e-01	4.781e-01	1.127e-01	2.205e-05	8.493e-01	1.000e-01	5.559e+01	3.740e+01	-5.509e+00	2.275e+00	-1.043e+00	4.396e-01	0.0495665298115534	2.205e-05	TRUE	Contig211845	1926	1926	+	7	7	0	6	5	1	5	5	0	14	13	1	18	18	0	9	9	0	18	17	1	15	6	9	25	23	2	11	8	3	3	3	0	15	13	2	14	14	0	24	23	1	10	10	0	11	10	1	12	12	0	14	12	2
