siteID	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig101661_3169	15	10	12	29	11	0	29	15	28	54	66	15	46	52	53	53	54	18
Contig101661_3179	30	22	25	34	25	10	29	30	25	61	67	30	47	48	60	54	61	29
Contig101661_3219	25	11	24	31	0	10	28	23	11	39	57	11	38	45	45	45	46	32
Contig101661_3225	28	12	25	31	23	0	30	27	13	43	61	12	39	43	51	42	47	32
Contig101661_3258	10	10	20	16	11	0	13	26	13	36	46	10	38	34	49	35	38	29
Contig101661_3264	10	16	14	20	13	10	32	31	16	36	50	11	38	37	47	44	49	32
Contig101661_3275	11	14	12	17	15	11	23	29	13	27	46	0	27	23	43	38	46	34
Contig101661_3284	14	15	16	20	13	12	21	33	13	26	48	10	24	17	40	36	38	21
Contig101661_3307	18	11	18	20	11	11	16	20	19	29	43	14	26	27	34	28	24	19
Contig101724_3441	32	11	28	13	0	11	10	13	25	36	51	12	35	36	37	40	30	17
Contig101724_3507	16	11	22	15	10	0	17	16	13	36	50	14	29	53	49	49	21	22
Contig101724_3702	17	13	16	13	13	11	15	12	19	22	23	0	29	25	24	18	22	11
Contig101733_1578	19	10	12	16	11	10	19	14	17	27	23	15	21	33	23	25	23	14
Contig101733_1586	16	10	12	16	12	12	16	13	13	27	22	11	22	18	22	25	24	14
Contig101733_1590	13	11	11	14	12	12	17	13	10	28	20	10	25	19	24	20	22	14
Contig101733_1596	15	16	11	13	13	13	16	13	13	35	18	12	26	33	25	20	22	17
Contig101734_2605	12	13	11	15	13	10	0	15	16	34	30	11	38	30	19	24	19	0
Contig101734_2608	11	14	16	16	13	11	0	19	18	32	32	12	37	31	19	28	23	10
Contig101756_6914	20	12	24	22	15	0	21	14	18	29	34	18	25	40	19	42	20	20
Contig101756_6926	20	13	20	19	16	11	21	11	14	38	35	14	30	46	30	48	31	17
Contig101756_7016	19	13	12	21	12	0	16	17	21	22	22	14	24	36	27	44	20	24
Contig101756_7029	17	17	21	21	14	11	18	16	29	28	40	19	41	41	46	50	37	19
Contig101756_7043	13	27	20	30	11	0	11	11	25	41	35	27	48	41	43	42	31	25
Contig101756_7055	18	15	13	37	15	10	28	23	18	38	39	26	48	47	43	43	34	33
Contig101771_457	20	12	20	16	11	0	21	16	20	19	14	11	19	34	25	10	24	21
Contig101771_462	19	14	15	26	11	0	21	16	23	16	12	12	17	35	22	11	25	18
Contig101771_1807	15	16	11	14	16	15	14	11	10	25	19	20	25	27	16	26	25	23
Contig101771_1815	14	13	12	11	11	13	10	13	14	24	17	15	26	29	15	22	24	23
Contig101794_3137	15	0	15	16	12	13	19	20	18	27	25	14	20	26	28	24	21	17
Contig101798_3456	20	20	17	14	16	13	17	12	17	17	0	15	12	12	10	12	14	18
Contig101809_3218	17	12	16	16	10	0	13	18	10	30	30	10	21	18	34	37	22	15
Contig101809_3240	30	28	14	16	22	10	10	23	24	41	62	23	41	38	57	55	36	36
Contig101809_3257	30	26	27	33	11	10	22	29	26	21	61	23	38	45	53	49	37	34
Contig101809_3263	27	21	25	34	21	0	23	25	28	18	59	10	39	41	54	49	41	28
Contig101809_3272	13	20	16	33	11	0	16	17	29	20	56	0	30	34	44	39	38	26
Contig101809_3368	11	10	16	13	10	10	11	0	10	38	39	15	34	17	43	33	25	10
Contig101853_9480	12	14	13	18	11	0	17	20	17	22	17	12	20	22	21	23	16	17
Contig101853_9498	11	10	10	11	11	0	10	19	17	17	18	11	16	21	16	17	11	14
Contig101853_9529	11	16	14	0	11	11	19	15	10	14	24	11	19	26	22	13	11	17
Contig101875_780	14	11	13	12	13	11	14	10	14	27	10	17	27	20	19	21	20	16
Contig1019_5292	16	13	18	18	16	11	17	15	19	18	24	13	17	22	26	21	19	14
Contig1019_11268	13	18	16	18	13	12	22	24	18	20	0	19	27	16	21	22	23	18
Contig101985_10299	35	29	33	38	31	27	44	34	35	47	48	32	44	51	40	55	41	38
Contig101985_10308	20	19	20	23	16	15	21	21	17	30	29	18	27	24	22	24	26	21
Contig101985_10314	12	10	10	13	10	0	12	11	10	18	18	0	17	13	13	14	16	12
Contig102033_515	17	10	12	18	12	0	17	18	17	26	16	10	23	22	21	18	24	18
Contig10207_1400	21	14	15	33	10	14	12	11	18	37	41	13	33	39	36	47	16	20
Contig10207_1414	19	20	16	27	11	13	15	14	21	35	48	12	28	43	39	52	22	20
Contig10207_1421	22	19	16	27	13	14	19	17	19	36	53	15	30	46	41	51	26	20
Contig10207_1426	18	15	16	25	11	14	18	14	19	30	53	13	30	47	39	34	24	21
Contig10207_1436	15	16	14	25	11	12	19	13	21	42	61	15	27	40	47	48	40	20
Contig102103_864	12	18	15	21	16	12	17	14	27	20	13	11	25	29	18	30	17	22
Contig102110_9040	23	12	13	12	14	0	16	13	13	17	43	15	36	34	39	47	29	10
Contig102110_15506	14	13	12	10	0	12	19	11	25	28	56	16	33	43	47	47	28	24
Contig102127_4216	12	11	15	13	12	0	15	13	14	0	28	11	14	27	29	15	15	14
Contig102182_1575	32	13	28	33	18	30	39	37	37	11	39	17	43	45	42	49	32	18
Contig102182_1579	33	25	31	32	29	31	40	35	34	10	36	14	40	43	37	46	29	18
Contig102182_1582	29	11	29	31	26	27	40	29	34	0	27	11	37	43	33	41	18	13
Contig102182_1776	37	31	38	37	14	33	38	38	46	19	47	28	46	47	44	51	33	31
Contig102182_1803	27	16	30	33	14	27	32	33	35	28	36	15	20	41	40	42	27	16
Contig102182_1856	17	18	15	16	14	14	21	16	23	19	21	13	21	26	25	28	19	11
Contig102182_1899	19	18	20	20	18	20	20	18	18	18	21	14	20	23	25	34	21	20
Contig102182_1901	22	17	21	22	19	19	19	19	21	20	21	16	26	29	26	34	22	20
Contig102182_1903	24	17	21	21	20	20	19	20	22	20	22	16	22	28	25	39	23	20
Contig102182_1905	23	17	24	21	21	21	20	19	23	20	20	16	25	30	27	40	25	20
Contig102182_1914	25	18	22	21	24	19	24	20	27	24	25	18	26	38	30	34	29	23
Contig102182_1917	26	18	23	23	23	19	22	19	26	21	25	19	23	38	31	42	28	22
Contig102182_2048	17	17	16	18	14	15	22	12	20	11	13	17	22	18	16	24	19	15
Contig102182_2062	15	16	16	19	15	16	20	13	18	11	14	17	20	20	17	24	21	15
Contig1022_7580	17	14	16	16	11	14	14	10	14	11	11	10	17	16	10	12	11	14
Contig102218_5416	15	10	16	10	15	10	10	28	23	31	44	14	32	34	37	46	36	13
Contig102218_5426	12	12	21	22	16	10	0	34	26	44	51	16	39	42	32	52	40	20
Contig102218_5430	10	10	16	10	14	11	0	24	14	43	51	16	33	43	33	55	34	20
Contig102218_5485	12	10	14	15	0	10	16	15	13	16	41	11	22	38	30	35	13	10
Contig102218_5502	25	17	13	27	12	10	14	15	20	21	39	17	30	47	42	42	21	27
Contig102283_2100	13	13	15	16	0	11	16	15	15	15	14	11	19	17	17	20	16	13
Contig102283_2112	20	19	18	19	14	17	18	21	20	21	24	17	19	24	23	22	21	19
Contig102283_2118	19	20	19	15	11	16	18	19	20	23	25	17	20	20	25	22	21	19
Contig102297_2203	14	12	24	32	0	21	30	13	27	28	32	12	37	29	27	27	27	24
Contig102297_2977	34	31	44	38	27	28	49	35	49	35	44	26	51	53	45	49	42	40
Contig102297_2981	39	35	46	44	32	32	51	33	56	37	50	28	59	54	54	52	47	44
Contig102297_2998	27	21	25	16	13	22	18	23	29	15	31	10	34	29	28	31	24	20
Contig1023_14087	12	12	10	16	15	0	13	13	22	13	0	12	13	14	12	12	13	13
Contig102325_6424	23	15	13	18	10	0	25	13	16	34	43	0	33	36	40	41	16	16
Contig102325_6469	21	13	11	21	0	10	15	16	22	15	29	11	32	39	36	41	29	24
Contig10234_2908	0	11	17	12	14	12	15	11	23	11	34	23	31	34	49	49	23	14
Contig10234_2914	0	11	19	11	16	13	15	14	24	0	35	14	19	41	44	47	17	12
Contig102378_967	10	23	11	25	11	0	25	22	26	13	18	10	22	32	20	15	30	13
Contig102394_2844	22	21	23	27	12	10	21	25	29	41	37	22	37	37	39	38	36	33
Contig102394_2860	25	13	21	23	12	0	11	15	26	24	23	17	27	23	27	27	23	18
Contig1024_1356	22	25	24	29	13	0	19	15	30	33	40	18	46	41	52	52	31	28
Contig1024_1363	21	30	28	28	18	10	34	27	35	38	41	32	57	53	60	49	36	31
Contig1024_6259	10	20	14	24	13	0	26	16	25	37	46	25	40	42	45	48	31	24
Contig1024_8625	14	14	11	21	0	13	13	21	18	17	0	14	20	20	14	14	15	14
Contig1024_10259	10	12	10	16	11	10	14	15	14	12	0	12	20	20	17	22	15	16
Contig1024_10262	10	13	12	17	13	12	19	16	15	14	10	14	21	25	20	23	21	18
Contig102480_47	16	32	22	38	22	29	35	35	18	13	38	23	22	25	49	20	20	36
Contig102480_78	15	19	17	16	17	15	17	19	16	14	18	16	14	18	20	16	11	19
Contig102652_2328	22	17	26	17	14	13	26	19	21	28	47	17	44	41	37	48	31	26
Contig102652_2344	19	11	14	15	13	0	18	15	26	42	48	12	44	39	50	47	24	22
Contig102652_2359	19	11	18	18	11	11	19	16	16	48	49	11	41	44	46	56	22	23
Contig102652_2593	14	13	19	18	12	0	21	14	20	19	25	13	28	29	37	29	18	18
Contig102652_2673	27	24	24	30	0	14	34	28	33	30	38	15	41	48	46	49	28	25
Contig102652_2675	25	20	10	28	0	11	31	31	30	36	39	11	38	47	47	49	30	25
Contig102652_2701	17	18	16	21	11	11	21	15	17	21	43	0	36	41	43	53	24	17
Contig102652_2784	27	12	14	24	11	10	31	18	13	42	44	13	36	44	37	43	27	16
Contig102652_2787	12	10	13	22	10	0	14	19	11	37	38	12	28	39	32	37	22	15
Contig102657_788	13	12	15	14	11	10	0	10	20	15	24	16	15	18	21	18	0	19
Contig102657_938	18	11	22	22	10	11	10	16	16	15	19	11	19	24	27	28	24	16
Contig10269_1486	10	12	10	0	14	10	24	12	14	13	13	11	19	13	21	22	27	20
Contig10269_1953	23	16	13	22	11	11	21	17	19	22	19	14	30	34	23	31	0	21
Contig102698_260	15	12	18	17	10	0	15	12	14	28	30	14	24	40	39	26	17	12
Contig102698_319	12	10	11	15	12	10	10	0	13	20	25	0	27	38	29	26	15	17
Contig102698_330	15	14	12	15	12	10	12	0	18	27	33	0	25	26	26	29	14	19
Contig102698_333	15	13	11	13	13	12	12	0	18	29	34	10	26	26	27	27	15	21
Contig102698_1809	27	11	32	24	10	0	19	19	16	48	57	16	41	42	52	51	44	31
Contig102698_1869	28	11	26	26	15	13	18	11	25	50	48	13	46	49	58	60	42	23
Contig102698_1893	10	12	13	20	10	11	15	12	14	22	51	12	41	42	43	48	41	23
Contig102698_1916	21	10	17	15	10	0	12	12	16	23	47	11	39	32	49	42	28	12
Contig102698_1936	33	12	23	22	0	10	16	17	15	39	58	0	41	39	54	47	40	17
Contig102698_1948	25	18	41	31	14	19	36	28	31	49	68	15	55	57	69	61	53	29
Contig102698_1966	33	15	40	25	14	17	35	18	28	40	64	19	50	47	63	66	53	24
Contig102698_1979	16	13	21	20	10	13	18	13	18	34	55	0	21	35	46	52	35	18
Contig102698_1987	10	10	14	16	10	0	15	14	12	24	47	0	17	33	42	46	30	16
Contig102698_4924	15	13	13	14	19	14	16	15	18	25	11	13	22	17	13	10	14	26
Contig102733_266	23	11	0	12	10	11	12	13	15	25	15	12	17	26	20	14	21	20
Contig102733_313	15	14	11	25	0	13	11	10	23	26	27	10	25	31	44	29	30	31
Contig102733_328	21	14	13	25	0	12	12	12	26	36	25	15	23	41	42	28	28	28
Contig102733_457	15	15	20	20	15	12	17	21	23	43	26	12	44	48	43	34	24	33
Contig102733_486	25	11	12	15	0	14	15	14	28	39	54	10	35	44	46	40	24	20
Contig102733_490	24	10	11	14	0	15	16	13	14	35	52	10	30	42	44	44	20	18
Contig102733_736	15	10	15	21	13	0	16	14	10	30	49	0	42	43	60	50	38	16
Contig102733_790	16	10	10	13	10	11	16	13	12	27	50	0	35	15	33	37	19	17
Contig102815_144	15	10	19	18	16	16	17	19	23	14	13	14	19	17	14	11	11	18
Contig102815_276	15	12	14	15	11	14	15	19	17	11	21	0	17	18	17	19	15	15
Contig102815_582	16	15	19	17	0	14	15	13	13	20	20	0	20	19	30	17	20	16
Contig102815_607	15	15	20	21	13	15	17	18	14	24	18	16	23	21	22	19	18	17
Contig102815_717	31	32	39	36	31	32	38	38	40	36	42	37	42	46	44	44	39	35
Contig102815_736	40	35	43	42	29	33	40	43	44	45	51	35	52	55	49	55	43	47
Contig102815_738	31	27	36	33	14	26	34	33	32	34	43	28	41	48	39	49	33	39
Contig102815_741	26	24	25	26	13	15	26	28	18	31	36	20	35	39	30	41	30	33
Contig102815_1152	42	34	42	29	30	43	41	29	49	35	35	43	53	40	34	42	43	48
Contig102815_1170	31	19	28	19	16	32	21	20	21	12	17	36	38	33	23	30	16	30
Contig102815_1558	27	20	26	28	26	23	31	24	27	29	35	24	27	32	31	31	29	28
Contig102815_1563	32	22	27	28	27	24	27	28	30	32	46	23	31	45	36	48	43	31
Contig102838_1119	15	18	16	15	13	19	20	16	21	18	15	15	19	21	18	21	17	18
Contig102838_1139	18	19	19	20	16	20	25	21	25	21	18	18	23	19	19	19	20	18
Contig102838_1462	44	48	38	40	42	45	51	41	42	41	16	31	48	49	39	47	34	40
Contig102838_1545	59	70	61	68	64	58	78	63	75	70	41	72	70	79	68	68	62	69
Contig102838_1580	31	29	29	34	35	21	34	33	34	32	0	29	34	34	34	31	21	34
Contig102838_1740	26	0	20	29	12	23	31	14	25	27	11	20	36	30	11	12	27	24
Contig102838_1747	16	0	10	17	12	13	22	14	13	15	11	0	21	26	11	12	14	13
Contig102838_1781	26	37	25	36	32	41	42	34	36	26	22	31	42	40	42	32	37	23
Contig102838_1795	54	64	60	64	57	60	73	61	56	60	58	52	69	60	67	66	60	57
Contig102838_1817	15	14	14	16	26	13	19	26	15	17	13	16	17	15	25	28	18	15
Contig102994_469	24	15	26	15	15	0	28	26	11	39	44	14	36	39	39	40	31	18
Contig102994_476	20	11	11	12	10	0	22	11	10	31	33	10	32	33	32	34	24	15
Contig102994_639	15	15	17	19	10	0	32	19	32	52	56	10	46	42	50	51	52	19
Contig102994_648	15	16	18	15	12	11	26	15	21	48	53	15	43	39	32	43	47	18
