siteID	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig100807_3551	1	2	2	5	2	NA	2	2	4	18	13	3	20	2	13	5	1	2
Contig100831_4297	22	16	23	14	16	17	25	21	18	13	18	11	14	22	23	31	17	17
Contig100831_4306	27	20	25	22	25	21	27	19	22	24	28	18	24	29	26	30	18	21
Contig100964_9123	15	8	20	12	11	NA	16	18	15	21	19	12	25	40	35	40	16	15
Contig100964_9127	20	11	23	15	11	NA	23	19	17	22	24	14	27	42	28	40	18	17
Contig100964_9135	20	13	24	11	12	8	21	20	18	24	27	16	27	28	30	28	17	18
Contig100988_3321	25	22	26	27	10	NA	28	17	29	36	33	15	42	41	37	44	32	31
Contig100988_3333	27	27	30	28	18	10	25	16	34	35	37	22	38	49	36	47	28	33
Contig100994_3428	12	NA	11	10	11	11	8	12	12	15	0	12	5	9	8	0	15	6
Contig100994_4237	23	11	22	18	11	NA	24	25	22	42	44	10	42	32	40	37	27	16
Contig101063_223	13	10	14	14	12	NA	13	15	15	41	40	14	34	42	36	38	20	17
Contig101063_229	24	12	23	12	12	NA	24	30	22	45	45	13	36	47	43	43	30	17
Contig101063_333	17	10	16	17	12	NA	14	17	28	51	56	14	38	48	51	60	27	15
Contig101118_899	13	10	12	15	9	9	19	13	20	33	16	NA	22	27	26	24	27	14
Contig101118_908	7	NA	17	16	8	3	20	8	17	32	17	12	24	22	25	26	33	15
Contig101130_953	10	15	11	13	10	NA	13	14	13	12	13	13	15	16	14	12	11	12
Contig101153_3210	14	13	11	11	18	NA	13	16	13	16	19	14	17	21	21	19	18	15
Contig101153_3212	14	14	NA	12	13	10	15	17	8	15	18	14	19	20	22	21	19	12
Contig101153_3220	12	15	10	12	14	10	14	14	11	16	16	11	17	22	25	23	16	16
Contig101153_3227	10	9	11	14	14	12	11	12	8	13	17	9	18	21	21	22	17	11
Contig10117_4187	10	11	11	11	NA	11	11	13	11	24	18	13	18	28	24	31	22	14
Contig10117_4221	13	12	NA	16	12	10	19	12	11	29	15	17	24	9	23	22	15	16
Contig10117_4231	15	13	NA	20	11	12	18	18	16	33	17	17	27	14	29	24	17	18
Contig10117_4282	11	11	NA	14	10	10	9	15	10	30	15	NA	17	16	19	16	18	13
Contig101233_1885	8	11	8	10	NA	9	26	13	19	8	12	16	13	11	NA	14	16	12
Contig101233_1890	6	9	12	14	8	7	28	16	26	12	15	26	18	16	9	17	13	28
Contig10126_657	12	15	12	13	11	NA	12	16	19	22	NA	11	13	13	15	12	14	16
Contig1013_18364	12	7	9	11	11	10	13	13	7	12	NA	4	10	11	13	9	13	15
Contig1013_18434	20	16	19	11	16	14	20	11	17	16	NA	11	14	14	10	16	17	19
Contig1013_18662	11	10	22	23	10	10	23	15	23	19	11	11	20	28	11	27	16	16
Contig1013_18683	10	NA	15	8	11	10	13	15	14	14	10	9	15	29	14	14	13	15
Contig1013_18778	19	11	8	25	18	NA	23	25	30	26	11	10	24	16	23	28	21	25
Contig1013_18799	14	14	14	8	14	NA	13	15	21	15	NA	12	20	27	12	20	31	16
Contig1013_21395	17	16	24	17	11	12	14	13	13	18	18	15	37	30	40	36	22	17
Contig101333_4473	17	11	15	16	NA	12	16	12	17	17	21	11	18	20	21	23	20	13
Contig101333_4477	17	16	13	20	10	18	20	16	19	17	28	13	23	19	28	23	26	14
Contig101333_4493	17	12	14	18	10	15	16	16	19	21	28	17	21	26	23	28	20	12
Contig101346_3151	30	27	25	31	6	20	27	14	19	20	21	12	23	30	28	21	30	21
Contig101346_3160	27	33	40	40	13	22	31	8	27	49	36	13	36	43	36	39	32	16
Contig101346_3164	32	38	39	55	11	32	34	10	32	65	54	17	56	54	60	59	27	23
Contig101375_2970	15	11	12	11	12	NA	16	10	15	15	37	NA	38	39	40	46	24	10
Contig10144_6300	11	NA	13	9	11	7	13	18	18	31	41	NA	38	19	37	42	12	17
Contig10144_6346	NA	10	28	15	9	8	13	21	16	57	13	8	NA	28	34	28	41	11
Contig101541_7178	33	19	19	21	18	16	32	16	28	16	20	18	38	33	15	28	18	25
Contig101603_2650	15	12	11	15	10	NA	16	14	13	16	11	11	14	22	16	13	14	14
Contig101620_2598	12	25	15	18	12	11	25	NA	10	10	NA	11	25	28	35	36	28	25
Contig101620_2633	11	12	19	17	9	11	17	NA	15	NA	21	12	18	25	17	21	11	14
Contig101620_2641	15	14	24	17	11	11	19	11	16	9	27	8	15	30	21	17	15	11
Contig101620_2676	17	11	15	13	10	8	16	14	19	11	14	5	13	30	29	23	12	15
Contig101620_2684	16	6	18	13	8	8	17	10	16	8	14	NA	11	18	21	19	13	10
Contig101656_1466	14	11	11	14	NA	10	17	15	16	19	17	8	21	29	18	33	12	17
Contig101656_1498	18	12	13	NA	13	13	13	15	17	14	18	15	24	17	23	25	18	17
Contig101656_1506	21	14	14	11	NA	12	15	13	16	13	24	13	28	21	23	25	22	20
Contig101656_1511	24	15	9	11	8	11	14	12	17	16	22	9	23	20	24	28	24	23
Contig101661_866	12	10	10	11	10	NA	10	10	14	29	26	9	18	38	27	19	25	13
Contig101661_1219	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Contig101661_1289	11	13	13	27	10	11	28	25	26	47	48	23	51	39	27	42	23	35
Contig101661_1348	25	11	13	27	NA	10	6	15	15	39	45	10	32	36	37	44	34	21
Contig101661_1352	27	13	18	30	NA	11	16	18	16	44	49	11	36	41	40	50	41	23
Contig101661_1355	29	12	17	32	11	12	29	13	16	51	55	13	41	45	43	52	39	25
Contig101661_2958	18	18	27	20	10	11	15	20	20	23	49	17	26	22	45	40	23	17
Contig101661_2968	20	7	21	21	12	NA	17	18	17	27	58	16	24	12	53	40	26	18
Contig101661_3021	11	10	19	12	19	9	15	12	NA	30	59	15	36	37	47	46	39	11
Contig101661_3025	12	NA	3	13	9	10	7	12	10	35	56	15	37	38	48	44	35	15
Contig101661_3046	24	NA	23	25	14	10	25	13	11	45	62	12	44	43	65	41	47	24
Contig101661_3076	16	13	27	30	NA	10	26	29	25	51	63	12	45	47	48	48	47	17
Contig101661_3079	27	10	32	33	11	14	29	31	26	55	69	14	46	44	53	48	49	29
Contig101661_3081	26	11	31	32	11	13	30	26	30	53	65	13	44	48	54	49	53	27
Contig101661_3091	24	21	33	31	9	25	26	35	36	53	67	19	49	52	59	61	53	29
Contig101661_3096	28	25	36	36	10	21	29	33	36	57	66	21	54	52	61	55	58	34
Contig101661_3111	25	19	20	37	13	13	19	18	20	51	54	13	48	50	52	51	50	20
Contig101661_3121	15	14	17	38	13	12	17	17	30	52	51	20	41	43	53	48	46	23
Contig101661_3148	37	23	27	37	27	NA	36	40	41	61	68	26	54	68	66	69	61	39
Contig101661_3158	34	22	26	36	27	NA	35	30	38	59	67	26	54	66	68	73	63	31
Contig101661_3169	14	10	11	29	11	NA	28	14	15	49	61	15	43	51	52	51	52	18
Contig101661_3179	27	22	25	34	24	9	28	29	19	32	58	28	44	44	57	51	59	26
Contig101661_3219	25	10	23	29	NA	10	27	23	4	35	54	10	37	45	43	39	46	31
Contig101661_3225	28	10	25	31	22	NA	29	27	13	42	60	10	36	42	51	39	46	28
Contig101661_3258	10	7	18	15	11	NA	10	26	13	36	42	10	36	32	47	33	35	29
Contig101661_3264	10	15	14	20	11	10	32	31	13	36	49	11	34	36	46	42	47	31
Contig101661_3275	11	14	12	17	14	11	23	29	13	26	45	NA	26	22	41	37	44	33
Contig101661_3284	14	15	16	19	13	12	20	32	12	25	45	10	22	17	40	36	36	18
Contig101661_3307	18	11	17	20	10	11	16	19	19	28	42	13	25	27	32	26	24	17
Contig101724_3441	31	9	25	13	NA	10	10	12	23	34	47	12	32	32	36	36	29	15
Contig101724_3507	16	10	22	15	9	NA	17	15	13	36	49	14	28	51	48	48	21	21
Contig101724_3702	15	13	15	13	9	11	9	12	19	21	23	NA	28	23	24	17	20	9
Contig101733_1578	13	7	12	14	10	8	16	10	15	27	23	12	19	29	20	21	19	9
Contig101733_1586	14	9	10	15	12	12	16	12	13	27	21	11	22	18	16	24	24	13
Contig101733_1590	13	5	10	14	12	11	17	13	9	28	20	10	24	19	23	18	21	14
Contig101733_1596	14	15	10	11	12	12	15	13	12	33	17	10	25	32	24	19	20	17
Contig101734_2605	12	13	11	15	12	10	NA	13	16	33	27	11	36	29	19	23	19	NA
Contig101734_2608	11	14	16	14	13	11	NA	17	16	32	30	12	35	30	19	27	22	10
Contig101756_6914	19	11	23	19	14	NA	20	13	18	28	31	18	24	40	19	40	20	20
Contig101756_6926	19	13	20	19	16	11	21	11	13	35	34	14	30	45	29	44	31	16
Contig101756_7016	19	13	12	21	12	NA	12	17	21	22	21	13	24	35	26	44	20	23
Contig101756_7029	17	17	20	20	14	7	18	0	29	28	40	19	40	38	45	49	22	19
Contig101756_7043	10	27	20	29	10	NA	11	11	25	40	32	27	48	39	41	39	30	25
Contig101756_7055	18	15	11	35	15	10	28	23	18	36	38	24	43	44	41	41	34	31
Contig101771_457	19	12	18	16	10	NA	21	15	20	16	13	10	19	31	23	10	22	21
Contig101771_462	18	14	14	24	11	NA	21	14	23	14	12	12	15	35	22	11	23	18
Contig101771_1807	15	16	1	10	10	15	0	11	7	17	16	20	24	25	0	25	18	22
Contig101771_1815	14	12	1	7	8	13	0	12	9	16	15	15	24	27	0	21	16	21
Contig101794_3137	15	NA	9	16	9	11	12	20	17	12	19	11	18	25	24	20	20	14
Contig101798_3456	13	15	15	12	10	9	14	12	13	15	NA	9	11	10	8	8	11	14
Contig101809_3218	17	11	14	16	9	NA	11	17	7	30	29	10	19	14	31	34	21	15
Contig101809_3240	30	26	14	16	21	10	10	23	24	36	59	21	38	37	53	48	34	33
Contig101809_3257	28	26	27	32	11	10	21	27	26	20	61	23	38	44	51	48	36	33
Contig101809_3263	14	20	0	32	9	NA	9	12	27	18	58	5	14	20	16	22	21	15
Contig101809_3272	13	19	15	31	10	NA	15	17	27	17	25	NA	12	32	43	19	35	25
Contig101809_3368	11	10	15	11	10	10	11	NA	10	28	37	14	34	16	42	32	9	10
Contig101853_9480	11	14	13	17	11	NA	16	19	17	21	17	11	20	21	21	23	16	15
Contig101853_9498	9	9	8	10	10	NA	10	19	0	12	18	11	13	21	16	14	0	13
Contig101853_9529	10	16	14	NA	11	11	18	15	10	14	23	10	18	25	22	12	11	17
Contig101875_780	12	10	13	12	12	11	14	10	14	26	8	16	25	20	19	21	19	16
Contig1019_5292	15	13	14	18	15	11	14	12	17	14	24	10	15	21	25	18	15	13
Contig1019_11268	11	18	16	18	12	9	20	23	17	13	NA	14	26	16	20	21	23	18
Contig101985_10299	30	28	32	37	27	24	41	31	33	44	47	30	42	45	37	51	38	37
Contig101985_10308	14	17	18	20	11	12	17	18	14	25	26	14	20	19	17	19	21	17
Contig101985_10314	11	5	8	11	4	NA	7	8	5	15	15	NA	11	8	7	10	12	10
Contig102033_515	16	10	12	18	12	NA	16	14	16	26	16	10	23	22	19	18	24	18
Contig10207_1400	17	11	15	29	10	14	12	11	16	37	37	12	29	36	33	41	14	17
Contig10207_1414	18	19	15	25	10	11	15	13	18	34	46	12	27	41	37	50	20	17
Contig10207_1421	22	18	16	23	12	13	18	17	13	34	48	14	28	44	40	48	24	19
Contig10207_1426	17	14	12	23	5	13	9	11	17	21	50	12	25	44	38	21	21	16
Contig10207_1436	15	16	14	25	11	12	15	13	20	38	60	12	25	37	46	42	39	16
Contig102103_864	9	15	14	20	14	9	15	13	25	15	13	11	23	27	16	29	16	22
Contig102110_9040	19	1	3	9	12	NA	2	9	11	12	30	11	23	22	33	19	22	7
Contig102110_15506	14	13	12	10	NA	12	19	11	25	28	53	16	33	41	46	46	28	22
Contig102127_4216	12	11	14	12	11	NA	14	12	9	NA	27	10	13	23	27	14	13	12
Contig102182_1575	31	12	27	28	17	24	36	35	37	11	36	16	40	43	42	49	29	17
Contig102182_1579	31	22	30	30	29	27	39	35	32	10	33	11	39	43	36	46	27	17
Contig102182_1582	26	9	25	28	22	21	33	25	33	NA	23	10	33	38	30	34	15	10
Contig102182_1776	36	25	33	30	14	28	31	35	41	17	39	22	39	43	37	46	30	26
Contig102182_1803	24	12	24	28	12	26	28	29	25	25	30	11	16	36	32	37	24	14
Contig102182_1856	15	14	12	15	10	12	19	15	19	15	19	11	18	16	21	26	16	10
Contig102182_1899	19	18	20	20	18	15	20	18	17	18	20	14	20	23	24	33	21	18
Contig102182_1901	19	16	21	21	19	15	19	18	18	20	19	15	25	24	25	32	21	19
Contig102182_1903	24	17	21	20	18	16	19	20	20	19	22	16	22	27	24	38	22	19
Contig102182_1905	23	17	23	18	20	15	20	19	22	19	19	16	25	29	26	40	23	18
Contig102182_1914	25	17	20	19	19	12	23	18	23	23	22	16	24	35	30	32	25	18
Contig102182_1917	25	17	22	22	22	13	21	19	23	19	22	18	19	37	27	39	26	21
Contig102182_2048	17	16	16	16	14	15	18	11	11	7	11	13	16	17	13	22	15	10
Contig102182_2062	14	16	15	17	14	14	17	9	14	10	14	13	15	15	15	23	17	14
Contig1022_7580	16	11	15	14	9	14	9	10	12	8	11	7	17	14	10	12	9	14
Contig102218_5416	14	10	15	10	14	10	10	26	21	27	43	13	29	33	36	46	33	13
Contig102218_5426	11	7	21	20	15	10	NA	31	22	34	48	9	36	35	29	45	35	12
Contig102218_5430	9	7	15	9	11	11	NA	24	12	37	50	12	27	40	30	51	31	15
Contig102218_5485	9	10	14	15	NA	10	16	14	12	16	39	7	20	34	28	34	13	8
Contig102218_5502	19	16	4	24	11	9	12	13	17	18	35	13	26	40	30	35	18	20
Contig102283_2100	13	12	13	13	NA	10	15	14	11	13	13	9	17	14	14	16	13	11
Contig102283_2112	17	15	14	13	7	16	9	13	13	17	20	9	17	20	18	15	14	15
Contig102283_2118	11	16	15	12	7	10	15	13	16	11	23	11	14	14	22	16	13	16
Contig102297_2203	12	9	15	25	NA	12	23	11	21	19	22	8	31	15	16	19	17	19
Contig102297_2977	26	20	39	32	18	22	41	25	34	27	26	20	42	36	33	34	35	25
Contig102297_2981	24	15	32	37	22	17	46	26	36	29	41	21	51	41	31	30	37	37
Contig102297_2998	19	13	15	8	7	16	6	16	13	7	21	3	23	17	16	18	14	12
Contig1023_14087	9	11	8	15	10	NA	13	8	19	9	NA	8	5	12	6	10	7	8
Contig102325_6424	22	15	13	18	9	NA	24	13	14	34	39	NA	33	35	39	39	15	14
Contig102325_6469	21	12	11	19	NA	10	15	16	20	14	29	11	31	36	35	39	29	24
Contig10234_2908	NA	11	15	12	13	12	13	11	23	11	34	21	30	33	47	49	21	14
Contig10234_2914	NA	9	19	5	14	13	14	13	23	NA	35	14	18	36	41	45	17	12
Contig102378_967	8	19	8	18	9	NA	13	22	19	12	16	7	13	19	19	9	28	6
Contig102394_2844	11	8	10	13	2	1	1	2	15	2	4	11	17	3	1	2	2	22
Contig102394_2860	24	12	20	21	9	NA	10	11	22	19	18	15	22	19	25	21	20	17
Contig1024_1356	22	25	23	28	13	NA	19	14	30	32	38	17	44	41	52	52	28	27
Contig1024_1363	19	30	28	28	18	10	31	27	35	36	40	32	52	51	60	49	34	31
Contig1024_6259	10	20	14	24	11	NA	26	16	25	34	46	24	39	37	43	44	31	22
Contig1024_8625	14	13	11	20	NA	13	13	21	17	16	NA	14	19	20	14	14	15	13
Contig1024_10259	10	12	10	16	11	10	13	15	12	11	NA	11	19	18	16	22	15	16
Contig1024_10262	10	13	11	17	12	12	19	16	15	14	10	12	20	23	19	22	21	18
Contig102480_47	9	29	13	37	18	23	31	31	12	8	36	18	15	19	46	18	14	29
Contig102480_78	8	15	10	10	11	10	15	17	7	4	17	12	10	12	17	14	5	18
Contig102652_2328	20	16	23	14	14	12	21	18	20	26	42	14	38	37	32	44	29	22
Contig102652_2344	10	11	13	12	11	NA	17	14	24	32	47	11	38	36	49	43	24	19
Contig102652_2359	19	10	17	17	9	10	19	15	14	45	45	11	40	43	43	50	19	22
Contig102652_2593	13	12	15	18	12	NA	18	14	20	18	21	13	25	28	37	27	16	17
Contig102652_2673	25	24	23	28	NA	13	32	28	33	28	37	14	40	44	43	48	26	25
Contig102652_2675	21	17	7	25	NA	11	28	27	29	32	31	9	35	38	41	44	28	24
Contig102652_2701	16	17	15	19	11	10	21	14	15	21	41	NA	34	38	39	49	20	16
Contig102652_2784	24	9	13	23	11	10	30	18	11	38	41	13	35	42	35	40	25	14
Contig102652_2787	12	8	11	18	9	NA	11	17	10	30	35	10	28	35	32	35	20	14
Contig102657_788	13	10	11	13	9	9	NA	7	14	14	24	15	15	14	15	18	NA	14
Contig102657_938	15	11	22	20	10	10	10	15	16	15	19	10	18	23	27	28	24	16
Contig10269_1486	10	11	10	NA	13	9	24	11	14	13	12	11	17	13	20	21	25	19
Contig10269_1953	22	14	13	21	10	10	20	17	19	22	18	12	30	34	23	29	NA	21
Contig102698_260	15	11	17	16	10	NA	15	12	14	26	29	14	24	38	39	24	16	11
Contig102698_319	12	10	10	15	11	10	10	NA	13	20	25	NA	25	37	29	26	14	17
Contig102698_330	13	9	12	10	12	10	12	NA	16	16	33	NA	12	25	16	19	1	19
Contig102698_333	15	13	10	13	13	12	12	NA	18	29	33	9	26	26	25	26	13	20
Contig102698_1809	27	11	30	22	10	NA	19	19	15	47	56	16	41	40	52	50	42	29
Contig102698_1869	27	11	25	26	15	13	18	7	23	49	47	12	44	48	58	56	40	21
Contig102698_1893	10	12	11	20	10	9	14	12	14	22	47	12	41	38	42	48	40	22
Contig102698_1916	19	9	17	14	10	NA	12	12	15	22	46	11	39	31	48	42	28	12
Contig102698_1936	32	12	23	22	NA	9	16	17	14	36	58	NA	40	38	52	46	39	17
Contig102698_1948	25	17	40	31	13	17	36	27	25	31	68	15	53	55	66	60	51	28
Contig102698_1966	33	15	39	24	14	17	35	18	27	39	63	19	50	45	58	64	52	24
Contig102698_1979	15	13	21	20	10	13	18	13	18	33	54	NA	20	33	45	49	33	18
Contig102698_1987	10	10	14	15	10	NA	15	14	12	24	46	NA	9	31	41	46	30	16
Contig102698_4924	9	12	12	13	18	14	16	14	17	24	11	13	20	17	11	10	14	25
Contig102733_266	22	11	NA	12	10	11	12	13	14	25	15	12	17	24	19	14	19	20
Contig102733_313	14	14	11	25	NA	13	10	9	23	24	26	10	25	31	43	29	29	31
Contig102733_328	21	14	12	24	NA	12	12	11	26	36	25	14	23	41	42	27	28	28
Contig102733_457	15	15	18	20	15	12	17	20	23	42	26	12	43	46	41	33	23	33
Contig102733_486	23	11	10	14	NA	14	15	14	27	39	53	9	34	42	42	39	23	20
Contig102733_490	22	10	11	14	NA	15	15	13	13	34	51	9	30	41	42	44	20	17
Contig102733_736	15	9	15	20	13	NA	16	12	10	30	48	NA	41	40	57	49	37	16
Contig102733_790	16	10	10	13	9	11	15	12	12	25	47	NA	30	14	33	36	19	17
Contig102815_144	13	9	17	16	13	15	17	19	23	12	9	13	16	16	14	11	10	18
Contig102815_276	12	9	13	12	8	13	11	16	11	6	12	NA	10	13	14	8	11	12
Contig102815_582	12	14	18	15	NA	13	14	13	12	18	20	NA	19	18	27	17	19	15
Contig102815_607	15	12	20	21	12	13	17	15	12	23	17	14	21	21	21	18	17	16
Contig102815_717	23	20	29	28	21	22	31	29	28	28	34	25	32	35	37	30	31	29
Contig102815_736	39	29	40	41	27	28	40	42	43	44	51	29	50	48	49	53	42	42
Contig102815_738	28	25	33	33	13	25	32	32	31	32	41	24	40	45	36	47	30	38
Contig102815_741	11	10	12	14	6	3	6	15	6	11	13	4	16	9	9	15	9	14
Contig102815_1152	39	25	36	24	24	36	34	24	39	29	32	33	47	35	29	38	37	43
Contig102815_1170	28	15	23	15	12	29	16	16	17	8	14	30	34	29	19	27	10	26
Contig102815_1558	22	15	24	28	22	22	27	23	27	26	34	21	27	32	27	31	25	28
Contig102815_1563	30	19	26	26	27	20	25	28	30	30	44	18	30	43	36	45	36	30
Contig102838_1119	15	18	13	15	11	15	19	15	20	14	15	14	15	20	15	19	16	18
Contig102838_1139	18	19	17	20	16	17	24	21	24	20	18	15	22	17	19	16	16	17
Contig102838_1462	39	42	35	37	35	37	43	37	36	33	12	25	42	43	36	40	31	33
Contig102838_1545	40	56	50	54	41	37	52	55	46	52	33	42	49	62	59	44	52	49
Contig102838_1580	23	21	24	32	28	17	28	26	33	28	NA	19	28	30	30	27	14	24
Contig102838_1740	23	NA	19	26	11	21	28	11	24	24	11	16	32	29	11	11	21	24
Contig102838_1747	11	NA	9	10	10	10	17	14	7	9	11	NA	18	19	10	11	12	13
Contig102838_1781	20	33	22	34	29	33	36	30	33	21	19	24	36	34	38	27	33	21
Contig102838_1795	47	59	55	62	49	55	67	59	48	56	54	46	66	57	65	60	59	52
Contig102838_1817	13	14	14	14	22	10	13	22	11	15	10	13	16	12	20	24	17	14
