#CHROM	POS	CONTEXT	Watson-METH	Watson-COVERAGE	Watson-QUAL	Crick-METH	Crick-COVERAGE	Crick-QUAL
Contig0	368	CHH	.	.	.	0	12	36
Contig0	369	CHH	.	.	.	0	13	36
Contig0	371	CHH	.	.	.	0	16	36
Contig0	373	CHH	.	.	.	0	19	36
Contig0	377	CHH	0	10	36	.	.	.
Contig0	384	CHH	.	.	.	0	18	35
Contig0	451	CHH	.	.	.	0	14	36
Contig0	456	CHH	1	11	36	.	.	.
Contig0	459	CHH	0	10	37	.	.	.
Contig0	462	CHH	0	10	37	.	.	.
Contig0	465	CHH	.	.	.	0	11	36
Contig0	468	CHH	.	.	.	0	11	35
Contig0	501	CHH	.	.	.	0	10	35
Contig0	509	CHH	.	.	.	0	12	35
Contig0	547	CHH	.	.	.	0	21	36
Contig0	630	CHH	.	.	.	0	17	35
Contig0	635	CHH	.	.	.	0	19	36
Contig0	636	CHH	.	.	.	0	17	35
Contig0	643	CHH	.	.	.	0	16	36
Contig0	649	CHH	.	.	.	0	19	35
Contig0	682	CHH	.	.	.	0	10	36
Contig0	771	CHH	.	.	.	0	15	36
Contig0	772	CHH	.	.	.	0	14	36
Contig0	795	CHH	.	.	.	0	19	37
Contig0	801	CHH	.	.	.	0	17	36
Contig0	803	CHH	.	.	.	0	16	36
Contig0	804	CHH	.	.	.	0	16	35
Contig0	805	CHH	.	.	.	0	15	36
Contig0	808	CHH	0	11	35	.	.	.
Contig0	811	CHH	0	13	35	.	.	.
Contig0	814	CHH	0	14	37	.	.	.
Contig0	819	CHH	.	.	.	0	11	36
Contig0	820	CHH	.	.	.	0	12	35
Contig0	822	CHH	0	13	37	.	.	.
Contig0	828	CHH	0	13	36	.	.	.
Contig0	829	CHH	0	14	37	.	.	.
Contig0	832	CHH	.	.	.	0	10	34
Contig0	833	CHH	0	14	37	.	.	.
Contig0	843	CHH	0	11	36	.	.	.
Contig0	852	CHH	.	.	.	0	14	36
Contig0	858	CHH	0	14	35	.	.	.
Contig0	859	CHH	1	12	35	.	.	.
Contig0	869	CHH	1	11	36	.	.	.
Contig0	874	CHH	0	10	36	.	.	.
Contig0	875	CHH	0	10	37	.	.	.
Contig0	884	CHH	.	.	.	0	14	37
Contig0	907	CHH	.	.	.	0	13	37
Contig0	910	CHH	0	13	35	.	.	.
Contig0	914	CHH	3	14	36	.	.	.
Contig0	920	CHH	0	11	35	.	.	.
Contig0	922	CHH	3	11	37	.	.	.
Contig0	932	CHH	.	.	.	0	15	36
Contig0	937	CHH	0	12	36	.	.	.
Contig0	941	CHH	.	.	.	0	11	36
Contig0	942	CHH	.	.	.	0	12	36
Contig0	944	CHH	.	.	.	0	11	37
Contig0	953	CHH	.	.	.	0	11	36
Contig0	957	CHH	0	20	37	.	.	.
Contig0	959	CHH	0	17	36	.	.	.
Contig0	962	CHH	0	13	35	.	.	.
Contig0	964	CHH	0	12	36	.	.	.
Contig0	965	CHH	0	12	35	.	.	.
Contig0	967	CHH	0	14	36	.	.	.
Contig0	969	CHH	0	14	36	.	.	.
Contig0	974	CHH	.	.	.	0	11	36
Contig0	977	CHH	0	11	36	.	.	.
Contig0	987	CHH	.	.	.	0	12	36
Contig0	989	CHH	.	.	.	0	15	35
Contig0	991	CHH	.	.	.	0	14	34
Contig0	999	CHH	0	11	36	.	.	.
Contig0	1000	CHH	0	11	35	.	.	.
Contig0	1001	CHH	0	11	35	.	.	.
Contig0	1010	CHH	.	.	.	0	19	36
Contig0	1018	CHH	.	.	.	0	19	36
Contig0	1023	CHH	.	.	.	0	18	36
Contig0	1032	CHH	.	.	.	0	13	36
Contig0	1076	CHH	.	.	.	0	15	37
Contig0	1077	CHH	.	.	.	0	15	37
Contig0	1099	CHH	.	.	.	0	12	35
Contig0	1147	CHH	.	.	.	0	11	36
Contig0	1390	CHH	.	.	.	2	10	35
Contig0	1392	CHH	.	.	.	3	10	34
Contig0	1451	CHH	.	.	.	0	10	35
Contig0	1456	CHH	.	.	.	2	11	35
Contig0	1457	CHH	.	.	.	0	10	35
Contig0	1548	CHH	.	.	.	0	25	37
Contig0	1555	CHH	.	.	.	0	29	36
Contig0	1558	CHH	0	23	36	.	.	.
Contig0	1564	CHH	.	.	.	0	26	36
Contig0	1570	CHH	0	20	35	.	.	.
Contig0	1571	CHH	0	21	36	.	.	.
Contig0	1575	CHH	0	14	37	.	.	.
Contig0	1576	CHH	0	15	37	.	.	.
Contig0	1606	CHH	0	11	36	.	.	.
Contig0	1611	CHH	0	11	36	.	.	.
Contig0	1615	CHH	0	10	36	.	.	.
Contig0	1641	CHH	.	.	.	0	21	36
Contig0	1643	CHH	.	.	.	0	25	35
Contig0	1653	CHH	.	.	.	0	23	34
Contig0	1696	CHH	.	.	.	0	32	36
Contig0	1698	CHH	.	.	.	0	32	35
Contig0	1700	CHH	1	15	36	.	.	.
Contig0	1702	CHH	0	20	36	.	.	.
Contig0	1709	CHH	.	.	.	0	34	36
Contig0	1718	CHH	0	23	36	.	.	.
Contig0	1719	CHH	0	22	36	.	.	.
Contig0	1721	CHH	0	21	36	.	.	.
Contig0	1724	CHH	0	18	37	.	.	.
Contig0	1730	CHH	0	10	37	.	.	.
Contig0	1881	CHH	.	.	.	0	25	35
Contig0	1882	CHH	.	.	.	0	24	36
Contig0	1897	CHH	.	.	.	0	10	36
Contig0	1898	CHH	.	.	.	0	10	36
Contig0	1982	CHH	0	10	36	.	.	.
Contig0	1984	CHH	0	10	37	.	.	.
Contig0	2002	CHH	.	.	.	0	11	37
Contig0	2005	CHH	0	12	36	.	.	.
Contig0	2012	CHH	.	.	.	0	22	36
Contig0	2015	CHH	.	.	.	0	24	36
Contig0	2023	CHH	.	.	.	0	35	35
Contig0	2026	CHH	0	30	36	.	.	.
Contig0	2029	CHH	.	.	.	0	24	36
Contig0	2030	CHH	0	30	36	.	.	.
Contig0	2033	CHH	.	.	.	0	22	36
Contig0	2034	CHH	.	.	.	0	18	37
Contig0	2035	CHH	.	.	.	0	19	36
Contig0	2039	CHH	0	18	36	.	.	.
Contig0	2045	CHH	.	.	.	2	12	37
Contig0	2057	CHH	.	.	.	0	14	36
Contig0	2060	CHH	.	.	.	1	15	36
Contig0	2066	CHH	.	.	.	0	22	36
Contig0	2067	CHH	.	.	.	0	23	36
Contig0	2069	CHH	.	.	.	0	24	36
Contig0	2075	CHH	.	.	.	1	25	36
Contig0	2093	CHH	.	.	.	0	18	36
Contig0	2094	CHH	.	.	.	0	16	37
Contig0	2104	CHH	.	.	.	0	11	37
Contig0	2277	CHH	.	.	.	0	10	36
Contig0	2285	CHH	.	.	.	0	11	36
Contig0	2353	CHH	0	13	36	.	.	.
Contig0	2369	CHH	0	11	35	.	.	.
Contig0	2409	CHH	.	.	.	0	10	36
Contig0	2418	CHH	.	.	.	0	11	36
Contig0	2421	CHH	.	.	.	0	11	35
Contig0	2548	CHH	0	11	36	.	.	.
Contig0	2563	CHH	0	19	34	.	.	.
Contig0	2564	CHH	0	19	35	.	.	.
Contig0	2567	CHH	0	18	36	.	.	.
Contig0	2570	CHH	0	15	34	.	.	.
Contig0	2574	CHH	0	12	35	.	.	.
Contig0	2575	CHH	0	11	36	.	.	.
Contig0	2581	CHH	.	.	.	0	10	37
Contig0	2587	CHH	.	.	.	0	11	36
Contig0	2590	CHH	.	.	.	0	11	37
Contig0	2594	CHH	.	.	.	0	11	36
Contig0	2595	CHH	.	.	.	0	12	37
Contig0	2617	CHH	.	.	.	0	12	37
Contig0	2629	CHH	0	10	37	.	.	.
Contig0	2635	CHH	0	14	34	.	.	.
Contig0	2642	CHH	8	13	35	.	.	.
Contig0	2644	CHH	0	15	37	.	.	.
Contig0	2651	CHH	.	.	.	1	15	35
Contig0	2653	CHH	0	18	34	.	.	.
Contig0	2654	CHH	0	19	36	.	.	.
Contig0	2657	CHH	.	.	.	1	15	36
Contig0	2661	CHH	.	.	.	0	13	33
Contig0	2662	CHH	5	24	35	.	.	.
Contig0	2663	CHH	2	21	35	.	.	.
Contig0	2668	CHH	0	21	36	.	.	.
Contig0	2676	CHH	0	18	35	.	.	.
Contig0	2678	CHH	0	15	35	.	.	.
Contig0	2684	CHH	0	16	35	.	.	.
Contig0	2705	CHH	0	17	36	.	.	.
Contig0	2710	CHH	0	16	36	.	.	.
Contig0	2711	CHH	0	14	36	.	.	.
Contig0	2725	CHH	0	10	36	.	.	.
Contig0	2810	CHH	.	.	.	0	22	36
Contig0	2811	CHH	.	.	.	0	22	35
Contig0	2815	CHH	0	17	36	.	.	.
Contig0	2819	CHH	0	18	35	.	.	.
Contig0	2821	CHH	0	18	36	.	.	.
Contig0	2822	CHH	0	18	36	.	.	.
Contig0	2823	CHH	0	18	37	.	.	.
Contig0	2824	CHH	0	18	36	.	.	.
Contig0	2825	CHH	0	17	36	.	.	.
Contig0	2828	CHH	.	.	.	0	33	36
Contig0	2829	CHH	.	.	.	0	33	36
Contig0	2830	CHH	0	16	36	.	.	.
Contig0	2832	CHH	0	15	36	.	.	.
Contig0	2870	CHH	2	18	35	.	.	.
Contig0	2871	CHH	1	16	36	.	.	.
Contig0	2875	CHH	1	17	36	.	.	.
Contig0	2877	CHH	2	15	36	.	.	.
Contig0	2999	CHH	.	.	.	0	16	36
Contig0	3000	CHH	.	.	.	0	16	36
Contig0	3002	CHH	.	.	.	0	17	36
Contig0	3004	CHH	.	.	.	0	19	35
Contig0	3008	CHH	.	.	.	0	23	36
Contig0	3010	CHH	.	.	.	0	23	36
Contig0	3023	CHH	.	.	.	0	20	36
Contig0	3025	CHH	.	.	.	0	20	36
Contig0	3026	CHH	.	.	.	0	21	36
Contig0	3028	CHH	.	.	.	0	18	36
Contig0	4500	CHH	0	10	37	.	.	.
Contig0	4872	CHH	.	.	.	0	10	36
Contig0	4878	CHH	.	.	.	0	11	37
Contig0	4879	CHH	.	.	.	0	10	36
Contig0	5667	CHH	0	18	37	.	.	.
Contig0	5686	CHH	0	18	36	.	.	.
Contig0	5695	CHH	0	12	36	.	.	.
Contig0	5928	CHH	.	.	.	0	15	36
Contig0	5929	CHH	.	.	.	0	16	36
Contig0	5930	CHH	.	.	.	0	19	36
Contig0	5931	CHH	.	.	.	1	18	35
Contig0	5932	CHH	.	.	.	0	20	34
Contig0	5938	CHH	.	.	.	0	29	35
Contig0	5942	CHH	.	.	.	0	34	36
Contig0	5947	CHH	.	.	.	0	39	36
Contig0	5948	CHH	.	.	.	0	37	35
Contig0	5965	CHH	.	.	.	0	21	36
Contig0	5969	CHH	.	.	.	0	13	36
Contig0	5997	CHH	0	30	35	.	.	.
Contig0	6110	CHH	0	24	35	.	.	.
Contig0	6111	CHH	0	25	36	.	.	.
Contig0	6112	CHH	0	27	36	.	.	.
Contig0	6121	CHH	0	28	36	.	.	.
Contig0	6296	CHH	.	.	.	0	15	36
Contig0	6298	CHH	.	.	.	0	17	35
Contig0	6308	CHH	.	.	.	0	17	36
Contig0	6316	CHH	.	.	.	0	15	34
Contig0	6318	CHH	.	.	.	2	13	35
Contig0	6639	CHH	.	.	.	0	16	35
Contig0	6649	CHH	.	.	.	0	15	34
Contig0	6657	CHH	.	.	.	0	13	36
Contig0	6660	CHH	0	11	36	.	.	.
Contig0	6663	CHH	0	12	36	.	.	.
Contig0	6669	CHH	0	12	36	.	.	.
Contig0	6672	CHH	0	13	35	.	.	.
Contig0	7149	CHH	.	.	.	1	10	36
Contig0	7360	CHH	.	.	.	1	13	36
Contig0	7361	CHH	.	.	.	0	14	36
Contig0	7365	CHH	0	11	35	.	.	.
Contig0	7366	CHH	0	10	37	.	.	.
Contig0	7369	CHH	.	.	.	0	17	36
Contig0	7370	CHH	.	.	.	0	17	36
Contig0	7371	CHH	0	10	36	.	.	.
Contig0	7381	CHH	.	.	.	0	11	34
Contig0	7552	CHH	0	22	36	.	.	.
Contig0	7553	CHH	1	24	36	.	.	.
Contig0	7566	CHH	1	23	36	.	.	.
Contig0	7567	CHH	0	22	36	.	.	.
Contig0	7583	CHH	.	.	.	0	27	36
Contig0	7585	CHH	.	.	.	1	27	36
Contig0	7587	CHH	.	.	.	0	27	36
Contig0	7588	CHH	.	.	.	0	27	36
Contig0	7715	CHH	7	11	36	.	.	.
Contig0	8145	CHH	.	.	.	0	10	35
Contig0	8154	CHH	0	20	36	.	.	.
Contig0	8181	CHH	.	.	.	0	17	35
Contig0	8188	CHH	.	.	.	0	24	36
Contig0	8189	CHH	.	.	.	0	26	37
Contig0	8196	CHH	0	45	36	.	.	.
Contig0	8206	CHH	.	.	.	0	25	37
Contig0	8207	CHH	0	31	36	.	.	.
Contig0	8210	CHH	.	.	.	0	22	36
Contig0	8214	CHH	.	.	.	1	16	36
Contig0	8215	CHH	.	.	.	0	14	36
Contig0	8252	CHH	0	16	35	.	.	.
Contig0	8253	CHH	0	16	36	.	.	.
Contig0	8257	CHH	0	18	36	.	.	.
Contig0	8264	CHH	1	19	36	.	.	.
Contig0	8270	CHH	2	15	37	.	.	.
Contig0	8271	CHH	2	18	35	.	.	.
Contig0	8314	CHH	1	14	36	.	.	.
Contig0	8316	CHH	1	14	35	.	.	.
Contig0	8323	CHH	1	13	35	.	.	.
Contig0	8328	CHH	.	.	.	0	29	35
Contig0	8342	CHH	.	.	.	1	25	35
Contig0	8343	CHH	.	.	.	0	24	36
Contig0	8344	CHH	.	.	.	0	23	35
Contig0	8411	CHH	.	.	.	0	10	34
Contig0	8412	CHH	0	22	36	.	.	.
Contig0	8414	CHH	0	21	36	.	.	.
Contig0	8426	CHH	0	17	36	.	.	.
Contig0	8428	CHH	0	16	37	.	.	.
Contig0	8439	CHH	0	11	35	.	.	.
Contig0	8440	CHH	0	10	36	.	.	.
Contig0	8447	CHH	.	.	.	0	13	36
Contig0	8450	CHH	0	17	36	.	.	.
Contig0	8457	CHH	.	.	.	0	21	36
Contig0	8465	CHH	0	30	36	.	.	.
Contig0	8468	CHH	.	.	.	0	24	36
Contig0	8472	CHH	.	.	.	0	20	35
Contig0	8480	CHH	.	.	.	0	24	36
Contig0	8488	CHH	.	.	.	0	22	36
Contig0	8489	CHH	1	24	35	.	.	.
Contig0	8499	CHH	.	.	.	0	19	36
Contig0	8501	CHH	.	.	.	0	17	37
Contig0	8507	CHH	.	.	.	1	14	37
Contig0	8509	CHH	0	27	35	.	.	.
Contig0	8513	CHH	0	27	36	.	.	.
Contig0	8517	CHH	0	22	36	.	.	.
Contig0	8520	CHH	0	23	36	.	.	.
Contig0	8776	CHH	0	11	35	.	.	.
Contig0	8787	CHH	0	19	36	.	.	.
Contig0	8797	CHH	0	18	36	.	.	.
Contig0	8808	CHH	0	14	36	.	.	.
Contig0	8820	CHH	0	23	36	.	.	.
Contig0	8835	CHH	0	18	36	.	.	.
Contig0	8975	CHH	.	.	.	0	10	35
Contig0	8980	CHH	.	.	.	0	16	34
Contig0	8981	CHH	0	14	36	.	.	.
Contig0	8984	CHH	.	.	.	0	17	37
Contig0	8985	CHH	.	.	.	0	17	37
Contig0	8986	CHH	.	.	.	0	19	36
Contig0	8987	CHH	.	.	.	0	20	36
Contig0	8990	CHH	.	.	.	0	21	35
Contig0	8999	CHH	.	.	.	0	16	36
Contig0	9000	CHH	.	.	.	0	16	34
Contig0	9003	CHH	.	.	.	0	15	33
Contig0	9010	CHH	.	.	.	0	10	37
Contig0	9011	CHH	.	.	.	0	10	37
Contig0	9012	CHH	.	.	.	0	11	35
Contig0	9013	CHH	0	16	35	.	.	.
Contig0	9025	CHH	.	.	.	0	10	34
Contig0	9026	CHH	.	.	.	0	10	35
Contig0	9027	CHH	.	.	.	0	11	32
Contig0	9031	CHH	0	14	35	.	.	.
Contig0	9032	CHH	0	13	37	.	.	.
Contig0	9033	CHH	0	12	36	.	.	.
Contig0	9037	CHH	.	.	.	0	12	33
Contig0	9038	CHH	.	.	.	0	12	33
Contig0	9039	CHH	0	12	36	.	.	.
Contig0	9040	CHH	0	12	36	.	.	.
Contig0	9041	CHH	0	12	36	.	.	.
Contig0	9042	CHH	0	12	35	.	.	.
Contig0	9043	CHH	1	12	36	.	.	.
Contig0	9047	CHH	.	.	.	0	12	36
Contig0	9048	CHH	.	.	.	0	12	36
Contig0	9049	CHH	.	.	.	0	11	35
Contig0	9055	CHH	.	.	.	0	11	36
Contig0	9063	CHH	.	.	.	0	13	33
Contig0	9064	CHH	0	11	36	.	.	.
Contig0	9065	CHH	0	11	35	.	.	.
Contig0	9066	CHH	0	11	36	.	.	.
Contig0	9073	CHH	.	.	.	0	20	35
Contig0	9077	CHH	.	.	.	0	21	37
Contig0	9079	CHH	.	.	.	0	25	36
Contig0	9080	CHH	0	16	37	.	.	.
Contig0	9087	CHH	.	.	.	0	25	36
Contig0	9098	CHH	.	.	.	1	14	36
Contig0	9100	CHH	.	.	.	0	13	37
Contig0	9101	CHH	.	.	.	1	14	36
Contig0	9132	CHH	1	11	36	.	.	.
Contig0	9145	CHH	2	10	37	.	.	.
Contig0	9156	CHH	.	.	.	1	11	34
Contig0	9159	CHH	.	.	.	0	10	36
Contig0	9197	CHH	.	.	.	1	13	35
Contig0	9198	CHH	.	.	.	3	14	34
Contig0	9202	CHH	.	.	.	0	11	34
Contig0	9476	CHH	.	.	.	0	12	36
Contig0	9503	CHH	.	.	.	3	10	37
Contig0	9505	CHH	.	.	.	0	10	36
Contig0	9559	CHH	.	.	.	4	17	35
Contig0	9563	CHH	.	.	.	7	18	34
Contig0	9569	CHH	.	.	.	7	12	34
Contig0	9676	CHH	.	.	.	0	13	34
Contig0	9677	CHH	.	.	.	0	10	36
Contig0	9680	CHH	0	12	37	.	.	.
Contig0	9683	CHH	.	.	.	0	12	34
Contig0	9685	CHH	.	.	.	0	11	36
Contig0	9687	CHH	.	.	.	0	12	36
Contig0	9688	CHH	0	14	35	.	.	.
Contig0	9700	CHH	0	20	36	.	.	.
Contig0	9701	CHH	0	21	37	.	.	.
Contig0	9706	CHH	.	.	.	0	11	36
Contig0	9717	CHH	.	.	.	0	19	36
Contig0	9753	CHH	13	31	36	.	.	.
Contig0	9758	CHH	13	31	36	.	.	.
Contig0	9760	CHH	12	29	35	.	.	.
Contig0	9766	CHH	11	26	36	.	.	.
Contig0	9769	CHH	11	19	35	.	.	.
Contig0	9772	CHH	10	17	36	.	.	.
Contig0	9775	CHH	7	14	36	.	.	.
Contig0	9777	CHH	5	12	37	.	.	.
Contig0	9835	CHH	.	.	.	0	10	37
Contig0	9846	CHH	.	.	.	0	10	36
Contig0	11002	CHH	1	12	36	.	.	.
Contig0	11004	CHH	0	13	35	.	.	.
Contig0	11007	CHH	.	.	.	0	12	36
Contig0	11010	CHH	0	12	36	.	.	.
Contig0	11011	CHH	0	13	36	.	.	.
Contig0	11016	CHH	.	.	.	0	12	36
Contig0	11017	CHH	1	11	37	.	.	.
Contig0	11021	CHH	.	.	.	0	11	37
Contig0	11025	CHH	.	.	.	0	12	36
Contig0	11069	CHH	.	.	.	1	15	36
Contig0	11073	CHH	.	.	.	0	14	35
Contig0	11076	CHH	0	18	35	.	.	.
Contig0	11081	CHH	0	19	35	.	.	.
Contig0	11084	CHH	.	.	.	0	15	36
Contig0	11087	CHH	0	12	35	.	.	.
Contig0	11088	CHH	0	13	35	.	.	.
Contig0	11093	CHH	.	.	.	0	10	35
Contig0	11142	CHH	.	.	.	0	10	37
Contig0	11144	CHH	.	.	.	0	12	34
Contig0	11485	CHH	2	10	35	.	.	.
Contig0	11488	CHH	1	11	36	.	.	.
Contig0	11491	CHH	1	12	34	.	.	.
Contig0	11493	CHH	0	11	37	.	.	.
Contig0	11496	CHH	.	.	.	0	14	36
Contig0	11506	CHH	.	.	.	0	11	36
Contig0	11511	CHH	.	.	.	0	14	36
Contig0	11516	CHH	.	.	.	0	16	34
Contig0	11530	CHH	.	.	.	0	12	34
Contig0	11552	CHH	.	.	.	0	13	36
Contig0	11559	CHH	.	.	.	0	13	35
Contig0	11563	CHH	.	.	.	0	14	36
Contig0	11574	CHH	.	.	.	0	10	36
Contig0	12304	CHH	0	11	37	.	.	.
Contig0	12305	CHH	0	12	36	.	.	.
Contig0	12307	CHH	0	12	37	.	.	.
Contig0	12308	CHH	0	12	36	.	.	.
Contig0	12314	CHH	.	.	.	0	10	36
Contig0	12317	CHH	0	12	37	.	.	.
Contig0	12319	CHH	0	12	37	.	.	.
Contig0	12428	CHH	.	.	.	3	10	34
Contig0	12437	CHH	.	.	.	1	10	36
Contig0	13434	CHH	2	10	36	.	.	.
Contig0	13435	CHH	0	10	34	.	.	.
Contig0	13436	CHH	2	11	35	.	.	.
Contig0	13437	CHH	1	11	34	.	.	.
Contig0	13438	CHH	3	10	35	.	.	.
Contig0	13439	CHH	0	11	33	.	.	.
Contig0	13440	CHH	1	10	34	.	.	.
Contig0	13441	CHH	3	12	33	.	.	.
Contig0	13442	CHH	2	10	34	.	.	.
Contig0	13443	CHH	0	10	35	.	.	.
Contig0	13795	CHH	0	12	35	.	.	.
Contig0	14074	CHH	0	12	33	.	.	.
Contig0	14076	CHH	0	11	35	.	.	.
Contig0	14079	CHH	0	12	36	.	.	.
Contig0	14082	CHH	.	.	.	0	15	36
Contig0	14087	CHH	.	.	.	0	17	36
Contig0	14092	CHH	.	.	.	1	25	36
Contig0	14095	CHH	.	.	.	2	29	36
Contig0	14099	CHH	0	16	35	.	.	.
Contig0	14100	CHH	0	15	37	.	.	.
Contig0	14103	CHH	.	.	.	0	27	36
Contig0	14105	CHH	0	16	35	.	.	.
Contig0	14108	CHH	1	15	36	.	.	.
Contig0	14110	CHH	0	15	36	.	.	.
Contig0	14111	CHH	0	16	35	.	.	.
Contig0	14116	CHH	.	.	.	1	28	37
Contig0	14118	CHH	.	.	.	1	27	36
Contig0	14121	CHH	.	.	.	2	26	35
Contig0	14135	CHH	.	.	.	2	15	37
Contig0	14145	CHH	.	.	.	0	13	36
Contig0	14146	CHH	.	.	.	0	12	35
Contig0	14178	CHH	.	.	.	0	15	36
Contig0	14200	CHH	.	.	.	0	17	36
Contig0	14212	CHH	.	.	.	0	10	37
Contig0	14682	CHH	0	13	37	.	.	.
Contig0	14685	CHH	0	19	36	.	.	.
Contig0	14690	CHH	.	.	.	0	14	36
Contig0	14692	CHH	0	26	36	.	.	.
Contig0	14697	CHH	.	.	.	1	21	36
Contig0	14706	CHH	0	32	36	.	.	.
Contig0	14711	CHH	.	.	.	0	22	36
Contig0	14715	CHH	.	.	.	0	20	36
Contig0	14718	CHH	.	.	.	0	22	36
Contig0	14724	CHH	0	31	36	.	.	.
Contig0	14725	CHH	0	30	36	.	.	.
Contig0	14753	CHH	0	10	35	.	.	.
Contig0	14846	CHH	0	11	36	.	.	.
Contig0	14847	CHH	0	10	36	.	.	.
Contig0	14852	CHH	0	11	37	.	.	.
Contig0	14854	CHH	0	11	37	.	.	.
Contig0	14883	CHH	.	.	.	0	14	36
Contig0	14888	CHH	.	.	.	0	20	36
Contig0	14889	CHH	.	.	.	0	18	36
Contig0	14891	CHH	1	13	36	.	.	.
Contig0	14895	CHH	0	20	35	.	.	.
Contig0	14897	CHH	0	20	36	.	.	.
Contig0	14899	CHH	1	21	36	.	.	.
Contig0	14903	CHH	.	.	.	0	25	36
Contig0	14905	CHH	0	22	36	.	.	.
Contig0	14908	CHH	1	20	35	.	.	.
Contig0	14911	CHH	0	16	36	.	.	.
Contig0	14918	CHH	.	.	.	0	22	36
Contig0	14930	CHH	.	.	.	0	15	36
Contig0	14931	CHH	.	.	.	1	15	35
Contig0	14946	CHH	0	10	36	.	.	.
Contig0	14966	CHH	0	25	36	.	.	.
Contig0	14984	CHH	1	15	37	.	.	.
Contig0	14985	CHH	0	14	36	.	.	.
Contig0	15015	CHH	.	.	.	1	10	36
Contig0	15017	CHH	.	.	.	1	13	36
Contig0	15018	CHH	.	.	.	2	13	37
Contig0	15019	CHH	.	.	.	1	12	36
Contig0	15022	CHH	.	.	.	3	18	36
Contig0	15025	CHH	.	.	.	1	17	36
Contig0	15036	CHH	.	.	.	0	15	35
Contig0	15069	CHH	0	13	37	.	.	.
Contig0	15072	CHH	0	14	36	.	.	.
Contig0	15075	CHH	0	13	36	.	.	.
Contig0	15076	CHH	1	11	36	.	.	.
Contig0	15079	CHH	1	12	36	.	.	.
Contig0	15228	CHH	0	10	37	.	.	.
Contig0	15236	CHH	0	10	36	.	.	.
Contig0	15238	CHH	0	10	37	.	.	.
Contig0	15239	CHH	0	10	37	.	.	.
Contig0	15243	CHH	0	10	37	.	.	.
Contig0	15311	CHH	.	.	.	2	11	35
Contig0	15312	CHH	.	.	.	3	11	35
Contig0	15314	CHH	.	.	.	2	11	33
Contig0	15315	CHH	.	.	.	2	12	35
Contig0	15321	CHH	.	.	.	3	11	35
Contig0	15323	CHH	0	22	35	.	.	.
Contig0	15331	CHH	0	16	35	.	.	.
Contig0	15366	CHH	0	12	36	.	.	.
Contig0	15380	CHH	.	.	.	0	10	36
Contig0	15388	CHH	1	28	36	.	.	.
Contig0	15405	CHH	0	24	36	.	.	.
Contig0	15442	CHH	0	15	36	.	.	.
Contig0	15444	CHH	0	19	36	.	.	.
Contig0	15450	CHH	.	.	.	0	16	36
Contig0	15455	CHH	.	.	.	0	20	37
Contig0	15458	CHH	.	.	.	0	23	36
Contig0	15461	CHH	.	.	.	0	22	36
Contig0	15462	CHH	1	36	35	.	.	.
Contig0	15473	CHH	0	22	36	.	.	.
Contig0	15511	CHH	.	.	.	0	11	37
Contig0	15512	CHH	0	14	34	.	.	.
Contig0	15513	CHH	0	13	35	.	.	.
