contig,start,end,fst01
Contig4855,0,5225,0.0222222222222222
Contig4872,10000,20000,-0.0023696682464455
Contig4902,10000,12027,0.156862745098039
Contig4960,0,8683,0.0476190476190476
Contig4971,0,10000,0.0258899676375405
Contig4981,0,7420,0.0631578947368421
Contig4982,0,4797,0
Contig4994,0,10000,0.0240549828178694
Contig4994,10000,11747,0.0648854961832061
Contig5007,0,7791,0.0463276836158192
Contig5086,0,10000,0.00319488817891374
Contig5107,0,9626,-0.00579710144927536
Contig5157,0,8889,0
Contig5165,10000,14022,0.0120879120879121
Contig5182,10000,14467,0.0535714285714286
Contig5215,0,5712,0.0987124463519313
Contig5229,0,9543,0.0223642172523962
Contig5265,0,5527,0.0887096774193548
Contig5310,0,10000,0.0480769230769231
Contig5332,10000,12430,0.118895966029724
Contig5353,0,9165,0.170289855072464
Contig5362,0,10000,0.125237191650854
Contig5367,0,2101,0.0245901639344262
Contig5402,0,8617,-0.00529100529100529
Contig5412,0,5496,0.010351966873706
Contig5440,0,3660,0
Contig5453,10000,11429,-0.00512820512820513
Contig5561,0,10000,0.0810126582278481
Contig5695,0,7131,0.0206185567010309
Contig5721,0,5516,-0.00247524752475248
Contig5771,0,8904,0.0306122448979592
Contig5831,0,10000,0.115702479338843
Contig5877,0,3842,0.516074450084603
Contig5895,0,3310,0.101851851851852
Contig5901,0,2132,0
Contig5923,0,4653,0.0631578947368421
Contig5936,0,4971,0.235872235872236
Contig5963,0,10000,0.155251141552511
Contig5969,0,1783,0.0177453027139875
Contig5972,0,8956,0.161662817551963
Contig5984,0,3265,0.111353711790393
Contig6021,0,10000,0.025
Contig6022,0,5300,0.00227272727272727
Contig6129,0,1392,0.0939597315436242
Contig6235,0,6152,0.0949367088607595
Contig6242,0,10000,0.217307692307692
Contig6272,0,3416,0.112956810631229
Contig6311,10000,18376,0.00289017341040462
Contig6319,0,9391,0.021505376344086
Contig6332,0,4304,0
Contig6469,0,1926,0.0241779497098646
Contig6500,0,9065,0.0548446069469835
Contig6567,0,5607,0.0638297872340425
Contig6570,10000,11584,0.0612244897959184
Contig6588,0,3838,0.0369609856262834
Contig6605,0,7927,0.0936073059360731
Contig6667,0,7552,0.0526315789473684
Contig6675,0,7540,0.0434782608695652
Contig6711,0,2828,0.377224199288256
Contig6740,0,6298,0.0248447204968944
Contig6750,0,4338,0.0727272727272727
Contig6933,0,9608,0
Contig6967,0,3494,0.010948905109489
Contig7067,0,10000,0.0454545454545455
Contig7079,0,5157,0.0127388535031847
Contig7105,0,1558,0
Contig7127,0,4201,-0.00520833333333333
Contig7303,0,6881,0.0482866043613707
Contig7308,0,1421,0.0161943319838057
Contig7395,0,4452,0.0714285714285714
Contig7430,0,6721,0.0954415954415955
Contig7674,0,8549,0
Contig7691,0,5522,0.139593908629442
Contig7748,0,8621,0.137667304015296
Contig7782,0,7015,0.0392156862745098
Contig7792,0,10000,0.0384615384615385
Contig7795,0,6628,0.092741935483871
Contig7832,0,1320,0.071969696969697
Contig7841,0,7932,0.0833333333333333
Contig7856,0,2296,0.298174442190669
Contig7931,0,3627,0.00902061855670103
Contig7998,0,5475,0
Contig8133,0,10000,0
Contig8150,0,9494,0
Contig8168,0,3800,0.0521091811414392
Contig8201,0,10000,0.0994263862332696
Contig8214,0,10000,0.12094395280236
Contig8217,0,8514,0.045045045045045
Contig8220,0,10000,0.0384615384615385
Contig8245,0,3935,0.382608695652174
Contig8272,0,10000,0.188118811881188
Contig8275,0,7654,0.176282051282051
Contig8357,0,2455,0.0292275574112735
Contig8494,0,7935,0.0842266462480857
Contig8636,0,4795,0
Contig8641,0,6754,0.0448717948717949
Contig8696,0,6050,0.0138613861386139
Contig8926,0,3199,-0.00255102040816327
Contig8977,0,3592,0.0124113475177305
Contig9011,0,4087,0.00675675675675676
Contig9101,0,6048,0.370689655172414
Contig9246,0,2419,0
Contig9296,0,8608,0
Contig9662,0,9948,0.0289855072463768
Contig9718,0,5349,-0.00314465408805031
Contig9791,0,2621,0
Contig9812,0,10000,0.00789473684210526
Contig9880,0,1585,0.0706521739130435
Contig9978,0,1904,0.0819047619047619
Contig9996,0,1846,-0.00554016620498615
Contig10074,0,6621,0.192019950124688
Contig10259,0,9151,0.102669404517454
Contig10262,0,6387,0.0444444444444444
Contig10339,0,6163,0.0925
Contig10386,0,1192,-0.00101522842639594
Contig10424,0,1773,0
Contig10430,0,1793,0.0655737704918033
Contig10512,0,1003,0.0234375
Contig10710,0,10000,0.0242424242424242
Contig10738,0,6205,0.0655737704918033
Contig10835,0,2691,0.0454545454545455
Contig10926,0,10000,0.0714285714285714
Contig11046,0,6914,0.0918367346938775
Contig11109,0,3497,0.127840909090909
Contig12044,0,7470,0.108695652173913
Contig13838,0,3812,0.0241379310344828
Contig13988,0,4885,0.248
Contig13991,0,6374,0
Contig14488,0,1994,0.0125
Contig14605,0,1409,0.03125
Contig14923,0,2101,0.122850122850123
Contig14959,0,1041,0.0182232346241458
Contig15206,10000,19636,0.00623052959501558
Contig15292,0,10000,0.0199501246882793
Contig15329,0,10000,0.0384615384615385
Contig15372,10000,20000,0.00130890052356021
Contig15379,0,10000,0.0838323353293413
Contig15404,0,6624,0.07981220657277
Contig15409,0,10000,0.0414201183431953
Contig15478,20000,22540,0
Contig15483,0,10000,0.0148514851485149
Contig15505,0,10000,0.0179487179487179
Contig15562,10000,20000,0.046875
Contig15595,10000,20000,0.158371040723982
Contig15595,30000,40000,0.0136986301369863
Contig15616,0,10000,0.207885304659498
Contig15656,0,10000,0.0106007067137809
Contig15733,60000,64034,0.0995850622406639
Contig15737,0,10000,0
Contig15758,30000,35111,-0.00512820512820513
Contig15768,0,5734,0
Contig15835,0,10000,0.021978021978022
Contig15839,10000,14009,0.142857142857143
Contig15885,0,10000,0.00526315789473684
Contig15885,30000,40000,0.0853242320819113
Contig15893,0,5062,0.0219378427787934
Contig15905,0,10000,0
Contig15908,0,10000,0
Contig15910,10000,20000,0
Contig15912,0,9467,0.215311004784689
Contig15920,30000,40000,0.105726872246696
Contig15922,30000,40000,0
Contig15941,50000,58446,0.0859977949283352
Contig15960,30000,37917,0.0050761421319797
Contig15964,10000,20000,0
Contig15977,30000,36911,0.0810055865921788
Contig16024,10000,19080,0.157232704402516
Contig16063,30000,40000,0.0656370656370656
Contig16072,10000,12517,0.107452339688042
Contig16083,10000,20000,0
Contig16118,10000,20000,0.04
Contig16148,20000,30000,0.571018651362984
Contig16187,30000,40000,0.0757575757575758
Contig16203,0,10000,0.0492307692307692
Contig16224,0,10000,0.0280504908835905
Contig16224,10000,11789,0.179347826086957
Contig16234,0,10000,0
Contig16263,10000,20000,0.104347826086957
Contig16324,0,8416,0.0833333333333333
Contig16336,0,10000,0.0227272727272727
Contig16351,10000,20000,0.0235690235690236
Contig16386,20000,30000,0.0256410256410256
Contig16387,10000,19277,0.350340136054422
Contig16410,0,8853,0.0535714285714286
Contig16446,10000,20000,0.208015267175573
Contig16451,0,10000,0.0384615384615385
Contig16513,0,7635,0.0625
Contig16525,30000,38008,0.136448598130841
Contig16564,10000,20000,0.0774193548387097
Contig16589,0,10000,0.0485175202156334
Contig16630,0,6376,0
Contig16632,0,7489,0
Contig16668,80000,90000,0.166666666666667
Contig16708,20000,28990,0
Contig16833,20000,30000,0.118198874296435
Contig16885,10000,20000,0.00634920634920635
Contig16894,0,4992,0.191283292978208
Contig16916,20000,30000,0.382231404958678
Contig16934,10000,20000,0.0581395348837209
Contig16958,10000,20000,0
Contig16967,0,7848,-0.00319488817891374
Contig17004,10000,14619,0.165
Contig17022,0,5225,0.0235294117647059
Contig17037,10000,20000,0.0700757575757576
Contig17057,0,10000,0.105769230769231
Contig17057,40000,44033,0
Contig17070,10000,12583,0.0869565217391304
Contig17182,10000,20000,0
Contig17195,0,10000,0.0652173913043478
Contig17225,0,10000,0.0870917573872473
Contig17228,0,10000,0.063758389261745
Contig17229,0,4952,0
Contig17244,0,10000,0
Contig17267,10000,20000,0.027190332326284
Contig17286,20000,30000,0
Contig17345,20000,30000,0
Contig17345,30000,40000,0.0955882352941176
Contig17345,50000,60000,0.00246913580246914
Contig17378,0,10000,0.190036900369004
Contig17378,20000,27377,0.0691699604743083
Contig17382,0,10000,0.0457142857142857
Contig17382,10000,20000,0.0278884462151394
Contig17391,10000,18362,0.0422535211267606
Contig17466,10000,15313,0.00233644859813084
Contig17471,10000,20000,0.036
Contig17509,30000,37848,0.13953488372093
Contig17531,0,7016,0.00635593220338983
Contig17544,0,10000,0.178217821782178
Contig17554,0,10000,0
Contig17556,10000,19086,0
Contig17629,40000,50000,0.0285714285714286
Contig17633,30000,40000,0
Contig17633,50000,60000,0.0886850152905199
Contig17633,60000,70000,0.0188679245283019
Contig17645,0,9461,0.0268041237113402
Contig17705,0,10000,0.037037037037037
Contig17744,0,8650,0.0155642023346304
Contig17781,0,10000,0.0367231638418079
Contig17798,20000,30000,0.0288248337028825
Contig17801,0,5238,0.0246913580246914
Contig17831,10000,17136,0.0112781954887218
Contig17862,0,10000,0.0282485875706215
Contig17868,0,10000,0.0833333333333333
Contig17898,10000,20000,0
Contig17925,0,10000,0.0364963503649635
Contig17931,0,10000,0.0594059405940594
Contig17957,0,5917,0.079136690647482
Contig17965,20000,28071,0.120229007633588
Contig17971,0,10000,0.0175438596491228
Contig17977,10000,20000,0
Contig17997,20000,30000,0.027027027027027
Contig17997,30000,40000,-0.0028735632183908
Contig18000,0,10000,0.0288461538461538
Contig18000,10000,20000,0.0108695652173913
Contig18041,10000,20000,0.0497512437810945
Contig18041,40000,50000,-0.00206185567010309
Contig18064,0,7155,0.0335917312661499
Contig18076,0,9156,0.0689655172413793
Contig18086,0,10000,0.00968523002421308
Contig18096,10000,20000,0.0401785714285714
Contig18103,0,10000,0.0353356890459364
Contig18128,10000,20000,0
Contig18132,0,10000,0.153846153846154
Contig18136,0,6153,0
Contig18145,10000,20000,0.0446428571428571
Contig18146,20000,30000,0
Contig18167,0,10000,0.0611111111111111
Contig18167,10000,20000,0.10377358490566
Contig18274,0,5352,0.142394822006472
Contig18279,0,5942,0.132890365448505
Contig18286,40000,50000,0.0483870967741935
Contig18289,0,10000,0.0600436681222707
Contig18289,10000,20000,-0.00399201596806387
Contig18310,0,6280,0.102649006622517
Contig18331,0,10000,0.176029962546816
Contig18372,0,10000,0.401015228426396
Contig18408,0,10000,0.0804597701149425
Contig18417,0,10000,0.037037037037037
Contig18485,40000,50000,0
Contig18485,50000,59534,0
Contig18487,0,6344,0.138240574506284
Contig18493,20000,30000,0.0178571428571429
Contig18494,10000,20000,0.0216606498194946
Contig18498,10000,20000,0.0273775216138329
Contig18498,20000,30000,0.062200956937799
Contig18498,40000,50000,0
Contig18500,0,3882,0.0289855072463768
Contig18505,20000,30000,0.15530303030303
Contig18528,0,10000,0.151898734177215
Contig18553,20000,28875,0.0384615384615385
Contig18582,0,10000,-0.00215982721382289
Contig18589,20000,30000,0.00853242320819113
Contig18609,10000,20000,0
Contig18641,30000,40000,0
Contig18700,40000,50000,0.0454545454545455
Contig18709,0,8511,0.149863760217984
Contig18712,0,7200,0.00202429149797571
Contig18718,0,10000,0.0267558528428094
Contig18727,30000,40000,0.0192307692307692
Contig18766,0,8917,0.0476190476190476
Contig18776,0,1101,0.345679012345679
Contig18821,10000,20000,0.114930182599356
Contig18830,0,10000,0.0473684210526316
Contig18838,0,10000,0.0028735632183908
Contig18889,30000,40000,0.036231884057971
Contig18896,0,10000,0.0568527918781726
Contig18910,10000,20000,0.014792899408284
Contig18968,50000,53080,0.0555555555555556
Contig18997,50000,60000,0
Contig19011,0,10000,0.00549450549450549
Contig19019,10000,20000,0.306547619047619
Contig19049,10000,20000,0.0703125
Contig19076,30000,40000,0.0240963855421687
Contig19104,10000,12249,0.0208333333333333
Contig19115,0,10000,-0.00684931506849315
Contig19117,10000,20000,0.235546038543897
Contig19129,0,10000,0
Contig19129,20000,30000,0
Contig19137,30000,35635,0.0437017994858612
Contig19145,0,10000,-0.004149377593361
Contig19149,40000,50000,0
Contig19185,20000,30000,0.0909090909090909
Contig19208,20000,30000,0.0335917312661499
Contig19211,0,8631,0
Contig19248,0,10000,0.0245901639344262
Contig19256,20000,30000,0.0810810810810811
Contig19257,0,10000,0.115183246073298
Contig19335,0,10000,0.0307692307692308
Contig19351,0,1394,0.0235294117647059
Contig19354,10000,20000,0.0256410256410256
Contig19354,60000,70000,0.0476190476190476
Contig19392,20000,30000,0.233463035019455
Contig19396,0,3249,0.0988142292490119
Contig19458,0,10000,0.00405679513184584
Contig19473,10000,20000,0.124050632911392
Contig19477,0,10000,0.0336700336700337
Contig19484,50000,51075,0
Contig19496,0,10000,0.165289256198347
Contig19503,0,10000,0
Contig19646,150000,160000,0.0377358490566038
Contig19662,0,9127,0.0126582278481013
Contig19663,0,7760,0.0598290598290598
Contig19671,10000,20000,0.110429447852761
Contig19680,0,10000,0.0915032679738562
Contig19693,0,10000,0.0384615384615385
Contig19699,10000,15217,0.114035087719298
Contig19719,0,4745,-0.00288184438040346
Contig19724,10000,19268,0
Contig19766,0,10000,0.029585798816568
Contig19785,0,10000,0.0277777777777778
Contig19869,0,10000,0.0510752688172043
Contig19881,0,10000,0.0106837606837607
Contig19888,0,1044,0.00520833333333333
Contig19896,0,10000,0
Contig19909,10000,20000,0.0629370629370629
Contig19917,0,8857,0.0833333333333333
Contig19944,0,4992,0.0451127819548872
Contig19950,10000,20000,0
Contig19970,10000,20000,0
Contig19973,10000,20000,0.0844444444444444
Contig19975,20000,30000,0.161676646706587
Contig19982,0,9122,0.0740740740740741
Contig19983,0,3517,0.308988764044944
Contig19986,60000,70000,0.0512820512820513
Contig19997,0,8585,0.18659217877095
Contig20003,0,10000,-0.0045045045045045
Contig20004,0,10000,0
Contig20017,20000,30000,0
Contig20037,20000,30000,0.0602006688963211
