id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
Contig100247_5811	18	2.888e-01	1.615e-01	5.336e-01	7.621e-01	7.303e-01	1.957e-01	2.773e+00	5.867e+00	-7.779e-02	7.602e-01
Contig100247_5815	18	2.213e-01	-2.088e-01	6.330e-01	7.415e-01	9.120e-01	1.064e-01	1.304e+01	1.888e+01	2.172e+00	1.020e+00
Contig100267_6648	18	3.337e-01	-8.825e-01	6.175e-01	1.530e-01	6.547e-01	2.727e-01	2.503e+00	6.077e+00	3.380e+00	8.887e-01
Contig100267_6663	18	2.785e-01	-5.512e-01	7.914e-01	4.861e-01	4.424e-01	2.383e-01	3.741e+00	4.861e+00	3.157e+00	1.014e+00
Contig100353_1879	18	2.971e-01	-3.647e-01	1.203e+00	7.617e-01	6.621e-01	2.590e-01	6.028e+00	1.035e+01	3.631e+00	1.379e+00
Contig100353_1901	18	2.845e-01	6.368e-01	7.452e-01	3.928e-01	6.791e-01	2.705e-01	6.516e+00	1.183e+01	2.722e+00	9.852e-01
Contig100396_1493	18	2.997e-01	-7.282e-03	7.720e-01	9.925e-01	4.679e-01	2.783e-01	3.577e+00	7.092e+00	3.527e+00	1.052e+00
Contig100499_2590	18	2.667e-01	2.373e-01	7.718e-01	7.585e-01	5.286e-01	2.458e-01	3.769e+00	6.371e+00	2.431e+00	1.024e+00
Contig100522_5271	18	2.542e-01	7.453e-01	6.596e-01	2.585e-01	6.485e-01	2.689e-01	4.366e+00	8.069e+00	2.290e+00	9.398e-01
Contig100522_5285	18	3.128e-01	-8.428e-02	4.916e-01	8.639e-01	6.279e-01	2.707e-01	2.109e+00	4.442e+00	3.271e+00	7.327e-01
Contig100522_5295	18	2.283e-01	-4.138e-01	7.468e-01	5.795e-01	6.116e-01	2.406e-01	5.479e+00	9.657e+00	3.001e+00	1.005e+00
Contig100556_1702	18	3.693e-01	2.280e-01	4.264e-01	5.929e-01	7.762e-01	2.277e-01	1.678e+00	3.630e+00	1.629e+00	6.343e-01
Contig100556_1864	18	3.620e-01	-5.824e-01	6.321e-01	3.568e-01	6.108e-01	2.811e-01	2.938e+00	6.725e+00	2.260e+00	9.056e-01
Contig100556_1869	18	2.646e-01	3.994e-01	1.077e+00	7.108e-01	6.841e-01	2.580e-01	1.313e+01	2.123e+01	2.661e+00	1.472e+00
Contig100578_1226	18	1.724e-01	-3.420e-02	1.143e+00	9.761e-01	9.336e-01	8.201e-02	2.620e+01	2.290e+01	4.134e+00	1.383e+00
Contig100578_1264	18	3.335e-01	2.318e-01	5.681e-01	6.833e-01	6.069e-01	3.043e-01	2.311e+00	5.194e+00	2.465e+00	7.607e-01
Contig100706_944	18	2.550e-01	2.699e-01	7.667e-01	7.248e-01	6.088e-01	2.325e-01	4.604e+00	7.022e+00	1.258e+00	1.002e+00
Contig100745_189	18	3.179e-01	-7.469e-01	1.142e+00	5.132e-01	3.839e-01	2.036e-01	6.647e+00	9.205e+00	3.356e+00	1.260e+00
Contig100764_569	18	3.305e-01	-1.165e+00	1.196e+00	3.299e-01	2.707e-01	1.479e-01	6.919e+00	5.334e+00	3.304e+00	1.308e+00
Contig100771_1673	18	2.692e-01	-3.679e-01	9.323e-01	6.931e-01	5.271e-01	2.457e-01	5.975e+00	8.840e+00	3.431e+00	1.153e+00
Contig100776_1656	18	2.895e-01	-1.969e-01	6.075e-01	7.459e-01	6.367e-01	2.462e-01	2.482e+00	4.579e+00	1.786e+00	8.430e-01
Contig100776_1700	18	2.945e-01	-7.700e-01	1.025e+00	4.524e-01	4.094e-01	2.064e-01	4.040e+00	4.775e+00	3.487e+00	1.189e+00
Contig100776_1764	18	1.497e-01	2.682e-01	1.098e+00	8.071e-01	6.221e-01	1.284e-01	9.122e+00	7.148e+00	6.064e-01	1.278e+00
Contig100776_1801	18	3.709e-01	2.654e-01	4.163e-01	5.238e-01	6.075e-01	2.652e-01	1.045e+00	2.106e+00	8.753e-01	6.534e-01
Contig100776_1805	18	2.976e-01	-4.561e-01	7.717e-01	5.545e-01	6.129e-01	2.803e-01	3.913e+00	8.075e+00	3.527e+00	1.013e+00
Contig100776_1862	18	3.134e-01	7.272e-02	5.696e-01	8.984e-01	5.165e-01	2.562e-01	2.071e+00	4.494e+00	1.676e+00	8.350e-01
Contig100776_1873	18	2.256e-01	-5.961e-02	6.472e-01	9.266e-01	8.478e-01	1.554e-01	5.867e+00	1.037e+01	2.153e+00	9.290e-01
Contig100776_1884	18	2.574e-01	4.785e-01	1.214e+00	6.934e-01	4.372e-01	1.669e-01	8.440e+00	6.832e+00	1.068e+00	1.334e+00
Contig100776_1915	18	3.053e-01	-3.324e-01	6.603e-01	6.146e-01	7.018e-01	2.121e-01	2.440e+00	4.266e+00	3.277e+00	9.499e-01
Contig100807_3533	18	3.395e-01	1.319e-01	4.912e-01	7.882e-01	7.811e-01	2.300e-01	2.450e+00	5.656e+00	2.334e+00	7.580e-01
Contig100807_3551	18	3.130e-01	3.530e-02	6.599e-01	9.573e-01	7.864e-01	1.986e-01	4.855e+00	1.114e+01	-9.650e-01	8.797e-01
Contig100831_4297	18	2.077e-01	2.391e-01	9.408e-01	7.994e-01	7.552e-01	1.509e-01	6.631e+00	9.809e+00	1.371e+00	1.089e+00
Contig100831_4306	18	3.406e-01	-2.191e-01	4.281e-01	6.087e-01	6.257e-01	2.693e-01	1.799e+00	3.654e+00	1.614e+00	6.504e-01
Contig100964_9123	18	3.693e-01	-9.652e-04	5.962e-01	9.987e-01	7.117e-01	2.607e-01	2.816e+00	8.661e+00	2.743e+00	8.564e-01
Contig100964_9127	18	2.633e-01	6.929e-01	7.740e-01	3.707e-01	7.551e-01	2.192e-01	7.501e+00	1.405e+01	2.108e+00	1.108e+00
Contig100964_9135	18	2.629e-01	-3.581e-01	7.361e-01	6.266e-01	7.977e-01	2.331e-01	8.869e+00	1.702e+01	3.011e+00	1.094e+00
Contig100988_3321	18	3.115e-01	-1.484e-01	6.426e-01	8.174e-01	7.568e-01	2.300e-01	3.286e+00	6.037e+00	3.244e+00	8.714e-01
Contig100988_3333	18	3.350e-01	-5.290e-02	6.010e-01	9.299e-01	4.448e-01	2.438e-01	1.866e+00	4.575e+00	2.594e+00	8.481e-01
Contig100994_3428	18	1.909e-01	-2.178e+00	1.584e+00	1.693e-01	5.612e-01	1.623e-01	1.348e+01	1.171e+01	1.841e+00	1.457e+00
Contig100994_4237	18	3.047e-01	4.739e-01	7.354e-01	5.193e-01	7.101e-01	2.633e-01	4.127e+00	7.948e+00	3.191e+00	1.080e+00
Contig101063_223	18	2.956e-01	-8.644e-01	8.171e-01	2.901e-01	7.095e-01	2.708e-01	5.565e+00	1.125e+01	4.132e+00	1.112e+00
Contig101063_229	18	2.974e-01	-1.345e-01	8.439e-01	8.734e-01	6.067e-01	2.565e-01	2.380e+00	3.967e+00	3.704e+00	1.073e+00
Contig101063_333	18	2.356e-01	4.130e-01	1.454e+00	7.764e-01	7.419e-01	2.640e-01	1.870e+01	2.364e+01	4.977e+00	1.606e+00
Contig101118_899	18	2.790e-01	-1.344e-02	9.983e-01	9.893e-01	4.486e-01	2.305e-01	5.051e+00	8.105e+00	2.760e+00	1.191e+00
Contig101118_908	18	2.758e-01	1.751e+00	1.557e+00	2.607e-01	4.041e-01	1.722e-01	1.081e+01	7.428e+00	2.005e+00	1.554e+00
Contig101130_953	18	3.511e-01	-4.121e-01	7.740e-01	5.944e-01	6.497e-01	2.559e-01	3.111e+00	6.193e+00	3.276e+00	1.033e+00
Contig101153_3210	18	3.668e-01	-8.529e-02	6.572e-01	8.967e-01	5.948e-01	2.877e-01	2.037e+00	4.354e+00	3.060e+00	9.136e-01
Contig101153_3212	18	2.084e-01	2.113e+00	1.637e+00	1.969e-01	7.932e-01	1.883e-01	2.080e+01	2.209e+01	2.402e+00	1.557e+00
Contig101153_3220	18	2.818e-01	-5.880e-01	1.144e+00	6.073e-01	6.447e-01	2.467e-01	5.608e+00	8.032e+00	4.196e+00	1.291e+00
Contig101153_3227	18	2.539e-01	1.260e+00	1.478e+00	3.938e-01	5.472e-01	2.567e-01	1.507e+01	1.948e+01	3.030e+00	1.558e+00
Contig10117_4187	18	3.173e-01	3.039e-01	8.578e-01	7.231e-01	7.544e-01	2.344e-01	5.757e+00	1.080e+01	2.764e+00	1.145e+00
Contig10117_4221	18	2.871e-01	-1.068e+00	9.413e-01	2.567e-01	6.991e-01	2.683e-01	7.863e+00	1.412e+01	3.709e+00	1.240e+00
Contig10117_4231	18	2.622e-01	-3.525e+00	1.717e+00	4.000e-02	7.751e-01	2.259e-01	1.148e+01	1.657e+01	6.080e+00	1.492e+00
Contig10117_4282	18	2.781e-01	7.819e-02	9.588e-01	9.350e-01	6.702e-01	2.592e-01	7.762e+00	1.262e+01	2.969e+00	1.217e+00
Contig101233_1885	18	3.043e-01	5.389e-01	6.868e-01	4.327e-01	4.130e-01	1.884e-01	2.534e+00	2.587e+00	1.147e+00	8.911e-01
Contig101233_1890	18	2.030e-01	-2.919e+00	2.036e+00	1.518e-01	8.608e-01	7.672e-02	2.426e+01	2.060e+01	3.681e+00	1.624e+00
Contig10126_657	18	2.967e-01	-5.454e-01	1.031e+00	5.968e-01	6.909e-01	2.746e-01	9.330e+00	1.614e+01	4.423e+00	1.290e+00
Contig1013_18364	18	3.115e-01	9.881e-02	9.596e-01	9.180e-01	3.717e-01	1.827e-01	4.747e+00	3.632e+00	1.834e+00	1.150e+00
Contig1013_18434	18	3.155e-01	-7.185e-03	8.747e-01	9.934e-01	7.450e-01	2.276e-01	5.511e+00	1.003e+01	2.701e+00	1.144e+00
Contig1013_18662	18	3.429e-01	-4.120e-01	7.280e-01	5.714e-01	4.872e-01	2.794e-01	2.853e+00	6.710e+00	3.026e+00	9.816e-01
Contig1013_18683	18	3.057e-01	-8.792e-01	9.696e-01	3.646e-01	5.917e-01	2.536e-01	6.389e+00	1.285e+01	4.201e+00	1.281e+00
Contig1013_18778	18	3.598e-01	4.898e-02	5.392e-01	9.276e-01	6.635e-01	2.617e-01	2.444e+00	6.435e+00	1.993e+00	7.741e-01
Contig1013_18799	18	2.583e-01	6.082e-01	9.580e-01	5.255e-01	4.899e-01	2.111e-01	5.283e+00	7.142e+00	1.653e+00	1.138e+00
Contig1013_21395	18	3.104e-01	-8.026e-02	7.904e-01	9.191e-01	7.144e-01	2.673e-01	4.787e+00	1.043e+01	3.423e+00	9.524e-01
Contig101333_4473	18	1.986e-01	6.923e-01	1.320e+00	5.998e-01	7.180e-01	1.786e-01	1.465e+01	1.638e+01	3.252e+00	1.439e+00
Contig101333_4477	18	3.584e-01	1.976e-01	5.075e-01	6.971e-01	7.222e-01	2.389e-01	1.993e+00	3.976e+00	1.324e+00	7.398e-01
Contig101333_4493	18	3.087e-01	-8.002e-01	6.819e-01	2.406e-01	7.833e-01	2.137e-01	4.380e+00	7.277e+00	3.117e+00	9.886e-01
Contig101346_3151	18	2.984e-01	-4.713e-01	1.272e+00	7.110e-01	3.481e-01	1.721e-01	7.465e+00	5.484e+00	3.188e+00	1.365e+00
Contig101346_3160	18	2.427e-01	-1.477e-01	9.841e-01	8.807e-01	4.893e-01	1.964e-01	5.462e+00	4.611e+00	2.657e+00	1.173e+00
Contig101346_3164	18	2.121e-01	-1.701e+00	8.599e-01	4.796e-02	8.596e-01	1.930e-01	1.826e+01	2.442e+01	4.343e+00	1.185e+00
Contig101375_2970	18	3.483e-01	1.633e-01	5.796e-01	7.782e-01	7.192e-01	2.449e-01	2.348e+00	4.376e+00	2.231e+00	7.917e-01
Contig10144_6300	18	2.913e-01	1.535e-01	6.257e-01	8.062e-01	7.941e-01	2.287e-01	5.225e+00	9.790e+00	1.380e+00	9.324e-01
Contig10144_6346	18	3.733e-01	-2.638e-01	5.339e-01	6.213e-01	7.242e-01	2.584e-01	2.830e+00	7.320e+00	2.336e+00	7.952e-01
Contig101541_7178	18	3.147e-01	-2.808e-01	5.419e-01	6.044e-01	6.335e-01	2.781e-01	2.308e+00	3.815e+00	2.895e+00	7.992e-01
Contig101603_2650	18	3.130e-01	-9.608e-02	8.164e-01	9.063e-01	7.018e-01	2.423e-01	4.659e+00	8.015e+00	2.793e+00	1.101e+00
Contig101620_2598	18	2.961e-01	6.598e-01	1.510e+00	6.621e-01	3.990e-01	1.947e-01	1.207e+01	1.027e+01	1.365e+00	1.486e+00
Contig101620_2633	18	2.981e-01	-1.176e+00	7.543e-01	1.189e-01	6.403e-01	2.529e-01	3.267e+00	6.342e+00	3.433e+00	9.913e-01
Contig101620_2641	18	2.261e-01	-2.551e-01	7.310e-01	7.272e-01	8.901e-01	1.557e-01	1.047e+01	1.610e+01	2.244e+00	1.058e+00
Contig101620_2676	18	2.453e-01	3.731e-01	7.842e-01	6.343e-01	7.977e-01	2.022e-01	8.807e+00	1.389e+01	1.594e+00	1.045e+00
Contig101620_2684	18	2.933e-01	5.146e-04	6.581e-01	9.994e-01	8.380e-01	2.085e-01	5.195e+00	9.204e+00	1.751e+00	8.991e-01
Contig101656_1466	18	3.399e-01	-1.814e+00	1.412e+00	1.987e-01	3.149e-01	1.745e-01	7.357e+00	7.189e+00	5.428e+00	1.362e+00
Contig101656_1498	18	3.279e-01	-5.102e-01	6.588e-01	4.386e-01	6.021e-01	2.928e-01	5.042e+00	1.105e+01	4.130e+00	9.633e-01
Contig101656_1506	18	2.455e-01	-2.141e+00	1.746e+00	2.202e-01	7.532e-01	2.321e-01	1.066e+01	1.400e+01	4.952e+00	1.533e+00
Contig101656_1511	18	3.278e-01	1.741e+00	1.531e+00	2.557e-01	3.082e-01	1.644e-01	7.665e+00	6.968e+00	3.368e+00	1.407e+00
Contig101661_866	18	2.252e-01	-8.142e-01	1.161e+00	4.830e-01	8.786e-01	1.695e-01	2.328e+01	2.682e+01	4.177e+00	1.506e+00
Contig101661_1219	18	3.028e-01	-2.970e-01	9.308e-01	7.496e-01	4.411e-01	2.644e-01	3.121e+00	3.797e+00	-4.853e+00	1.130e+00
Contig101661_1289	18	3.373e-01	-1.311e-01	6.231e-01	8.333e-01	5.484e-01	2.930e-01	1.643e+00	2.670e+00	3.010e+00	8.980e-01
Contig101661_1348	18	3.195e-01	-8.456e-01	1.352e+00	5.315e-01	3.089e-01	1.721e-01	8.229e+00	6.942e+00	4.564e+00	1.494e+00
Contig101661_1352	18	3.241e-01	3.573e-02	1.624e+00	9.824e-01	3.046e-01	1.649e-01	8.800e+00	6.046e+00	4.353e+00	1.440e+00
Contig101661_1355	18	2.318e-01	6.175e-01	1.091e+00	5.715e-01	6.560e-01	2.605e-01	9.253e+00	1.271e+01	2.808e+00	1.292e+00
Contig101661_2958	18	2.365e-01	6.917e-01	1.900e+00	7.158e-01	7.101e-01	2.586e-01	2.149e+01	2.404e+01	4.550e+00	1.500e+00
Contig101661_2968	18	2.527e-01	-1.249e+00	2.024e+00	5.370e-01	4.241e-01	2.007e-01	1.822e+01	1.411e+01	4.897e+00	1.734e+00
Contig101661_3021	18	2.384e-01	2.105e+00	1.203e+00	8.012e-02	5.959e-01	2.619e-01	1.151e+01	1.803e+01	2.680e+00	1.322e+00
Contig101661_3025	18	2.069e-01	2.033e+00	1.742e+00	2.432e-01	5.336e-01	1.709e-01	1.146e+01	8.535e+00	2.257e+00	1.497e+00
Contig101661_3046	18	2.172e-01	-6.060e-01	1.346e+00	6.526e-01	5.896e-01	2.140e-01	1.350e+01	1.646e+01	4.091e+00	1.442e+00
Contig101661_3076	18	3.371e-01	1.651e-01	6.985e-01	8.131e-01	7.390e-01	2.237e-01	1.997e+00	3.368e+00	3.347e+00	9.814e-01
Contig101661_3079	18	2.473e-01	-6.663e-01	1.135e+00	5.573e-01	4.833e-01	2.147e-01	8.414e+00	1.247e+01	4.863e+00	1.392e+00
Contig101661_3081	18	2.675e-01	5.274e-02	8.149e-01	9.484e-01	4.831e-01	2.257e-01	3.048e+00	2.977e+00	3.256e+00	1.055e+00
Contig101661_3091	18	2.951e-01	6.353e-01	7.898e-01	4.211e-01	7.433e-01	2.493e-01	5.213e+00	1.374e+01	2.938e+00	1.085e+00
Contig101661_3096	18	2.507e-01	-3.918e-01	9.954e-01	6.939e-01	8.284e-01	1.814e-01	1.175e+01	1.700e+01	4.426e+00	1.251e+00
Contig101661_3111	18	3.085e-01	-1.767e-01	1.149e+00	8.778e-01	3.686e-01	1.931e-01	3.433e+00	2.923e+00	4.510e+00	1.345e+00
Contig101661_3121	18	2.465e-01	9.229e-02	9.620e-01	9.236e-01	6.131e-01	2.818e-01	6.748e+00	1.067e+01	4.150e+00	1.287e+00
Contig101661_3148	18	3.214e-01	6.275e-01	5.642e-01	2.661e-01	5.162e-01	2.748e-01	1.601e+00	2.476e+00	2.551e+00	8.286e-01
Contig101661_3158	18	3.166e-01	5.364e-01	5.761e-01	3.518e-01	7.445e-01	2.301e-01	2.486e+00	7.429e+00	2.821e+00	7.981e-01
Contig101661_3169	18	1.804e-01	1.584e+00	1.552e+00	3.076e-01	8.185e-01	9.729e-02	2.766e+01	2.356e+01	2.971e+00	1.635e+00
Contig101661_3179	18	2.079e-01	-6.291e-01	9.251e-01	4.965e-01	5.308e-01	1.767e-01	5.872e+00	6.369e+00	3.383e+00	1.136e+00
Contig101661_3219	18	2.171e-01	1.891e+00	1.670e+00	2.573e-01	7.673e-01	2.283e-01	2.735e+01	2.893e+01	2.250e+00	1.584e+00
Contig101661_3225	18	1.936e-01	1.518e-01	1.075e+00	8.877e-01	9.128e-01	1.094e-01	1.756e+01	1.943e+01	4.385e+00	1.308e+00
Contig101661_3258	18	2.314e-01	-3.138e-01	1.071e+00	7.695e-01	7.212e-01	2.121e-01	8.380e+00	1.227e+01	3.495e+00	1.333e+00
Contig101661_3264	18	2.672e-01	6.731e-01	1.198e+00	5.741e-01	5.138e-01	2.645e-01	9.311e+00	1.405e+01	3.135e+00	1.380e+00
Contig101661_3275	18	3.166e-01	-1.432e+00	6.875e-01	3.731e-02	6.770e-01	2.902e-01	2.900e+00	5.318e+00	5.539e+00	1.012e+00
Contig101661_3284	18	2.294e-01	7.207e-02	1.408e+00	9.592e-01	8.145e-01	2.235e-01	1.620e+01	2.023e+01	3.870e+00	1.465e+00
Contig101661_3307	18	2.679e-01	-8.267e-01	9.853e-01	4.014e-01	7.696e-01	2.358e-01	9.017e+00	1.448e+01	4.365e+00	1.254e+00
Contig101724_3441	18	3.394e-01	3.031e-01	7.794e-01	6.974e-01	7.646e-01	2.269e-01	4.217e+00	1.044e+01	2.501e+00	9.573e-01
Contig101724_3507	18	2.823e-01	-2.224e-01	1.506e+00	8.826e-01	5.246e-01	2.824e-01	6.516e+00	8.983e+00	4.582e+00	1.518e+00
Contig101724_3702	18	1.904e-01	-2.600e-01	1.611e+00	8.718e-01	7.786e-01	1.292e-01	1.969e+01	1.837e+01	3.431e+00	1.533e+00
Contig101733_1578	18	2.304e-01	3.225e-02	7.778e-01	9.669e-01	7.120e-01	2.238e-01	6.380e+00	8.773e+00	1.822e+00	1.068e+00
Contig101733_1586	18	2.654e-01	-3.035e-01	1.090e+00	7.807e-01	6.103e-01	2.637e-01	8.281e+00	1.103e+01	3.396e+00	1.315e+00
Contig101733_1590	18	2.913e-01	8.612e-01	1.343e+00	5.212e-01	3.827e-01	2.034e-01	9.895e+00	9.483e+00	3.528e+00	1.394e+00
Contig101733_1596	18	3.415e-01	2.654e-01	6.223e-01	6.697e-01	7.479e-01	2.404e-01	4.150e+00	9.572e+00	2.368e+00	8.930e-01
Contig101734_2605	18	2.345e-01	4.544e-01	1.011e+00	6.530e-01	7.542e-01	2.501e-01	1.334e+01	1.902e+01	3.737e+00	1.271e+00
Contig101734_2608	18	3.074e-01	4.970e-01	7.446e-01	5.045e-01	6.632e-01	2.800e-01	4.783e+00	9.688e+00	2.949e+00	1.079e+00
Contig101756_6914	18	2.383e-01	1.365e-01	1.041e+00	8.957e-01	7.924e-01	1.785e-01	1.404e+01	2.329e+01	3.306e+00	1.461e+00
Contig101756_6926	18	2.407e-01	-1.432e+00	1.374e+00	2.972e-01	5.207e-01	2.378e-01	1.093e+01	1.490e+01	5.209e+00	1.519e+00
Contig101756_7016	18	3.459e-01	-5.795e-02	1.229e+00	9.624e-01	2.855e-01	1.654e-01	6.543e+00	5.547e+00	4.369e+00	1.498e+00
