contig_gene,start_gene_2kb,end_gene_2kb,notes_gene,pval.treatment,adj.pval.pop,ID,Parent,Name,Alias,AED,eAED,Note,Ontology_term,Dbxref
Contig112833,1,6669,"ID=OLUR_00025551;Name=OLUR_00025551;Alias=maker-Contig112833-snap-gene-0.2;Note=Similar to Gls2: Glutaminase liver isoform%2C mitochondrial (Mus musculus OX%3D10090);Dbxref=CDD:cd00204,Gene3D:G3DSA:1.25.40.20,Gene3D:G3DSA:3.40.710.10,InterPro:IPR002110,InterPro:IPR012338,InterPro:IPR015868,InterPro:IPR020683,InterPro:IPR036770,Pfam:PF04960,Pfam:PF12796,ProSiteProfiles:PS50088,ProSiteProfiles:PS50297,SMART:SM00248,SUPERFAMILY:SSF48403,SUPERFAMILY:SSF56601;Ontology_term=GO:0004359,GO:0005515,GO:0006541;",0.0017129378435539414,0.01226434881988754,ID=OLUR_00025551;,NA,Name=OLUR_00025551;,Alias=maker-Contig112833-snap-gene-0.2;,NA,NA,Note=Similar to Gls2: Glutaminase liver isoform%2C mitochondrial (Mus musculus OX%3D10090);,"Ontology_term=GO:0004359,GO:0005515,GO:0006541;","Dbxref=CDD:cd00204,Gene3D:G3DSA:1.25.40.20,Gene3D:G3DSA:3.40.710.10,InterPro:IPR002110,InterPro:IPR012338,InterPro:IPR015868,InterPro:IPR020683,InterPro:IPR036770,Pfam:PF04960,Pfam:PF12796,ProSiteProfiles:PS50088,ProSiteProfiles:PS50297,SMART:SM00248,SUPERFAMILY:SSF48403,SUPERFAMILY:SSF56601;"
Contig113403,1,5182,"ID=OLUR_00027566;Name=OLUR_00027566;Alias=snap_masked-Contig113403-processed-gene-0.1;Note=Protein of unknown function;Dbxref=Gene3D:G3DSA:1.10.10.60,InterPro:IPR004875,InterPro:IPR007889,InterPro:IPR009057,Pfam:PF03184,Pfam:PF05225,SUPERFAMILY:SSF46689;Ontology_term=GO:0003676,GO:0003677;",0.005093857689184869,0.028703677094253335,ID=OLUR_00027566;,NA,Name=OLUR_00027566;,Alias=snap_masked-Contig113403-processed-gene-0.1;,NA,NA,Note=Protein of unknown function;,"Ontology_term=GO:0003676,GO:0003677;","Dbxref=Gene3D:G3DSA:1.10.10.60,InterPro:IPR004875,InterPro:IPR007889,InterPro:IPR009057,Pfam:PF03184,Pfam:PF05225,SUPERFAMILY:SSF46689;"
Contig1181,1,5712,"ID=OLUR_00011066;Name=OLUR_00011066;Alias=maker-Contig1181-snap-gene-0.3;Note=Similar to jing: Zinc finger protein jing (Drosophila melanogaster OX%3D7227);Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,ProSitePatterns:PS00028,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;",1.6629034778829222e-7,3.871690949307905e-6,ID=OLUR_00011066;,NA,Name=OLUR_00011066;,Alias=maker-Contig1181-snap-gene-0.3;,NA,NA,Note=Similar to jing: Zinc finger protein jing (Drosophila melanogaster OX%3D7227);,Ontology_term=GO:0003676;,"Dbxref=Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,ProSitePatterns:PS00028,SMART:SM00355,SUPERFAMILY:SSF57667;"
Contig1245,741,11854,ID=OLUR_00012091;Name=OLUR_00012091;Alias=maker-Contig1245-snap-gene-0.3;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,5.130881437827499e-5,6.279253279428217e-4,ID=OLUR_00012091;,NA,Name=OLUR_00012091;,Alias=maker-Contig1245-snap-gene-0.3;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig125117,1,5623,"ID=OLUR_00017230;Name=OLUR_00017230;Alias=maker-Contig125117-snap-gene-0.1;Note=Similar to CDK11B: Cyclin-dependent kinase 11B (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:1.10.510.10,InterPro:IPR000719,InterPro:IPR011009,MobiDBLite:mobidb-lite,Pfam:PF00069,ProSiteProfiles:PS50011,SMART:SM00220,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0005524,GO:0006468;",0.0038150703189977877,0.023119669391381516,ID=OLUR_00017230;,NA,Name=OLUR_00017230;,Alias=maker-Contig125117-snap-gene-0.1;,NA,NA,Note=Similar to CDK11B: Cyclin-dependent kinase 11B (Homo sapiens OX%3D9606);,"Ontology_term=GO:0004672,GO:0005524,GO:0006468;","Dbxref=Gene3D:G3DSA:1.10.510.10,InterPro:IPR000719,InterPro:IPR011009,MobiDBLite:mobidb-lite,Pfam:PF00069,ProSiteProfiles:PS50011,SMART:SM00220,SUPERFAMILY:SSF56112;"
Contig1270,696,10428,"ID=OLUR_00020554;Name=OLUR_00020554;Alias=maker-Contig1270-snap-gene-0.1;Note=Similar to Kdm1a: Lysine-specific histone demethylase 1A (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:3.50.50.60,Gene3D:G3DSA:3.90.660.10,InterPro:IPR002937,InterPro:IPR036188,Pfam:PF01593,SUPERFAMILY:SSF51905,SUPERFAMILY:SSF54373;Ontology_term=GO:0016491,GO:0055114;",1.021920665430669e-7,2.725940852808626e-6,ID=OLUR_00020554;,NA,Name=OLUR_00020554;,Alias=maker-Contig1270-snap-gene-0.1;,NA,NA,Note=Similar to Kdm1a: Lysine-specific histone demethylase 1A (Mus musculus OX%3D10090);,"Ontology_term=GO:0016491,GO:0055114;","Dbxref=Gene3D:G3DSA:3.50.50.60,Gene3D:G3DSA:3.90.660.10,InterPro:IPR002937,InterPro:IPR036188,Pfam:PF01593,SUPERFAMILY:SSF51905,SUPERFAMILY:SSF54373;"
Contig128973,10427,14821,"ID=OLUR_00015681;Name=OLUR_00015681;Alias=maker-Contig128973-snap-gene-0.2;Note=Protein of unknown function;Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;",4.761846322911838e-13,3.6956238602384504e-11,ID=OLUR_00015681;,NA,Name=OLUR_00015681;,Alias=maker-Contig128973-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=Coils:Coil,MobiDBLite:mobidb-lite;"
Contig1297,42614,57313,"ID=OLUR_00000647;Name=OLUR_00000647;Alias=maker-Contig1297-snap-gene-0.11;Note=Similar to adat1: tRNA-specific adenosine deaminase 1 (Xenopus tropicalis OX%3D8364);Dbxref=InterPro:IPR002466,MobiDBLite:mobidb-lite,Pfam:PF02137,ProSiteProfiles:PS50141,SMART:SM00552;Ontology_term=GO:0003723,GO:0004000,GO:0006396;",3.779940575192468e-11,1.6852458465142967e-9,ID=OLUR_00000647;,NA,Name=OLUR_00000647;,Alias=maker-Contig1297-snap-gene-0.11;,NA,NA,Note=Similar to adat1: tRNA-specific adenosine deaminase 1 (Xenopus tropicalis OX%3D8364);,"Ontology_term=GO:0003723,GO:0004000,GO:0006396;","Dbxref=InterPro:IPR002466,MobiDBLite:mobidb-lite,Pfam:PF02137,ProSiteProfiles:PS50141,SMART:SM00552;"
Contig1297,43241,67699,"ID=OLUR_00000648;Name=OLUR_00000648;Alias=maker-Contig1297-snap-gene-0.12;Note=Similar to FHOD3: FH1/FH2 domain-containing protein 3 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,Gene3D:G3DSA:1.20.58.2220,InterPro:IPR015425,MobiDBLite:mobidb-lite,Pfam:PF02181,ProSiteProfiles:PS51444,SMART:SM00498,SUPERFAMILY:SSF101447;",5.091113085734326e-9,1.6525525246792368e-7,ID=OLUR_00000648;,NA,Name=OLUR_00000648;,Alias=maker-Contig1297-snap-gene-0.12;,NA,NA,Note=Similar to FHOD3: FH1/FH2 domain-containing protein 3 (Homo sapiens OX%3D9606);,NA,"Dbxref=Coils:Coil,Gene3D:G3DSA:1.20.58.2220,InterPro:IPR015425,MobiDBLite:mobidb-lite,Pfam:PF02181,ProSiteProfiles:PS51444,SMART:SM00498,SUPERFAMILY:SSF101447;"
Contig132,32181,65469,"ID=OLUR_00000728;Name=OLUR_00000728;Alias=maker-Contig132-snap-gene-0.13;Note=Similar to TDRD12: Putative ATP-dependent RNA helicase TDRD12 (Homo sapiens OX%3D9606);Dbxref=CDD:cd04508,Gene3D:G3DSA:2.30.30.140,Gene3D:G3DSA:2.40.50.90,Gene3D:G3DSA:3.40.50.300,InterPro:IPR000571,InterPro:IPR002999,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417,InterPro:IPR035437,Pfam:PF00270,Pfam:PF00567,ProSiteProfiles:PS50103,ProSiteProfiles:PS50304,ProSiteProfiles:PS51192,SMART:SM00333,SMART:SM00487,SUPERFAMILY:SSF52540,SUPERFAMILY:SSF63748;Ontology_term=GO:0003676,GO:0005524,GO:0046872;",0.005985568760384731,0.0325401675560956,ID=OLUR_00000728;,NA,Name=OLUR_00000728;,Alias=maker-Contig132-snap-gene-0.13;,NA,NA,Note=Similar to TDRD12: Putative ATP-dependent RNA helicase TDRD12 (Homo sapiens OX%3D9606);,"Ontology_term=GO:0003676,GO:0005524,GO:0046872;","Dbxref=CDD:cd04508,Gene3D:G3DSA:2.30.30.140,Gene3D:G3DSA:2.40.50.90,Gene3D:G3DSA:3.40.50.300,InterPro:IPR000571,InterPro:IPR002999,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR027417,InterPro:IPR035437,Pfam:PF00270,Pfam:PF00567,ProSiteProfiles:PS50103,ProSiteProfiles:PS50304,ProSiteProfiles:PS51192,SMART:SM00333,SMART:SM00487,SUPERFAMILY:SSF52540,SUPERFAMILY:SSF63748;"
Contig133793,1,1325,"ID=OLUR_00031974;Name=OLUR_00031974;Alias=maker-Contig133793-snap-gene-0.1;Note=Similar to Lar: Tyrosine-protein phosphatase Lar (Drosophila melanogaster OX%3D7227);Dbxref=CDD:cd00063,Gene3D:G3DSA:2.60.40.10,InterPro:IPR003961,InterPro:IPR013783,InterPro:IPR036116,PRINTS:PR00014,Pfam:PF00041,ProSiteProfiles:PS50853,SUPERFAMILY:SSF49265;Ontology_term=GO:0005515;",2.173033547635434e-4,0.0023351133717867036,ID=OLUR_00031974;,NA,Name=OLUR_00031974;,Alias=maker-Contig133793-snap-gene-0.1;,NA,NA,Note=Similar to Lar: Tyrosine-protein phosphatase Lar (Drosophila melanogaster OX%3D7227);,Ontology_term=GO:0005515;,"Dbxref=CDD:cd00063,Gene3D:G3DSA:2.60.40.10,InterPro:IPR003961,InterPro:IPR013783,InterPro:IPR036116,PRINTS:PR00014,Pfam:PF00041,ProSiteProfiles:PS50853,SUPERFAMILY:SSF49265;"
Contig1414,1,23508,"ID=OLUR_00003291;Name=OLUR_00003291;Alias=maker-Contig1414-snap-gene-0.2;Note=Similar to TMEM229B: Transmembrane protein 229B (Homo sapiens OX%3D9606);Dbxref=InterPro:IPR010540,Pfam:PF06541;",0.006824514863665393,0.03558931259501208,ID=OLUR_00003291;,NA,Name=OLUR_00003291;,Alias=maker-Contig1414-snap-gene-0.2;,NA,NA,Note=Similar to TMEM229B: Transmembrane protein 229B (Homo sapiens OX%3D9606);,NA,"Dbxref=InterPro:IPR010540,Pfam:PF06541;"
Contig1414,10936,39853,"ID=OLUR_00003292;Name=OLUR_00003292;Alias=snap_masked-Contig1414-processed-gene-0.1;Note=Protein of unknown function;Dbxref=Coils:Coil,InterPro:IPR012315,MobiDBLite:mobidb-lite,ProSiteProfiles:PS51049;Ontology_term=GO:0016021;",0.006824514863665393,0.03558931259501208,ID=OLUR_00003292;,NA,Name=OLUR_00003292;,Alias=snap_masked-Contig1414-processed-gene-0.1;,NA,NA,Note=Protein of unknown function;,Ontology_term=GO:0016021;,"Dbxref=Coils:Coil,InterPro:IPR012315,MobiDBLite:mobidb-lite,ProSiteProfiles:PS51049;"
Contig143,5740,25511,"ID=OLUR_00000828;Name=OLUR_00000828;Alias=maker-Contig143-snap-gene-0.3;Note=Similar to ZMYND12: Zinc finger MYND domain-containing protein 12 (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:1.25.40.10,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,Pfam:PF13181,ProSiteProfiles:PS50005,ProSiteProfiles:PS50293,SMART:SM00028,SUPERFAMILY:SSF48452;Ontology_term=GO:0005515;",1.4397766513042265e-24,3.0169719852162674e-21,ID=OLUR_00000828;,NA,Name=OLUR_00000828;,Alias=maker-Contig143-snap-gene-0.3;,NA,NA,Note=Similar to ZMYND12: Zinc finger MYND domain-containing protein 12 (Homo sapiens OX%3D9606);,Ontology_term=GO:0005515;,"Dbxref=Gene3D:G3DSA:1.25.40.10,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,Pfam:PF13181,ProSiteProfiles:PS50005,ProSiteProfiles:PS50293,SMART:SM00028,SUPERFAMILY:SSF48452;"
Contig144141,1,3639,"ID=OLUR_00029521;Name=OLUR_00029521;Alias=maker-Contig144141-snap-gene-0.1;Note=Protein of unknown function;Dbxref=CDD:cd00198,Gene3D:G3DSA:3.40.50.410,InterPro:IPR036465,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF53300;",3.349130200917839e-15,2.84510119185178e-13,ID=OLUR_00029521;,NA,Name=OLUR_00029521;,Alias=maker-Contig144141-snap-gene-0.1;,NA,NA,Note=Protein of unknown function;,NA,"Dbxref=CDD:cd00198,Gene3D:G3DSA:3.40.50.410,InterPro:IPR036465,MobiDBLite:mobidb-lite,SUPERFAMILY:SSF53300;"
Contig1460,1,26671,ID=OLUR_00007546;Name=OLUR_00007546;Alias=maker-Contig1460-snap-gene-0.2;Note=Protein of unknown function;Dbxref=MobiDBLite:mobidb-lite;,0.0051398439762073015,0.028703677094253335,ID=OLUR_00007546;,NA,Name=OLUR_00007546;,Alias=maker-Contig1460-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,Dbxref=MobiDBLite:mobidb-lite;
Contig152,4965,37832,"ID=OLUR_00002517;Name=OLUR_00002517;Alias=snap_masked-Contig152-processed-gene-0.3;Note=Similar to ahctf1: Protein ELYS (Xenopus laevis OX%3D8355);Dbxref=Coils:Coil,InterPro:IPR025151,InterPro:IPR032040,MobiDBLite:mobidb-lite,Pfam:PF13934,Pfam:PF16687;",2.3272948336837134e-7,5.378732018191318e-6,ID=OLUR_00002517;,NA,Name=OLUR_00002517;,Alias=snap_masked-Contig152-processed-gene-0.3;,NA,NA,Note=Similar to ahctf1: Protein ELYS (Xenopus laevis OX%3D8355);,NA,"Dbxref=Coils:Coil,InterPro:IPR025151,InterPro:IPR032040,MobiDBLite:mobidb-lite,Pfam:PF13934,Pfam:PF16687;"
Contig15291,2953,12048,ID=OLUR_00018404;Name=OLUR_00018404;Alias=maker-Contig15291-snap-gene-0.2;Note=Protein of unknown function;,1.7287512424782515e-22,1.917795275405726e-19,ID=OLUR_00018404;,NA,Name=OLUR_00018404;,Alias=maker-Contig15291-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,NA
Contig15291,1,11814,"ID=OLUR_00018403;Name=OLUR_00018403;Alias=snap_masked-Contig15291-processed-gene-0.1;Note=Similar to Plgrkt: Plasminogen receptor (KT) (Rattus norvegicus OX%3D10116);Dbxref=InterPro:IPR019319,MobiDBLite:mobidb-lite,Pfam:PF10166;",1.7287512424782515e-22,1.917795275405726e-19,ID=OLUR_00018403;,NA,Name=OLUR_00018403;,Alias=snap_masked-Contig15291-processed-gene-0.1;,NA,NA,Note=Similar to Plgrkt: Plasminogen receptor (KT) (Rattus norvegicus OX%3D10116);,NA,"Dbxref=InterPro:IPR019319,MobiDBLite:mobidb-lite,Pfam:PF10166;"
Contig15328,1845,11228,"ID=OLUR_00019615;Name=OLUR_00019615;Alias=maker-Contig15328-snap-gene-0.2;Note=Protein of unknown function;Dbxref=CDD:cd00201,Coils:Coil,Gene3D:G3DSA:2.20.70.10,InterPro:IPR001202,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50020;Ontology_term=GO:0005515;",6.083725630126096e-9,1.9347888981205404e-7,ID=OLUR_00019615;,NA,Name=OLUR_00019615;,Alias=maker-Contig15328-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,Ontology_term=GO:0005515;,"Dbxref=CDD:cd00201,Coils:Coil,Gene3D:G3DSA:2.20.70.10,InterPro:IPR001202,MobiDBLite:mobidb-lite,ProSiteProfiles:PS50020;"
Contig155764,1,1159,"ID=OLUR_00032109;Name=OLUR_00032109;Alias=snap_masked-Contig155764-processed-gene-0.0;Note=Similar to KLHL12: Kelch-like protein 12 (Bos taurus OX%3D9913);Dbxref=Gene3D:G3DSA:2.120.10.80,InterPro:IPR006652,InterPro:IPR015915,Pfam:PF01344,SMART:SM00612,SUPERFAMILY:SSF117281;Ontology_term=GO:0005515;",6.602341592731165e-8,1.7711743968323902e-6,ID=OLUR_00032109;,NA,Name=OLUR_00032109;,Alias=snap_masked-Contig155764-processed-gene-0.0;,NA,NA,Note=Similar to KLHL12: Kelch-like protein 12 (Bos taurus OX%3D9913);,Ontology_term=GO:0005515;,"Dbxref=Gene3D:G3DSA:2.120.10.80,InterPro:IPR006652,InterPro:IPR015915,Pfam:PF01344,SMART:SM00612,SUPERFAMILY:SSF117281;"
Contig15598,2992,15105,ID=OLUR_00004559;Name=OLUR_00004559;Alias=maker-Contig15598-snap-gene-0.2;Note=Protein of unknown function;,2.0104953289742423e-4,0.0021790765177658183,ID=OLUR_00004559;,NA,Name=OLUR_00004559;,Alias=maker-Contig15598-snap-gene-0.2;,NA,NA,Note=Protein of unknown function;,NA,NA
