UNIPROT_ACCESSION	Name	Species
Q498J9	metallo-beta-lactamase domain containing 1 S homeolog(mblac1.S)	Xenopus laevis
Q9JJK2	LanC (bacterial lantibiotic synthetase component C)-like 2(Lancl2)	Mus musculus
Q6ZUG5	KIAA1257(KIAA1257)	Homo sapiens
Q8WXE1	ATR interacting protein(ATRIP)	Homo sapiens
Q6AY53	deoxyhypusine synthase(Dhps)	Rattus norvegicus
A6QP84	solute carrier family 10 (sodium/bile acid cotransporter), member 6(SLC10A6)	Bos taurus
Q6INP9	breast cancer anti-estrogen resistance 3 L homeolog(bcar3.L)	Xenopus laevis
Q07230	zinc finger and SCAN domain containing 2(Zscan2)	Mus musculus
O43747	adaptor related protein complex 1 gamma 1 subunit(AP1G1)	Homo sapiens
Q4R628	kinesin family member 3A(KIF3A)	Macaca fascicularis
Q9EQW7	kinesin family member 13A(Kif13a)	Mus musculus
Q9EQ60	calcium voltage-gated channel subunit alpha1 H(Cacna1h)	Rattus norvegicus
Q9VJJ7	Transient receptor potential cation channel gamma(Trpgamma)	Drosophila melanogaster
Q9QX47	Son DNA binding protein(Son)	Mus musculus
Q1ECX4	tousled-like kinase 2(tlk2)	Danio rerio
Q9QXL2	kinesin family member 21A(Kif21a)	Mus musculus
Q8CHN6	sphingosine-1-phosphate lyase 1(Sgpl1)	Rattus norvegicus
Q5F201	cilia and flagella associated protein 52(Cfap52)	Mus musculus
P17139	Collagen alpha-1(IV) chain(emb-9)	Caenorhabditis elegans
Q9BXW6	oxysterol binding protein like 1A(OSBPL1A)	Homo sapiens
P56597	NME/NM23 family member 5(NME5)	Homo sapiens
Q96PK6	RNA binding motif protein 14(RBM14)	Homo sapiens
Q80UU2	ribonuclease P/MRP 38 subunit(Rpp38)	Mus musculus
Q8K2J9	BTB (POZ) domain containing 6(Btbd6)	Mus musculus
A2A791	zinc finger, MYM-type 4(Zmym4)	Mus musculus
Q3KPT0	coiled-coil domain containing 169 S homeolog(ccdc169.S)	Xenopus laevis
P11167	solute carrier family 2 member 1(Slc2a1)	Rattus norvegicus
Q5ZMP6	adaptor related protein complex 2 mu 1 subunit(AP2M1)	Gallus gallus
Q7L7X3	TAO kinase 1(TAOK1)	Homo sapiens
Q2TGI8	zinc finger, DHHC-type containing 22(Zdhhc22)	Rattus norvegicus
Q15750	TGF-beta activated kinase 1 (MAP3K7) binding protein 1(TAB1)	Homo sapiens
Q08DX0	sorting nexin 29(SNX29)	Bos taurus
O16277	Putative histone H1.6(hil-6)	Caenorhabditis elegans
P84060	dystrobrevin, beta(Dtnb)	Rattus norvegicus
Q8N6Q8	methyltransferase like 25(METTL25)	Homo sapiens
Q9HCG1	zinc finger protein 160(ZNF160)	Homo sapiens
Q99J08	SEC14-like lipid binding 2(Sec14l2)	Mus musculus
Q9P2D8	unc-79 homolog (C. elegans)(UNC79)	Homo sapiens
P16568	Bicaudal D(BicD)	Drosophila melanogaster
P06795	ATP-binding cassette, sub-family B (MDR/TAP), member 1B(Abcb1b)	Mus musculus
Q5RGJ5	CWF19-like 1, cell cycle control(cwf19l1)	Danio rerio
O01427	Aurora/IPL1-related protein kinase 2(air-2)	Caenorhabditis elegans
Q9XSU7	ribosomal protein L27(RPL27)	Canis lupus familiaris
Q7TSG1	centrosomal protein 120(Cep120)	Mus musculus
Q5M9G6	Smad nuclear interacting protein 1(Snip1)	Rattus norvegicus
Q9H0C1	zinc finger MYND-type containing 12(ZMYND12)	Homo sapiens
Q8N5R6	coiled-coil domain containing 33(CCDC33)	Homo sapiens
Q8CF82	ATP binding cassette subfamily A member 5(Abca5)	Rattus norvegicus
O15943	Cadherin-N(CadN)	Drosophila melanogaster
Q9GL21	uveal autoantigen with coiled-coil domains and ankyrin repeats(UACA)	Canis lupus familiaris
Q7K556	CG30118 gene product from transcript CG30118-RC(CG30118)	Drosophila melanogaster
Q6IVV8	polycystic kidney disease 2(pkd2)	Danio rerio
P22897	mannose receptor, C type 1(MRC1)	Homo sapiens
A5D7H2	striatin 3(STRN3)	Bos taurus
Q6ZMV9	kinesin family member 6(KIF6)	Homo sapiens
Q86XX4	Fraser extracellular matrix complex subunit 1(FRAS1)	Homo sapiens
P56941	NPC intracellular cholesterol transporter 1(NPC1)	Sus scrofa
P42337	phosphatidylinositol 3-kinase, catalytic, alpha polypeptide(Pik3ca)	Mus musculus
Q5VT25	CDC42 binding protein kinase alpha(CDC42BPA)	Homo sapiens
Q96L91	E1A binding protein p400(EP400)	Homo sapiens
P08059	glucose-6-phosphate isomerase(GPI)	Sus scrofa
P49356	farnesyltransferase, CAAX box, beta(FNTB)	Homo sapiens
Q5BLE8	retinol saturase (all-trans-retinol 13,14-reductase)(retsat)	Danio rerio
O75792	ribonuclease H2 subunit A(RNASEH2A)	Homo sapiens
Q8IYE0	coiled-coil domain containing 146(CCDC146)	Homo sapiens
Q32L77	chromosome 8 open reading frame, human C9orf135(C8H9orf135)	Bos taurus
Q6DD44	xenotropic and polytropic retrovirus receptor 1 L homeolog(xpr1.L)	Xenopus laevis
O97758	tight junction protein 1(TJP1)	Canis lupus familiaris
Q6NSM8	zgc:66101(zgc:66101)	Danio rerio
Q5VZK9	capping protein regulator and myosin 1 linker 1(CARMIL1)	Homo sapiens
A8WGS4	TLC domain containing 2(tlcd2)	Danio rerio
P80109	glycosylphosphatidylinositol specific phospholipase D1(GPLD1)	Bos taurus
Q9ULJ8	protein phosphatase 1 regulatory subunit 9A(PPP1R9A)	Homo sapiens
Q63690	BCL2 associated X, apoptosis regulator(Bax)	Rattus norvegicus
P42028	NADH:ubiquinone oxidoreductase core subunit S8(NDUFS8)	Bos taurus
Q4R8V4	solute carrier family 9 member A8(SLC9A8)	Macaca fascicularis
Q96L93	kinesin family member 16B(KIF16B)	Homo sapiens
Q9P0S9	transmembrane protein 14C(TMEM14C)	Homo sapiens
Q99M01	phenylalanine-tRNA synthetase 2 (mitochondrial)(Fars2)	Mus musculus
Q92870	amyloid beta precursor protein binding family B member 2(APBB2)	Homo sapiens
Q9C0C7	autophagy and beclin 1 regulator 1(AMBRA1)	Homo sapiens
Q6NVL5	elongator acetyltransferase complex subunit 3(elp3)	Xenopus tropicalis
Q9C0G0	zinc finger protein 407(ZNF407)	Homo sapiens
Q2V2M9	formin homology 2 domain containing 3(FHOD3)	Homo sapiens
Q9VAY7	CG12259 gene product from transcript CG12259-RA(CG12259)	Drosophila melanogaster
Q6NZQ2	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 31(Ddx31)	Mus musculus
Q9Y2L5	trafficking protein particle complex 8(TRAPPC8)	Homo sapiens
Q5RG45	centrosomal protein 135(cep135)	Danio rerio
E9Q309	centrosomal protein 350(Cep350)	Mus musculus
Q9VTH0	procollagen lysyl hydroxylase(Plod)	Drosophila melanogaster
Q6PGZ3	TNF receptor-associated factor 3 interacting protein 1(traf3ip1)	Danio rerio
Q15477	Ski2 like RNA helicase(SKIV2L)	Homo sapiens
O75204	transmembrane protein 127(TMEM127)	Homo sapiens
Q4L208	solute carrier family 9 member A8(Slc9a8)	Rattus norvegicus
Q75QN2	integrator complex subunit 8(INTS8)	Homo sapiens
O75400	pre-mRNA processing factor 40 homolog A(PRPF40A)	Homo sapiens
Q9UPV0	centrosomal protein 164(CEP164)	Homo sapiens
Q9HCE9	anoctamin 8(ANO8)	Homo sapiens
Q9DC29	ATP-binding cassette, sub-family B (MDR/TAP), member 6(Abcb6)	Mus musculus
Q3YEC7	RAB, member RAS oncogene family-like 6(RABL6)	Homo sapiens
P19137	laminin, alpha 1(Lama1)	Mus musculus
Q2TA14	prolylcarboxypeptidase(PRCP)	Bos taurus
P48067	solute carrier family 6 member 9(SLC6A9)	Homo sapiens
Q95YE2	hypothetical protein(C30F12.1)	Caenorhabditis elegans
O08742	glycoprotein 5 (platelet)(Gp5)	Mus musculus
Q5U249	AT-hook containing transcription factor 1 L homeolog(ahctf1.L)	Xenopus laevis
A8MU46	smoothelin like 1(SMTNL1)	Homo sapiens
Q9QXM1	junction-mediating and regulatory protein(Jmy)	Mus musculus
P13280	glycogenin 1(GYG1)	Oryctolagus cuniculus
Q5ZJ65	family with sequence similarity 76, member A(FAM76A)	Gallus gallus
Q8IVV2	lipoxygenase homology domains 1(LOXHD1)	Homo sapiens
O75431	metaxin 2(MTX2)	Homo sapiens
Q5RGJ8	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits(gnptab)	Danio rerio
Q62655	transcription factor 4(Tcf4)	Rattus norvegicus
Q8R507	fukutin(Fktn)	Mus musculus
Q9H9E1	ankyrin repeat family A member 2(ANKRA2)	Homo sapiens
Q6V7V2	rhotekin(Rtkn)	Rattus norvegicus
Q5R9F5	solute carrier family 38 member 7(SLC38A7)	Pongo abelii
Q9P209	centrosomal protein 72(CEP72)	Homo sapiens
Q96GD3	sex comb on midleg homolog 1 (Drosophila)(SCMH1)	Homo sapiens
Q9VH19	CG3953 gene product from transcript CG3953-RA(Invadolysin)	Drosophila melanogaster
O95263	phosphodiesterase 8B(PDE8B)	Homo sapiens
O13016	protein tyrosine phosphatase, non-receptor type 1(PTPN1)	Gallus gallus
Q28CV2	transmembrane protein 184C(tmem184c)	Xenopus tropicalis
A1A5R8	similar to KIAA1841 protein(RGD1305110)	Rattus norvegicus
P02350	ribosomal protein S3 L homeolog(rps3.L)	Xenopus laevis
Q9CPY0	mitochondrial rRNA methyltransferase 2(Mrm2)	Mus musculus
Q0MW30	neuralized E3 ubiquitin protein ligase 1B(Neurl1b)	Mus musculus
P29119	furin (paired basic amino acid cleaving enzyme) S homeolog(furin.S)	Xenopus laevis
Q9H2F5	enhancer of polycomb homolog 1(EPC1)	Homo sapiens
P16621	Leukocyte-antigen-related-like(Lar)	Drosophila melanogaster
O55201	suppressor of Ty 5(Supt5)	Mus musculus
Q2EMV9	poly (ADP-ribose) polymerase family, member 14(Parp14)	Mus musculus
Q922M3	potassium channel tetramerisation domain containing 10(Kctd10)	Mus musculus
Q14527	helicase like transcription factor(HLTF)	Homo sapiens
Q9VPQ2	CG4164 gene product from transcript CG4164-RA(CG4164)	Drosophila melanogaster
Q9Y2I6	ninein like(NINL)	Homo sapiens
Q9UPM9	B9 domain containing 1(B9D1)	Homo sapiens
O35127	gene rich cluster, C10 gene(Grcc10)	Mus musculus
Q5SSZ5	tensin 3(Tns3)	Mus musculus
Q924T7	ring finger protein 31(Rnf31)	Mus musculus
P79143	alanyl aminopeptidase, membrane(ANPEP)	Canis lupus familiaris
Q6P1E7	primase and polymerase (DNA-directed)(Primpol)	Mus musculus
Q6VNB8	WD repeat and FYVE domain containing 3(Wdfy3)	Mus musculus
B1ARD8	schlafen 8(Slfn8)	Mus musculus
Q7KRW1	TRC8 ortholog(Trc8)	Drosophila melanogaster
Q9BSF4	translocase of inner mitochondrial membrane 29(TIMM29)	Homo sapiens
Q9BTY2	fucosidase, alpha-L- 2, plasma(FUCA2)	Homo sapiens
Q13057	Coenzyme A synthase(COASY)	Homo sapiens
Q96KP1	exocyst complex component 2(EXOC2)	Homo sapiens
Q24292	dachsous(ds)	Drosophila melanogaster
Q9BQI3	eukaryotic translation initiation factor 2 alpha kinase 1(EIF2AK1)	Homo sapiens
A6QR56	aldehyde dehydrogenase 16 family member A1(ALDH16A1)	Bos taurus
Q9VGG5	Cadherin 87A(Cad87A)	Drosophila melanogaster
Q9H1H9	kinesin family member 13A(KIF13A)	Homo sapiens
P51147	RAB5C, member RAS oncogene family(RAB5C)	Canis lupus familiaris
Q20681	BTB and MATH domain-containing protein 38(bath-38)	Caenorhabditis elegans
Q6BP23	DEHA2E17138p(DEHA2E17138g)	Debaryomyces hansenii CBS767
Q9UEW3	macrophage receptor with collagenous structure(MARCO)	Homo sapiens
Q5R9R9	5'-aminolevulinate synthase 1(ALAS1)	Pongo abelii
Q13884	syntrophin beta 1(SNTB1)	Homo sapiens
Q4R8G4	POC5 centriolar protein(POC5)	Macaca fascicularis
Q9TTK4	lysosomal trafficking regulator(LYST)	Bos taurus
Q5JWR5	dopey family member 1(DOPEY1)	Homo sapiens
Q9U221	Uracil DNA N-Glycosylase(ung-1)	Caenorhabditis elegans
Q7Z3U7	MON2 homolog, regulator of endosome-to-Golgi trafficking(MON2)	Homo sapiens
Q2KIU0	vesicle transport through interaction with t-SNAREs 1B(VTI1B)	Bos taurus
Q8K4Y7	calcium activated nucleotidase 1(Cant1)	Rattus norvegicus
D3YWJ0	nuclear GTPase, germinal center associated(Nuggc)	Mus musculus
O75037	kinesin family member 21B(KIF21B)	Homo sapiens
P62997	transformer 2 beta homolog (Drosophila)(Tra2b)	Rattus norvegicus
Q6Q760	sodium leak channel, non-selective(Nalcn)	Rattus norvegicus
Q14686	nuclear receptor coactivator 6(NCOA6)	Homo sapiens
Q5XIR6	IQ motif containing D(Iqcd)	Rattus norvegicus
Q15326	zinc finger MYND-type containing 11(ZMYND11)	Homo sapiens
P59280	kelch-like 8(Klhl8)	Mus musculus
Q8CDU5	EF hand domain family, member B(Efhb)	Mus musculus
Q8R5M3	leucine rich repeat containing 15(Lrrc15)	Rattus norvegicus
Q9VIH7	skywalker(sky)	Drosophila melanogaster
P98158	LDL receptor related protein 2(Lrp2)	Rattus norvegicus
Q13535	ATR serine/threonine kinase(ATR)	Homo sapiens
Q12965	myosin IE(MYO1E)	Homo sapiens
Q6PDY2	2-aminoethanethiol (cysteamine) dioxygenase(Ado)	Mus musculus
Q5F339	holocytochrome c synthase(HCCS)	Gallus gallus
Q969R8	integrin alpha FG-GAP repeat containing 2(ITFG2)	Homo sapiens
Q6DGQ0	SPT4 homolog, DSIF elongation factor subunit(supt4h1)	Danio rerio
Q90610	neogenin 1(NEO1)	Gallus gallus
B2RTY4	myosin IXA(MYO9A)	Homo sapiens
Q7SZ73	F-box and leucine-rich repeat protein 15 L homeolog(fbxl15.L)	Xenopus laevis
A3KMZ6	COX11 cytochrome c oxidase assembly homolog (yeast)(COX11)	Bos taurus
Q8VBZ0	dehydrogenase/reductase (SDR family) X chromosome(Dhrsx)	Mus musculus
Q80TY5	vacuolar protein sorting 13B(Vps13b)	Mus musculus
Q5JU85	IQ motif and Sec7 domain 2(IQSEC2)	Homo sapiens
A4IHD2	RAD54-like 2(rad54l2)	Xenopus tropicalis
Q58EK5	tudor domain containing 1(tdrd1)	Danio rerio
B2GUN4	KIAA0430(kiaa0430)	Xenopus tropicalis
A4IFH5	glutamic--pyruvic transaminase(GPT)	Bos taurus
P07207	Notch(N)	Drosophila melanogaster
Q7TM95	tigger transposable element derived 3(Tigd3)	Mus musculus
A7Z019	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4(SMARCA4)	Bos taurus
A7YSY2	spermatogenesis associated 5 like 1(SPATA5L1)	Bos taurus
Q9VQ37	Rim2 ortholog (S. cerevisiae)(Rim2)	Drosophila melanogaster
Q5M7G4	adenylate kinase 8 L homeolog(ak8.L)	Xenopus laevis
O54967	tyrosine kinase, non-receptor, 2(Tnk2)	Mus musculus
Q8K4P0	WD repeat domain 33(Wdr33)	Mus musculus
Q9H4D0	calsyntenin 2(CLSTN2)	Homo sapiens
Q27433	Mechanosensory protein 2(mec-2)	Caenorhabditis elegans
Q28FE8	adenosine deaminase, tRNA-specific 1(adat1)	Xenopus tropicalis
P59511	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20(Adamts20)	Mus musculus
Q80X82	symplekin(Sympk)	Mus musculus
Q8IZD2	lysine methyltransferase 2E(KMT2E)	Homo sapiens
Q9HCS5	erythrocyte membrane protein band 4.1 like 4A(EPB41L4A)	Homo sapiens
P36993	protein phosphatase 1B, magnesium dependent, beta isoform(Ppm1b)	Mus musculus
O15164	tripartite motif containing 24(TRIM24)	Homo sapiens
Q17LW0	AAEL001220-PA(MYO7A_AEDAE)	Aedes aegypti
Q5SQS7	SH2 domain containing 4B(SH2D4B)	Homo sapiens
Q8N2E2	von Willebrand factor D and EGF domains(VWDE)	Homo sapiens
O14526	FCH domain only 1(FCHO1)	Homo sapiens
Q02338	3-hydroxybutyrate dehydrogenase, type 1(BDH1)	Homo sapiens
Q8VD52	pyridoxal phosphatase(Pdxp)	Rattus norvegicus
O94966	ubiquitin specific peptidase 19(USP19)	Homo sapiens
Q6TH15	eukaryotic translation initiation factor 3, subunit D(eif3d)	Danio rerio
Q9NPF5	DNA methyltransferase 1 associated protein 1(DMAP1)	Homo sapiens
Q3T0Q3	RNA polymerase II subunit C(POLR2C)	Bos taurus
C0H906	Nuclear cap-binding protein subunit 1-A(nbp1a)	Salmo salar
Q7T0Y4	dynein regulatory complex subunit 1 L homeolog(drc1.L)	Xenopus laevis
Q8N9C0	immunoglobulin superfamily member 22(IGSF22)	Homo sapiens
Q8NEV4	myosin IIIA(MYO3A)	Homo sapiens
Q00IB7	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1(plekhh1)	Danio rerio
G5EFD9	SUPpressor(sup-17)	Caenorhabditis elegans
Q92859	neogenin 1(NEO1)	Homo sapiens
Q5RII9	katanin p60 (ATPase containing) subunit A 1(katna1)	Danio rerio
Q8CHG3	GRIP and coiled-coil domain containing 2(Gcc2)	Mus musculus
Q2KN98	sperm antigen with calponin homology and coiled-coil domains 1-like(Specc1l)	Mus musculus
Q99KN1	arrestin domain containing 1(Arrdc1)	Mus musculus
Q9NU22	midasin AAA ATPase 1(MDN1)	Homo sapiens
P24140	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1(Dpagt1)	Cricetulus griseus
A8E657	aminoadipate-semialdehyde synthase(AASS)	Bos taurus
Q90ZE4	presenilin 2(psen2)	Danio rerio
Q7KZ85	SPT6 homolog, histone chaperone(SUPT6H)	Homo sapiens
P10070	GLI family zinc finger 2(GLI2)	Homo sapiens
Q3SZ21	ribonuclease P/MRP subunit p30(RPP30)	Bos taurus
Q7ZVE6	KDEL (Lys-Asp-Glu-Leu) containing 1(kdelc1)	Danio rerio
O60318	minichromosome maintenance complex component 3 associated protein(MCM3AP)	Homo sapiens
O42131	topoisomerase (DNA) II beta 180kDa(TOP2B)	Gallus gallus
Q9VQG2	anterior pharynx defective 1(aph-1)	Drosophila melanogaster
Q8BGI1	ring finger protein 24(Rnf24)	Mus musculus
Q9BY12	S-phase cyclin A associated protein in the ER(SCAPER)	Homo sapiens
Q56A24	kelch-like family member 24(Klhl24)	Rattus norvegicus
O42410	IKAROS family zinc finger 1 (Ikaros)(IKZF1)	Gallus gallus
Q9H0K1	salt inducible kinase 2(SIK2)	Homo sapiens
P19468	glutamate-cysteine ligase, catalytic subunit(Gclc)	Rattus norvegicus
O60346	PH domain and leucine rich repeat protein phosphatase 1(PHLPP1)	Homo sapiens
Q8K2Z4	non-SMC condensin I complex, subunit D2(Ncapd2)	Mus musculus
O43497	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	Homo sapiens
Q3V0C5	ubiquitin specific peptidase 48(Usp48)	Mus musculus
Q965M2	Leucine-rich repeats and immunoglobulin-like domains protein sma-10(sma-10)	Caenorhabditis elegans
Q05941	cholinergic receptor nicotinic alpha 7 subunit(Chrna7)	Rattus norvegicus
Q80ZA5	solute carrier family 4 member 10(Slc4a10)	Rattus norvegicus
A9CJC9	DNA photolyase(Atu1218)	Agrobacterium fabrum str. C58
Q15751	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(HERC1)	Homo sapiens
G4SLH0	Titin homolog(ttn-1)	Caenorhabditis elegans
Q5E9D6	haloacid dehalogenase like hydrolase domain containing 3(HDHD3)	Bos taurus
Q7KU24	Chromodomain-helicase-DNA-binding protein 1(Chd1)	Drosophila melanogaster
Q9Y2G1	myelin regulatory factor(MYRF)	Homo sapiens
O94889	kelch like family member 18(KLHL18)	Homo sapiens
Q6NS45	coiled-coil domain containing 66(Ccdc66)	Mus musculus
Q3UTY6	thrombospondin, type I, domain containing 4(Thsd4)	Mus musculus
Q0KK59	unc-79 homolog (C. elegans)(Unc79)	Mus musculus
E1BP74	KIAA0430 ortholog(KIAA0430)	Bos taurus
Q6PJ21	splA/ryanodine receptor domain and SOCS box containing 3(SPSB3)	Homo sapiens
O75175	CCR4-NOT transcription complex subunit 3(CNOT3)	Homo sapiens
A2BFP5	solute carrier family 12, member 9(slc12a9)	Danio rerio
Q9HAR2	adhesion G protein-coupled receptor L3(ADGRL3)	Homo sapiens
Q04721	notch 2(NOTCH2)	Homo sapiens
Q9V4A7	Plexin B(PlexB)	Drosophila melanogaster
Q2TBN1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1(SMARCD1)	Bos taurus
Q8C6C7	family with sequence similarity 204, member A(Fam204a)	Mus musculus
Q8BHT6	beta-3-glucosyltransferase(B3glct)	Mus musculus
Q8CD19	LanC lantibiotic synthetase component C-like 3 (bacterial)(Lancl3)	Mus musculus
Q8VCM5	mitochondrial ubiquitin ligase activator of NFKB 1(Mul1)	Mus musculus
C3XVT5	hypothetical protein(BRAFLDRAFT_59218)	Branchiostoma floridae
Q1RKN3	RecQ type DNA helicase Tlh1(tlh2)	Schizosaccharomyces pombe 972h-
Q96M86	dynein heavy chain domain 1(DNHD1)	Homo sapiens
Q6UWH6	testis expressed 261(TEX261)	Homo sapiens
Q9R1C6	diacylglycerol kinase, epsilon(Dgke)	Mus musculus
Q8TDJ6	Dmx like 2(DMXL2)	Homo sapiens
Q28BX9	C2 calcium-dependent domain containing 5(c2cd5)	Xenopus tropicalis
Q8R420	ATP-binding cassette, sub-family A (ABC1), member 3(Abca3)	Mus musculus
Q8K245	UV radiation resistance associated gene(Uvrag)	Mus musculus
O75165	DnaJ heat shock protein family (Hsp40) member C13(DNAJC13)	Homo sapiens
C8YR32	lipoxygenase homology domains 1(Loxhd1)	Mus musculus
Q6XP49	GLIS family zinc finger 3(Glis3)	Mus musculus
P49281	solute carrier family 11 member 2(SLC11A2)	Homo sapiens
Q91W90	thioredoxin domain containing 5(Txndc5)	Mus musculus
Q8BKU8	transmembrane protein 87B(Tmem87b)	Mus musculus
Q6GV29	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1(B3gntl1)	Rattus norvegicus
Q5E9I8	DDB1 and CUL4 associated factor 11(DCAF11)	Bos taurus
Q9Y5F8	protocadherin gamma subfamily B, 7(PCDHGB7)	Homo sapiens
Q96AY4	tetratricopeptide repeat domain 28(TTC28)	Homo sapiens
P49021	timeless(tim)	Drosophila melanogaster
P19332	microtubule-associated protein tau(Mapt)	Rattus norvegicus
Q26626	kinesin II-accessory 115 kDa polypeptide(kap115)	Strongylocentrotus purpuratus
Q3UCV8	OTU deubiquitinase with linear linkage specificity(Otulin)	Mus musculus
P08910	abhydrolase domain containing 2(ABHD2)	Homo sapiens
